"sample","bix","b","t","a","m","c","fi","hix","a254","a300","E2_E3","E4_E6","S275_295","S350_400","S300_700","SR"
"ELACTL1L222224",0.568522616717612,0.109980958366553,0.0821024078362171,0.476234238186578,0.280097008774455,0.187873900651169,1.09309096378071,0.832838870038206,23.2012216479308,10.1423676314011,7.87593275533223,-56.0611187031678,0.0219695084253029,0.0193650330277854,0.0188594189597347,1.13449372349536
"ELACTL1L239",0.536097373044843,0.135860730291931,0.108883890649389,0.53325227056081,0.310390380210759,0.226138307908286,1.06677735714866,0.845167533535937,23.4879605086023,10.4590664797083,7.61420698416747,-3.09417011748777,0.0211567360497122,0.0188820349726703,0.0217378114581081,1.12046906386596
"ELACTL2L222224",0.562818762782054,0.222902244426592,0.145013398897701,0.490542322458417,0.366305690514032,0.193891857230625,1.06129262464517,0.781018261555838,23.0682299690108,9.99029952458507,7.84216080377655,-8.7497884752395,0.0222089368575727,0.0189748810572704,0.0193413306897959,1.17043879171317
"ELACTL2L239",0.539475902840451,0.0946451966615847,0.0775822440745273,0.540627128419267,0.306084859227056,0.230938554562933,1.0179547985126,0.872509742942965,23.5177113556364,10.5642078133087,7.26928826433246,-51.0029926767323,0.020465350428424,0.0197998422299584,0.0188157407641443,1.03361179299998
"ELACTL3L224",0.556166045877753,0.125359459357668,0.090352639254256,0.537785528834027,0.319177067282205,0.223443167693901,1.08951932685786,0.845671154601088,23.53918325153,10.5201937522442,7.51095674630062,127.073513663543,0.0214078048221704,0.0194607809204303,0.018819084736451,1.10004860080903
"ELACTL4L224",0.579117879497085,0.109615491722348,0.0806646026756255,0.52714444042968,0.296937652017618,0.213046623097767,1.08443167408369,0.839981598229946,23.2652482069356,10.2701025454518,7.86944921311753,-8.03610686080491,0.0216145886600227,0.0206138982880094,0.0203011732031132,1.04854445083759
"ELAFISH1001",0.618503283224699,0.135346754942203,0.163292572569453,0.528897745761878,0.395526287836844,0.205058439490756,1.09141376746848,0.825682806638007,24.2661448635167,10.7448190884534,7.31882601024045,12.6776466027872,0.0218331681328039,0.0194283946048443,0.0185701150182418,1.12377623457164
"ELAFISH1002",0.569832654689041,0.300072578450632,0.328123062573266,0.541873852646106,0.346474054460252,0.22283697798629,1.13998280396346,0.739150556964666,24.890249912739,11.1017249332029,7.32981676785746,203.57325951351,0.0218242924570292,0.0189847492555136,0.0182150803697771,1.14956969740809
"ELAFISH1003",0.785449085048733,0.31224918704892,0.398504433443179,0.576696685107123,0.348089608404305,0.276940019258735,1.23775918301957,0.742338077481163,28.5689947768043,13.9487377907948,6.39963985333755,36.172682959227,0.0199517958133803,0.0167360678415856,0.0173099198477409,1.19214357889995
"ELAFISH1004",0.601806737113903,0.185830424627298,0.217591685519009,0.517551324204799,0.33167493250664,0.205260273060309,1.06886984223377,0.782388116593204,23.9382308716922,10.788294907344,7.89781941336074,18.5395999416002,0.0207696257007625,0.0189724322354319,0.0204812875529189,1.09472657185062
"ELAFISH1005",0.588256736861577,0.21557968816921,0.229706494333252,0.560424787922102,0.346615419778047,0.234064338587999,1.07842469668358,0.77602826692665,24.2258230710488,10.7239148333711,7.35485556435085,32.2885221733519,0.021658987962072,0.0185317656332454,0.0180957501816534,1.1687492919302
"ELAFISH1006",0.550006706644588,0.357743692884597,0.341904477042981,0.588719670396216,0.399842535255111,0.227114419511519,1.14438523684396,0.727640384258165,25.9160988494363,11.5802722386855,7.66368729972707,-111.862536798127,0.0205500836110321,0.018246432240023,0.020172830504972,1.12625215388442
"ELAFISH1007",0.58311629004284,0.154134728045186,0.152956780916213,0.528535252897861,0.351917740806048,0.214552055240262,1.07570310844635,0.804732238617696,24.0675294204374,10.8534043559478,6.77452176473064,-342.182922294736,0.0213226840171903,0.0189189528501343,0.018343411991594,1.12705413381475
"ELAFISH1008",0.647462083878136,0.361634124209125,0.308650256056275,0.575748715555875,0.433090742510416,0.245766239043128,1.14434126103153,0.722271827470289,26.1418554748448,12.3192271225175,6.75111127457872,113.702563155514,0.0201616548577322,0.0181284726529299,0.0176254906614555,1.11215408179871
"ELAFISH1009",0.555382506926336,0.157851874579507,0.130898478517693,0.519029260593975,0.368662388748909,0.208660585643095,1.12968040559708,0.801151633396912,23.7544889080312,10.5510391198023,7.82599028929856,-32.0226250515836,0.0214627204597006,0.0188315382282236,0.0194986396045764,1.13972210870876
"ELAFISH1010",0.593189574639817,0.116314685544294,0.1086360432109,0.501802378711197,0.299328939269213,0.202058877511007,1.1027120809229,0.818998677930331,23.1798622353812,10.1372704752954,7.82153591253368,15.1821357342599,0.021283655672436,0.0194415705025882,0.0201356067647493,1.09474981301549
"ELAFISH1011",0.677523559185723,0.27547500283513,0.250287994071947,0.573420599381578,0.413689686387899,0.248138606210205,1.16689743230592,0.758680063522058,26.8558605620388,12.5695051363903,5.86822012946645,-16.3318941457016,0.0211443573955009,0.0165473893982183,0.0180983676979205,1.27780623799049
"ELAFISH1012",0.563511084356559,0.144207254044865,0.1490998468032,0.504754042994985,0.284433048478213,0.200737288986232,1.07136500806901,0.809054752277794,23.8725510075897,10.9521054909587,7.59520418129016,24.1270493037805,0.0206042221824906,0.0193506504726602,0.0193212236865231,1.06478188997323
"ELAFISH1013",0.565306993619087,0.138942548355118,0.135482165093102,0.501678845820635,0.285412499775759,0.198280722170267,1.06295746570933,0.812420323003578,23.2509374427078,10.5442864666769,7.68405118163921,24.6996779019428,0.0211181141007235,0.0193949356732728,0.0195287092126888,1.08884682354607
"ELAFISH1014",0.572640743389545,0.113542585193702,0.122592677867896,0.511982367654998,0.304395597571471,0.211569527965892,1.08274343476846,0.827849887559619,24.6381779563375,11.2305923994353,6.98604347780108,12.5287401455679,0.0200366613475686,0.0174588242825664,0.0175520508312289,1.14765238616763
"ELAFISH1015",0.585162943833997,0.176673001550306,0.145536456552844,0.507548897983803,0.303651105017995,0.203340304459545,1.0224230657506,0.796458574819329,22.9878933522294,10.2310538443462,7.49335792105654,-23.9965008827841,0.0211058658976799,0.0191518966654804,0.0192273394520555,1.10202484204718
"ELAFISH104",0.531993645438823,0.0967722268065003,0.111140782903727,0.542646334650854,0.304173341188665,0.228744941209911,1.0196492352165,0.861771240190501,24.2052448133907,10.9242011840456,7.2790499688585,6.44758830141521,0.0205798032459054,0.0197547536490742,0.0186545748768888,1.04176461076091
"ELAFISH105",0.520942162306873,0.191368517164825,0.145616699472771,0.55444184624502,0.334471672071189,0.234476364801054,1.04064779780324,0.825677548575848,24.8980504360189,11.2767022437288,7.10820760287648,-771.397788671184,0.0199600396580713,0.0190138334295666,0.0181474625568808,1.04976409581002
"ELAFISH108",0.555019662648251,0.133512759957572,0.136677263856846,0.55190880132379,0.317944688444356,0.235786742001878,1.07840191135298,0.842743295852569,25.2271636745751,11.4869627483538,7.66139444705804,-16.8212672510281,0.0210591189553646,0.019784455848946,0.0196040024181597,1.06442750390259
"ELAFISH109",0.577941709227731,0.143980008677822,0.141462697038257,0.555062049868795,0.363113451492527,0.233866904688554,1.05949915593619,0.845815299625759,24.102512175444,10.8455764491596,7.46374355005448,-14.4570548272788,0.020284571192433,0.019159439558705,0.0192969473875265,1.05872466312392
"ELAFISH110",0.529286597366171,0.118132918634117,0.114817486741099,0.548121022325006,0.308546312239066,0.228887595445784,1.04043557211451,0.855270045713387,24.1398029540671,10.7207170356308,7.70818805336468,5.55699766192552,0.0214819012338263,0.0198217831554424,0.020324403009619,1.08375220661861
"ELAFISH111",0.529886428112366,0.121937612608068,0.126457450849799,0.539220001232145,0.30299390657596,0.22982360314802,1.07017285109414,0.853719498474816,24.9526406007112,11.4645058547122,7.20524391582486,-36.3887599111229,0.0200274578758421,0.0188405650579283,0.0187647752969795,1.06299666778913
"ELAFISH112",0.529433964885313,0.117624395027754,0.12662882857294,0.554971901205345,0.308463287786857,0.230593909967588,1.07649316569436,0.854565697477719,25.2650423512152,11.7947536191004,6.51114761120276,12.4019829022883,0.0206718693921822,0.017680381579673,0.017703273906651,1.16919814762078
"ELAFISH113",0.546431991634357,0.14341497009212,0.131670342938531,0.553656213876465,0.318769235194594,0.235981857293972,1.06268444950393,0.844696637718341,24.456563956967,11.0288102543779,7.64263722294839,-31.8445158972487,0.0210427283480582,0.0200162032018846,0.0193797865834515,1.05128470848442
"ELAFISH114",0.512452038498948,0.240286101712357,0.158710816191686,0.576471542140496,0.373003354367171,0.242642054824632,1.04612511361934,0.821203056261064,27.1211184180304,12.4865676446246,6.68036804478749,79.3204781985964,0.0202126743530475,0.0174094022608405,0.016941037923799,1.16102058245345
"ELAFISH115",0.540684392896182,0.515228904752504,0.341992455886952,0.601519088741782,0.589592525406601,0.256072645396969,1.10167907273038,0.710333846842008,26.2294508650147,11.9218641490149,7.18828222897637,48.3567255837034,0.0217208086697605,0.0196314250001859,0.0188508251137524,1.10643056576661
"ELAFISH116",0.535803356154337,0.254120062160503,0.338752143184905,0.594812551317517,0.35378586157433,0.289993690065671,1.14151494479143,0.778774308646717,26.8647175439179,12.6261239497248,7.07576495837359,205.868063714273,0.0197398071946203,0.0184947931839095,0.0179654681533735,1.06731700097052
"ELAFISH117",0.551112588880642,0.114808124336918,0.130311962563887,0.544092918546173,0.328919960922967,0.231190181201697,1.03425284901238,0.854005255456864,24.5496888087271,11.5478989849581,7.00037117297889,20.2282044656444,0.0204387330634252,0.019646636972811,0.0190268973896134,1.04031713375222
"ELAFISH118",0.576136537719228,0.124530047714568,0.137290974477612,0.549640689489991,0.322047284415547,0.226978688528597,1.03788475908253,0.84470332057828,24.3198270065232,10.9123021372107,7.31530165315615,31.965924797628,0.0216434993996944,0.0198263005831256,0.0189316058882919,1.09165597025778
"ELAFISH119",0.536837073916971,0.140613475350072,0.150722368575849,0.572264387143185,0.377727208745971,0.247066632510744,1.07787275466977,0.845950121902439,27.3129684690974,13.6541952271274,6.01689106005392,26.0365098450804,0.0180526730831301,0.0182889854213754,0.0165817030467789,0.987078980446387
