Wavelength (nm),BLANK1,L470JUNE2022,L377JUNE2422,L375JUNE1722,L222JUNE2822,BLANK2,L378JUNE2722,L373JUNE1022,L373JUNE2722,L442JUNE822,L114JUNE1022,L114JULY122,L224JUNE2922,L626JUNE622,BLANK3,L239JUNE322
735.0166626,-6.99E-05,0.000966362,0.000614242,-5.18E-08,0.000879174,-0.001377122,-0.00096618,-7.90E-05,-0.000821413,-0.000325523,-0.000101461,-0.001344298,-0.001132173,-0.000741827,-7.08E-05,0.000227779
734.020752,-1.03E-05,0.000854093,0.000753599,-0.000203002,0.000654787,-0.001206937,-0.000956933,0.000148818,-0.00074865,-0.000280048,-0.000133396,-0.001320401,-0.001038958,-0.000553917,-6.34E-05,0.000331545
733.0244751,-0.00016274,0.0009619,0.00048737,-0.000205434,0.000853755,-0.001139092,-0.000837173,0.000283078,-0.000722032,-0.000318695,7.39E-05,-0.001294748,-0.000755317,-0.000649924,-2.85E-06,0.000274504
732.027832,8.58E-05,0.000760989,0.000450546,-0.00021982,0.000738455,-0.001166923,-0.000885122,0.000208432,-0.000820379,-0.000296707,3.16E-05,-0.001354362,-0.000901397,-0.000684351,-0.000107672,0.000237646
731.0308228,-0.000126667,0.001004553,0.00033771,-0.000154926,0.000712863,-0.001191139,-0.000928003,5.71E-05,-0.00070911,-0.000271407,5.85E-05,-0.001422329,-0.001125873,-0.000496623,0.000120568,0.000220734
730.0335083,-0.000192549,0.001194389,0.000708274,5.15E-05,0.000848361,-0.001280656,-0.000971913,8.91E-05,-0.000895714,-0.0004477,-9.34E-05,-0.001606769,-0.001112809,-0.001008226,0.000270023,0.000593064
729.0358276,8.73E-05,0.000943584,0.000651624,-4.21E-05,0.000832954,-0.000867245,-0.000446097,0.000651132,-0.000224373,4.79E-06,0.000316338,-0.000850556,-0.000612134,-0.00024,0.000117512,0.000414295
728.0378418,9.42E-05,0.001034314,0.000700003,-1.37E-05,0.000742889,-0.000773147,-0.000557019,0.000364368,-0.000344664,-0.000203054,0.00022032,-0.001205595,-0.000622939,-0.000394064,0.000161714,0.000331286
727.0394287,0.000263677,0.001285275,0.000664509,0.000161274,0.001118652,-0.001343318,-0.000862905,4.09E-05,-0.00068523,-0.000371564,5.87E-05,-0.001330673,-0.000832781,-0.000705337,9.11E-05,0.000310147
726.0407715,0.000101045,0.001045783,0.000774888,-0.000141056,0.001131551,-0.001067828,-0.000926247,-9.23E-05,-0.000452406,-0.000292051,3.14E-05,-0.001334544,-0.000950579,-0.000583285,0.000339757,0.000550089
725.041687,0.000258108,0.00114689,0.000534382,-0.000337525,0.001053619,-0.001216953,-0.0008612,9.82E-05,-0.000723221,-0.000243156,-2.96E-05,-0.001344711,-0.001086317,-0.000688797,0.000118548,0.000396702
724.0422974,8.59E-05,0.001192364,0.000853159,5.22E-05,0.001362598,-0.001162173,-0.000610324,0.000256528,-0.000414444,-0.000206469,0.000161118,-0.000995106,-0.000889876,-0.000759865,9.91E-06,0.000492242
723.0426025,-0.000150527,0.001090676,0.000701999,-1.45E-05,0.001243243,-0.001316685,-0.000529873,0.000189138,-0.000525736,-0.000117869,0.000192712,-0.001258201,-0.000800639,-0.000512137,-2.61E-05,0.000459253
722.0425415,0.000120309,0.001220061,0.000730028,-5.54E-06,0.001105883,-0.00118897,-0.000671015,2.01E-05,-0.000484677,-0.000445166,8.59E-05,-0.001324582,-0.000835261,-0.000894371,9.99E-05,0.000624637
721.0421143,0.0001707,0.001135054,0.00057142,-2.54E-06,0.001229225,-0.000931981,-0.000373167,0.000439378,-0.000232394,-9.40E-05,0.000278674,-0.000843012,-0.000696292,-0.000238862,6.71E-05,0.000512197
720.0413818,-0.000165846,0.00148209,0.000858191,8.05E-05,0.001364286,-0.000924542,-0.000522117,0.000438238,-0.000264164,-0.000119991,0.00047449,-0.001053523,-0.00066688,-0.000458095,-7.49E-05,0.000433107
719.0402832,0.00021514,0.001658519,0.000828805,0.000329602,0.00167754,-0.001166562,-0.000601122,0.000290408,-0.000335353,-0.00032185,0.000123416,-0.001169918,-0.000779865,-0.000550608,4.27E-05,0.000752769
718.0388184,-0.000206573,0.001466947,0.000781397,0.000178728,0.001312095,-0.001020726,-0.000424374,0.000152443,-0.000267941,-0.000115281,0.00025658,-0.001031882,-0.000685385,-0.000383771,-9.18E-05,0.000551177
717.0370483,-1.26E-05,0.001376751,0.000793716,3.23E-05,0.001249058,-0.001066589,-0.000457888,0.000310665,-0.000385271,-0.00016243,0.000127507,-0.000921959,-0.000767875,-0.000380305,0.000235497,0.00065878
716.0349731,-5.69E-07,0.00140459,0.000861433,0.000120956,0.001197607,-0.001165529,-0.000484781,0.000148171,-0.000523668,-0.000187219,9.37E-05,-0.001347963,-0.000920512,-0.000459388,-1.60E-05,0.000546926
715.0325317,-3.08E-05,0.001427158,0.00093287,5.23E-05,0.001384905,-0.001090965,-0.000522685,0.000187196,-0.000568239,-0.000202743,8.22E-05,-0.001059255,-0.000678355,-0.000480695,0.000116839,0.000561078
714.0297241,0.000109615,0.001674968,0.001143801,0.000277664,0.001431807,-0.001032864,-0.000514153,0.000185616,-0.00029976,-0.000127392,0.00043347,-0.001076143,-0.000691485,-0.000332973,4.90E-05,0.000736433
713.0266113,-5.18E-07,0.001358807,0.000650147,9.50E-05,0.001189976,-0.000820844,-0.000303743,0.000351182,-0.000236223,3.34E-05,0.000354213,-0.000996914,-0.000676443,-0.000396909,9.83E-05,0.000796153
712.0231323,3.82E-05,0.001498507,0.000751783,0.000242412,0.001164331,-0.000961892,-0.000465025,0.000170518,-0.000345337,-0.000136967,2.39E-05,-0.001271468,-0.000867659,-0.000394013,-7.42E-05,0.000589124
711.0193481,-1.76E-05,0.001499727,0.000872871,0.000200222,0.001224578,-0.001036427,-0.00027239,0.000358047,-0.000226133,-8.11E-05,0.000365068,-0.001036221,-0.000714641,-0.000314245,-6.32E-05,0.000493952
710.0151978,-0.000210505,0.001466012,0.000722509,0.000127688,0.001282886,-0.001153189,-0.000452924,0.000177148,-0.000472731,-0.000182768,0.000103194,-0.001081669,-0.000882901,-0.000503501,1.58E-05,0.000567843
709.0107422,-0.000157358,0.001606058,0.000817341,0.000305096,0.001314016,-0.000949494,-0.000355217,0.000283855,-0.000103894,-5.34E-05,0.000366648,-0.000948203,-0.000673186,-0.000369598,2.61E-06,0.000585651
708.0059204,-5.26E-05,0.001637367,0.000812699,0.000320379,0.00121557,-0.001365717,-0.000374564,0.000151174,-0.000506914,-0.000119836,0.000238838,-0.001099795,-0.000762552,-0.000531114,-0.000113987,0.000696554
707.0007935,-0.000109173,0.002074894,0.000811532,0.000397454,0.001517703,-0.001062664,-0.000480488,0.000335664,-0.000165535,-5.37E-05,0.000483508,-0.000946808,-0.000598899,-0.000451993,-5.87E-05,0.000653698
