Wavelength (nm),BLANK1,L470JUNE2022,L377JUNE2422,L375JUNE1722,L222JUNE2822,BLANK2,L378JUNE2722,L373JUNE1022,L373JUNE2722,L442JUNE822,L114JUNE1022,L114JULY122,L224JUNE2922,L626JUNE622,BLANK3,L239JUNE322
766.9822998,9.93E-05,0.000555454,0.000372115,-0.000172936,0.000588269,-0.000990406,-0.000742758,0.000385639,-0.000819501,-0.000327903,0.000382686,-0.00135235,-0.000594763,-0.000442063,8.64E-05,0.000383281
765.9978027,-2.60E-05,0.000919459,0.001122441,0.000585651,0.001217673,-0.001420058,-0.001219586,-0.000305864,-0.001086678,-0.000287136,-6.67E-05,-0.001566586,-0.001279004,-0.001134084,0.000296392,0.000186134
765.0129395,-0.000152856,0.000413725,0.000588994,-0.000131326,0.000521346,-0.001339395,-0.001141364,9.72E-05,-0.000890857,-8.92E-05,0.000166246,-0.001479449,-0.001004507,-0.000737641,0.000221097,0.000505329
764.02771,0.00070008,0.001028034,0.000783602,0.000344653,0.000758811,-0.001654633,-0.001339602,0.000110858,-0.001061889,-0.000919014,-0.000189237,-0.002009737,-0.001356479,-0.001150142,0.000183234,0.000564914
763.0421143,-3.11E-06,0.000581892,0.000781709,-0.000206935,0.000759044,-0.001338414,-0.00109396,3.16E-06,-0.001056725,-0.000599467,0.000209054,-0.001386412,-0.001057603,-0.001072941,-7.30E-05,0.000202087
762.0561523,0.000392997,0.000625778,0.000977959,5.91E-05,0.001148862,-0.001617498,-0.00116744,-0.00017749,-0.001459894,-0.000671842,3.15E-05,-0.001619406,-0.001084716,-0.000911885,0.000209856,0.000561156
761.0698853,-0.000175523,0.00074779,0.000893415,0.000245468,0.001424846,-0.001717086,-0.001062199,0.00015177,-0.000981005,-0.000528891,-0.000107517,-0.00136742,-0.001473928,-0.000873859,-6.35E-05,0.000218843
759.9421997,0.000174921,0.000864001,0.000862418,0.000235549,0.001369947,-0.001172551,-0.001030384,9.77E-05,-0.000615856,-0.000747151,0.000121733,-0.001370155,-0.000858358,-0.000522737,4.25E-05,0.00048794
758.9551392,1.34E-05,0.000844211,0.000238553,-0.000179301,0.001315704,-0.001297277,-0.001397197,-0.000210919,-0.001134497,-0.000326713,-0.00059559,-0.001664278,-0.00136004,-0.001092514,5.80E-05,-4.09E-05
757.9677124,0.000263392,0.000284787,0.000275773,-0.000417857,0.00098992,-0.001466189,-0.001212461,-0.000251487,-0.001444208,-0.000780123,-3.39E-05,-0.001845161,-0.001591243,-0.001152879,0.000291729,0.000475812
