Wavelength (nm),BLANK1,L470JUNE2022,L377JUNE2422,L375JUNE1722,L222JUNE2822,BLANK2,L378JUNE2722,L373JUNE1022,L239JUNE822,L442JUNE822,L114JUNE1022,L224JUNE2922,L626JUNE622
771.0570679,0.000139833,0.000978841,0.000740504,-9.54E-05,0.000567273,-0.001187989,-0.000836501,0.00061979,-0.001002699,0.000178132,-5.24E-05,-0.000905065,-0.000407306
769.9335938,0.00031968,0.000520646,0.000449613,-0.000186184,0.000467856,-0.001601147,-0.000563017,0.000100113,-0.001091068,-0.000618183,-0.000732834,-0.001197489,-0.000784258
768.9501953,0.000733425,0.000676176,0.000661294,-0.000101409,0.000431189,-0.00129449,-0.001037305,-6.05E-05,-0.00098927,-0.00053008,-0.000625162,-0.001055485,-0.000880937
767.9664307,0.000173315,0.000499757,0.000576656,-5.91E-05,0.00047449,-0.001266202,-0.001293354,-3.54E-05,-0.00100771,-0.00052372,-0.000822446,-0.001134858,-0.000844614
766.9822998,9.93E-05,0.000555454,0.000372115,-0.000172936,0.000588269,-0.000990406,-0.000742758,0.000385639,-0.000841514,-0.000327903,7.13E-05,-0.000594763,-0.000442063
765.9978027,-2.60E-05,0.000919459,0.001122441,0.000585651,0.001217673,-0.001420058,-0.001219586,-0.000305864,-0.000963235,-0.000287136,-0.000476403,-0.001279004,-0.001134084
765.0129395,-0.000152856,0.000413725,0.000588994,-0.000131326,0.000521346,-0.001339395,-0.001141364,9.72E-05,-0.001147767,-8.92E-05,-0.000373788,-0.001004507,-0.000737641
764.02771,0.00070008,0.001028034,0.000783602,0.000344653,0.000758811,-0.001654633,-0.001339602,0.000110858,-0.001493947,-0.000919014,-0.000958896,-0.001356479,-0.001150142
763.0421143,-3.11E-06,0.000581892,0.000781709,-0.000206935,0.000759044,-0.001338414,-0.00109396,3.16E-06,-0.001184065,-0.000599467,-0.000572065,-0.001057603,-0.001072941
762.0561523,0.000392997,0.000625778,0.000977959,5.91E-05,0.001148862,-0.001617498,-0.00116744,-0.00017749,-0.001294851,-0.000671842,-0.000551694,-0.001084716,-0.000911885
761.0698853,-0.000175523,0.00074779,0.000893415,0.000245468,0.001424846,-0.001717086,-0.001062199,0.00015177,-0.000980333,-0.000528891,-0.000526512,-0.001473928,-0.000873859
759.9421997,0.000174921,0.000864001,0.000862418,0.000235549,0.001369947,-0.001172551,-0.001030384,9.77E-05,-0.001086937,-0.000747151,-0.000305244,-0.000858358,-0.000522737
758.9551392,1.34E-05,0.000844211,0.000238553,-0.000179301,0.001315704,-0.001297277,-0.001397197,-0.000210919,-0.001438428,-0.000326713,-0.00071185,-0.00136004,-0.001092514
757.9677124,0.000263392,0.000284787,0.000275773,-0.000417857,0.00098992,-0.001466189,-0.001212461,-0.000251487,-0.001463247,-0.000780123,-0.0006736,-0.001591243,-0.001152879
756.9799194,0.000232648,0.000252591,0.000321985,-0.000481316,0.000720434,-0.001133361,-0.00090925,0.000291833,-0.000873084,-0.00046637,-0.000118852,-0.000730405,-0.000481419
755.9917603,0.000201776,0.000723235,0.000783187,0.000212654,0.001233248,-0.001108419,-0.001030539,0.000168162,-0.001230427,-0.000597244,-0.000393961,-0.000991801,-0.000631676
755.0032959,6.52E-05,0.000815915,0.000574919,4.64E-05,0.001195842,-0.001558745,-0.000638396,-0.000227375,-0.001331756,-0.000507793,-0.000413875,-0.001099537,-0.000726839
754.0144043,0.000245442,0.000285176,0.000418467,-0.000312073,0.000797087,-0.001411595,-0.001391417,3.71E-05,-0.001058532,-0.000497192,-0.000351907,-0.000913486,-0.000567619
753.0252075,0.000102831,0.000340534,7.38E-05,-0.000278961,0.000614087,-0.001828045,-0.001339292,-0.000160722,-0.001444775,-0.000916328,-0.000452303,-0.00130311,-0.001097523
