Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELA_FISH901_EM_270.00,ELA_FISH901_EM_272.00,ELA_FISH901_EM_274.00,ELA_FISH901_EM_276.00,ELA_FISH901_EM_278.00,ELA_FISH901_EM_280.00,ELA_FISH901_EM_282.00,ELA_FISH901_EM_284.00,ELA_FISH901_EM_286.00,ELA_FISH901_EM_288.00,ELA_FISH901_EM_290.00,ELA_FISH901_EM_292.00,ELA_FISH901_EM_294.00,ELA_FISH901_EM_296.00,ELA_FISH901_EM_298.00,ELA_FISH901_EM_300.00,ELA_FISH901_EM_302.00,ELA_FISH901_EM_304.00,ELA_FISH901_EM_306.00,ELA_FISH901_EM_308.00,ELA_FISH901_EM_310.00,ELA_FISH901_EM_312.00,ELA_FISH901_EM_314.00,ELA_FISH901_EM_316.00,ELA_FISH901_EM_318.00,ELA_FISH901_EM_320.00,ELA_FISH901_EM_322.00,ELA_FISH901_EM_324.00,ELA_FISH901_EM_326.00,ELA_FISH901_EM_328.00,ELA_FISH901_EM_330.00,ELA_FISH901_EM_332.00,ELA_FISH901_EM_334.00,ELA_FISH901_EM_336.00,ELA_FISH901_EM_338.00,ELA_FISH901_EM_340.00,ELA_FISH901_EM_342.00,ELA_FISH901_EM_344.00,ELA_FISH901_EM_346.00,ELA_FISH901_EM_348.00,ELA_FISH901_EM_350.00,ELA_FISH901_EM_352.00,ELA_FISH901_EM_354.00,ELA_FISH901_EM_356.00,ELA_FISH901_EM_358.00,ELA_FISH901_EM_360.00,ELA_FISH901_EM_362.00,ELA_FISH901_EM_364.00,ELA_FISH901_EM_366.00,ELA_FISH901_EM_368.00,ELA_FISH901_EM_370.00,ELA_FISH901_EM_372.00,ELA_FISH901_EM_374.00,ELA_FISH901_EM_376.00,ELA_FISH901_EM_378.00,ELA_FISH901_EM_380.00,ELA_FISH901_EM_382.00,ELA_FISH901_EM_384.00,ELA_FISH901_EM_386.00,ELA_FISH901_EM_388.00,ELA_FISH901_EM_390.00,ELA_FISH901_EM_392.00,ELA_FISH901_EM_394.00,ELA_FISH901_EM_396.00,ELA_FISH901_EM_398.00,ELA_FISH901_EM_400.00,ELA_FISH901_EM_402.00,ELA_FISH901_EM_404.00,ELA_FISH901_EM_406.00,ELA_FISH901_EM_408.00,ELA_FISH901_EM_410.00,ELA_FISH901_EM_412.00,ELA_FISH901_EM_414.00,ELA_FISH901_EM_416.00,ELA_FISH901_EM_418.00,ELA_FISH901_EM_420.00,ELA_FISH901_EM_422.00,ELA_FISH901_EM_424.00,ELA_FISH901_EM_426.00,ELA_FISH901_EM_428.00,ELA_FISH901_EM_430.00,ELA_FISH901_EM_432.00,ELA_FISH901_EM_434.00,ELA_FISH901_EM_436.00,ELA_FISH901_EM_438.00,ELA_FISH901_EM_440.00,ELA_FISH901_EM_442.00,ELA_FISH901_EM_444.00,ELA_FISH901_EM_446.00,ELA_FISH901_EM_448.00,ELA_FISH901_EM_450.00,ELA_FISH901_EM_452.00,ELA_FISH901_EM_454.00,ELA_FISH901_EM_456.00,ELA_FISH901_EM_458.00,ELA_FISH901_EM_460.00,ELA_FISH901_EM_462.00,ELA_FISH901_EM_464.00,ELA_FISH901_EM_466.00,ELA_FISH901_EM_468.00,ELA_FISH901_EM_470.00,ELA_FISH901_EM_472.00,ELA_FISH901_EM_474.00,ELA_FISH901_EM_476.00,ELA_FISH901_EM_478.00,ELA_FISH901_EM_480.00,ELA_FISH901_EM_482.00,ELA_FISH901_EM_484.00,ELA_FISH901_EM_486.00,ELA_FISH901_EM_488.00,ELA_FISH901_EM_490.00,ELA_FISH901_EM_492.00,ELA_FISH901_EM_494.00,ELA_FISH901_EM_496.00,ELA_FISH901_EM_498.00,ELA_FISH901_EM_500.00,ELA_FISH901_EM_502.00,ELA_FISH901_EM_504.00,ELA_FISH901_EM_506.00,ELA_FISH901_EM_508.00,ELA_FISH901_EM_510.00,ELA_FISH901_EM_512.00,ELA_FISH901_EM_514.00,ELA_FISH901_EM_516.00,ELA_FISH901_EM_518.00,ELA_FISH901_EM_520.00,ELA_FISH901_EM_522.00,ELA_FISH901_EM_524.00,ELA_FISH901_EM_526.00,ELA_FISH901_EM_528.00,ELA_FISH901_EM_530.00,ELA_FISH901_EM_532.00,ELA_FISH901_EM_534.00,ELA_FISH901_EM_536.00,ELA_FISH901_EM_538.00,ELA_FISH901_EM_540.00,ELA_FISH901_EM_542.00,ELA_FISH901_EM_544.00,ELA_FISH901_EM_546.00,ELA_FISH901_EM_548.00,ELA_FISH901_EM_550.00,ELA_FISH901_EM_552.00,ELA_FISH901_EM_554.00,ELA_FISH901_EM_556.00,ELA_FISH901_EM_558.00,ELA_FISH901_EM_560.00,ELA_FISH901_EM_562.00,ELA_FISH901_EM_564.00,ELA_FISH901_EM_566.00,ELA_FISH901_EM_568.00,ELA_FISH901_EM_570.00,ELA_FISH901_EM_572.00,ELA_FISH901_EM_574.00,ELA_FISH901_EM_576.00,ELA_FISH901_EM_578.00,ELA_FISH901_EM_580.00,ELA_FISH901_EM_582.00,ELA_FISH901_EM_584.00,ELA_FISH901_EM_586.00,ELA_FISH901_EM_588.00,ELA_FISH901_EM_590.00,ELA_FISH901_EM_592.00,ELA_FISH901_EM_594.00,ELA_FISH901_EM_596.00,ELA_FISH901_EM_598.00,ELA_FISH901_EM_600.00
275.0700073,13.35821342,47.44784546,98.19729614,115.7794571,84.56665039,28.2479496,8.583956718,3.718858957,3.618554831,4.202419281,5.228159428,5.966264248,6.908030987,8.219139099,10.97083569,16.61459923,20.96658897,24.1047802,22.67032051,18.43220329,14.40342236,13.22675323,13.01408577,12.86833096,12.95287704,12.89357567,13.06301498,13.6431551,13.67755795,14.16268921,14.50209904,14.30985546,14.17874908,15.08865738,14.60916901,14.98718166,14.99542522,14.43118668,15.13837528,14.68921089,14.68999767,14.80485153,15.16689587,15.26729679,15.43151951,16.00063896,15.77409267,16.06809235,16.69417763,16.79813957,17.89939308,18.37512016,19.31900406,20.16867065,20.57226753,21.88920403,22.29079437,24.03731155,24.83085442,26.21674347,23.948946,25.65842438,26.72727966,29.01312447,30.24103928,30.99601173,32.30849075,33.87922668,34.38550949,35.49121094,35.45232773,35.55670547,37.12511063,37.02227402,37.13859177,38.15858841,37.95176697,37.27554321,37.5825882,36.75591278,36.69814682,36.81216812,36.15882111,35.6451416,35.44669342,34.09743881,33.63403702,33.06566238,33.76582336,32.98576736,32.65428925,32.97729111,32.25533676,31.71466255,31.04302788,29.17430878,28.93385696,27.60769463,27.97362709,28.01073265,28.03163528,26.45372009,27.12470627,25.99406242,25.70727539,25.34721947,24.36339188,24.14736938,23.18210793,23.24581909,22.8067379,21.95057487,21.65287018,21.04029846,20.03941536,20.24633408,19.0671196,18.80197906,19.0106163,17.59667969,17.59718704,16.41436958,16.30577469,16.39219666,15.65787315,15.42055988,14.9261322,14.31977272,13.65651321,13.13306236,12.82424641,12.44933033,11.9070158,11.57165432,10.84377861,10.47864723,10.44242001,10.28083706,9.886903763,9.285850525,8.885433197,8.509237289,8.262830734,7.892139435,7.535390377,7.309756279,6.843217373,6.767763138,6.378704548,5.641354084,5.408710957,5.351996422,5.076757431,4.828785419,4.508944035,4.314414024,4.003826618,3.914470434,4.058287144,3.782423973,3.764263153,3.560247421,3.47941947,3.100781441,2.870371819,2.652813673
280,0.832951009,1.318323135,4.629609585,21.97961235,63.9659996,93.70152283,93.26725769,56.98337555,21.16578484,6.837891579,4.766522408,5.266896248,5.6969347,6.633452892,7.551072598,8.804741859,9.555361748,11.9140234,16.39608574,20.96065712,25.28181839,23.933918,19.98502159,16.67640305,14.3092804,13.06670761,13.94873619,13.65806198,14.07930279,14.5511837,14.7238121,14.82484436,15.60437489,15.57472515,15.21194363,15.51756382,15.62791824,15.33903599,15.79148674,15.97527027,15.85909176,16.15465927,15.53717232,16.42041969,16.84671974,17.03030396,17.27309227,17.57963753,17.88007164,18.65350723,19.23143578,19.57763863,20.74376297,21.45493698,22.49795341,23.33028984,25.27262688,26.17490005,28.46780777,28.76263618,28.28494644,29.05702209,30.92315102,32.73271561,33.55872726,35.4582634,36.47666168,37.50133514,38.96143723,40.1412735,39.13228989,40.51683426,41.36750412,41.00847244,40.88887405,41.34180832,42.24963379,41.46182632,41.41843796,39.61038208,39.76225662,38.94329453,38.25053406,37.44743729,35.82131577,35.75144196,34.60495377,35.10820389,33.8758049,33.78636551,33.02035141,32.65697861,32.17230988,30.671772,31.09722137,28.84968376,28.44536781,27.71074295,27.54312515,26.76733398,26.55750847,25.90097427,25.24453926,24.96639442,24.70261383,24.22535706,22.93990517,23.5219059,22.48603439,22.31261444,20.64773369,20.59523201,20.19744873,19.5946312,19.5077076,18.92415237,18.17837715,17.65356827,17.3123703,16.7975769,16.72493362,15.61347675,15.18112564,14.9076519,13.81609535,14.23066998,13.78022194,13.40133476,12.87648392,12.20635414,11.59299374,11.6377306,11.0026207,10.49287033,10.13553524,9.999713898,9.372104645,9.146831512,8.990804672,8.410964966,8.270605087,7.668681145,7.490529537,7.717661858,7.017253876,6.864892483,6.329804897,6.009208679,5.875231743,5.685772896,5.175985813,4.782510757,4.937647343,4.500818253,4.280020237,4.369878292,4.260913849,3.677842379,3.489576101,3.709526777,3.319419622,2.933960438,3.013942003,2.943214178,2.465386629,2.747889996
285,0.42430377,0.477308154,0.619198203,0.999440372,1.884155035,9.560640335,38.01037979,87.52278137,111.9357605,87.65808868,35.09592056,11.61451721,5.179639339,4.890008926,5.318345547,5.964693069,6.345464706,7.329267979,7.987719536,8.717371941,11.7244463,16.21359825,20.58064842,24.1389637,23.71156502,18.6647625,15.53680515,13.82395077,13.68966961,13.44257355,14.01450157,14.13865852,14.45351028,14.35766506,14.81718826,15.17301178,15.32328033,15.19778919,15.82758808,15.72314262,16.06979179,15.97068501,15.95897198,15.96584415,16.971735,16.99915314,17.32012177,18.11986542,18.00729752,19.17584229,19.83851814,20.49588966,22.00675774,22.8994503,24.203825,26.13407326,27.54681969,29.14691925,31.55325317,32.4560051,30.94728661,32.36089706,35.59566498,36.74305344,38.91532516,40.23238373,41.24232101,43.35897446,44.01924133,44.66550064,44.79751968,46.12137604,46.69088364,46.82839966,47.22227097,46.3149147,46.82545853,46.01234055,44.13739777,44.81614304,43.95368195,42.99534607,41.1905632,40.66930771,38.99193954,38.05919647,37.80752182,36.00527954,36.12369537,35.40412903,34.39147949,33.84901047,32.80244064,32.03378296,31.89250183,29.01531792,28.90550423,28.15297318,27.39861488,26.78751755,26.79089165,25.91802216,25.72839737,24.34364891,23.65224075,23.47666168,22.97915459,22.53499222,21.73851204,21.33546066,20.99822235,19.75922585,19.59874725,19.08572769,18.47693634,18.09632111,17.05818748,16.9548645,16.21598434,15.93293667,15.55798912,15.19017696,14.31868649,14.14889336,13.42756557,13.05319595,13.15198135,12.44420052,11.64397049,11.55284595,11.46486378,10.63810539,10.24780083,10.14736843,9.6898489,9.107176781,9.026338577,8.9680233,8.412516594,7.895478249,8.027478218,7.353089333,7.137891769,6.575643063,6.781558514,6.15167141,5.972825527,5.720510483,5.322695255,5.08129406,4.649309158,4.822000027,4.692434311,4.088671207,4.079808712,4.144051075,3.584603548,3.386020184,3.651320457,3.442761421,3.076760054,3.017991543,2.722982407,2.708640575,2.550650358,2.407600164
290,0.319214106,0.367778301,0.435945868,0.473327875,0.497627556,0.679373085,1.325367808,5.791357994,29.3024025,73.55568695,118.3971558,108.2823105,58.91466141,20.47193718,6.443018436,4.178789616,4.326696873,5.179841995,5.438791275,6.044291019,6.63924408,7.434512138,8.439127922,10.98085213,15.06360435,19.06966209,21.59055328,20.98365211,17.61288452,14.39468002,12.80407238,12.79723072,12.54173374,12.55055237,13.05020428,13.17315102,13.59514141,13.56417179,13.76682472,14.15645123,14.69283962,14.89817333,14.99979687,15.35409927,15.81608105,15.85399532,16.84320831,17.4507122,18.28598595,19.20456314,20.36275291,21.34748459,22.43396187,24.25483513,25.35662079,27.80629539,29.63474655,31.65436172,33.86194992,35.44240952,33.8475914,35.22471237,37.86346817,40.322155,41.97570038,44.22851944,45.51509857,47.98770142,48.21250153,49.26401138,50.22548676,50.6782074,51.5136528,50.88999176,50.43372726,49.62088776,50.14752197,49.21055222,48.43951416,47.89671326,46.61497498,45.40107346,43.87263489,42.1075058,41.15158463,39.89053726,39.37987137,37.97455597,37.45653534,35.69644165,35.56017303,34.41991043,33.77302551,33.24809647,31.29197693,28.84506416,29.03264809,28.10232735,27.06952667,26.82735825,26.50971031,25.41836166,24.29001045,24.05399895,23.5305481,22.38965416,22.01032639,21.92071342,21.02269173,20.10129166,19.89032364,19.42783356,18.84547997,17.74591064,17.58165932,17.27884293,16.32914352,15.77735996,15.19482327,15.11920643,14.52145576,14.3068409,13.87393379,13.03007889,12.9503231,12.32922363,12.04749298,11.79075336,11.29666805,10.84016609,10.39514637,10.0098772,9.770248413,9.549301147,8.96435833,8.804878235,8.620724678,7.916934967,7.487706184,7.389984608,7.236596107,6.643713474,6.598293304,6.259121418,6.046840668,5.643048286,5.807540894,5.548634529,4.976693153,4.682550907,4.189119339,4.340428352,4.217893124,3.84065032,3.833464146,3.657809496,3.670278311,3.21560812,3.145034552,2.828442812,2.802241087,2.720306158,2.690315485,2.535982609,2.471633911,2.150249481
295,0.120764896,0.233761504,0.292137206,0.298295259,0.412485659,0.288444877,0.465911388,0.764089882,0.948672831,2.512388945,16.18942642,53.21153259,106.9852448,128.0428772,98.27503204,38.30897903,12.12601376,4.221803665,3.437330008,3.858609915,3.913747072,4.416601181,4.842261791,5.229728699,5.840269566,6.652867317,8.561706543,12.21212101,17.16571617,20.04364586,19.51995087,16.22066689,12.82124329,10.9922514,10.163764,10.43662262,10.36397552,10.84371376,10.917799,11.96273804,11.92072296,12.35895443,13.05528927,13.34446335,13.88576698,14.64100838,14.86791992,16.24725723,17.42586899,18.2996769,19.5767765,21.25533485,22.20493698,23.92073631,26.52180481,28.28809929,30.4689064,32.97174454,34.88058853,37.19701004,35.06211853,37.49100876,40.20537186,42.1072731,45.22536469,46.88803101,48.35221863,49.92259598,51.465065,52.73612595,51.98432541,53.02304459,53.46417999,53.339077,53.52016068,53.42866516,53.42357635,51.97247696,50.88634872,49.83778,48.6188736,46.93322754,45.4968071,44.80113602,42.85485077,41.71318436,41.09197998,39.4928093,38.36171722,37.52783203,36.95721436,35.40199661,34.52391052,33.06626129,32.79758835,29.84471703,28.56381798,27.64740181,28.11303902,27.13347435,26.39277458,25.69728661,25.07336426,24.05403137,23.61483955,22.05324936,22.32084465,21.83360863,20.98000526,20.41611481,19.6877327,18.92112541,18.13201523,17.59234238,17.07726479,16.95729446,16.09376144,15.67801571,14.74403286,14.25205803,14.10132694,13.76506996,12.79025269,12.65934753,12.27264881,11.57235622,11.6103878,10.99690151,10.68605423,10.16390419,9.851843834,9.588274002,9.243250847,8.954398155,8.218245506,8.312386513,7.833407879,7.581476688,7.167063236,6.829771996,6.848327637,6.399442673,5.855566025,5.746564865,5.589540005,5.400053978,5.374375343,4.998175144,4.778763294,4.572309494,4.100898743,3.995898008,3.840614796,3.729501486,3.477746487,3.340494394,3.240695715,3.112067699,2.956541538,3.020108461,2.680660009,2.571018219,2.437336206,2.428278208,2.171080112,2.044910669
300,0.213292465,0.098609641,0.195921525,0.271637261,0.260369778,0.248350576,0.204173371,0.359838486,0.546804309,0.698605359,0.84074384,1.732019067,7.026123524,34.88813782,89.71775818,138.4595184,114.5216904,57.8598671,15.87062931,4.345099926,2.813533545,2.704503536,3.066212654,3.063459396,3.211293459,3.436594009,3.524322748,4.016619682,5.13262558,6.971457958,11.95249939,15.63619041,18.56616402,17.08512878,13.36831093,10.02519894,8.901026726,8.383784294,8.580234528,8.996562004,9.536800385,9.836440086,10.70160007,11.07289886,11.49378014,12.50648785,13.36038208,14.6589222,15.21016788,17.27855301,18.48096275,20.07570839,21.7888813,23.95150566,25.53546143,28.40204239,30.54141808,33.05718613,35.23561478,36.93214035,35.67346954,38.02259445,40.49697876,42.47658539,44.2532196,47.23026657,48.44236755,49.56870651,51.4513092,51.6926651,53.47300339,53.13989639,54.3507843,53.94278336,53.92876434,53.49251556,53.31684875,52.04789352,50.95785904,50.44338989,49.17468643,47.6407814,46.12134171,45.18172455,43.04435349,41.90848923,41.64916992,39.12482452,38.3842926,37.98100281,35.86985016,35.05784225,34.08970261,34.29367065,32.57329941,29.6092205,29.10708809,28.63619614,27.68335915,26.54563904,26.22842598,25.47017479,25.11445999,23.74518394,23.37634468,22.17502975,21.44542313,21.12738037,20.41978645,19.39289284,19.42793465,18.36565971,17.80561066,17.13933563,16.76213455,15.54353142,15.45488644,14.46084499,14.20722294,14.18644333,13.03815365,12.99654865,12.54891109,11.78344917,11.57190228,11.62719917,11.13599396,10.96579456,10.42285442,9.87981987,9.675510406,9.474601746,8.868981361,8.327512741,8.091500282,7.889948845,7.603035927,7.247914314,6.981854439,6.650081635,6.111868858,6.14907217,6.031631947,5.697103024,5.331150055,4.992948055,4.898981094,4.947762489,4.662341595,4.205954075,3.722475052,3.781342268,3.524940968,3.509749174,3.461432219,3.133621454,3.08763361,2.951001644,2.767713308,2.729228497,2.581521034,2.464294672,2.279896975,2.370507479,2.212962627,2.167152643
305.0700073,0.144739285,0.273836613,0.10601677,0.279740214,0.216683313,0.108689442,0.243534371,0.286900461,0.26801312,0.47867626,0.54651171,0.714482427,0.803224623,1.083533764,2.700786591,16.05049324,54.87677002,116.3909988,136.746521,97.1663208,34.30913544,9.56089592,2.98532486,2.272227764,2.054314137,2.008753777,2.096465349,2.354166746,2.449033022,2.790694714,3.38454175,3.912858248,5.548657894,9.379172325,13.28805256,16.45686531,16.19280434,13.76726055,9.823640823,8.309076309,7.746092319,7.892187119,8.441699982,9.255574226,9.8971138,11.04535961,11.26266479,12.45898151,14.70068741,15.81251907,16.96134949,18.20186234,20.71752357,22.22876358,24.92496872,27.66366005,30.01091766,32.40736008,34.3920517,36.96210098,34.02019119,37.08029175,39.63089752,41.49956894,44.48895264,45.08517075,47.93470001,49.21333694,50.98942947,51.83330917,52.01911163,54.19194031,52.70391083,54.59836197,53.88440323,53.40462875,52.56761169,52.11259842,51.29787064,49.78279877,49.36419678,47.53409195,45.38846588,43.58942032,43.34840393,42.02486038,40.99584961,40.48533249,37.8850174,37.20709229,37.14747238,36.22702408,33.98522568,33.66242981,32.87765503,29.75258446,29.11272621,27.57284737,27.9969902,26.5401001,26.06957817,26.21461678,24.04813004,23.67718887,23.09209061,22.53302956,22.01299477,21.76054955,20.36255455,19.97258377,19.24534035,18.48430252,17.5131321,16.97172737,16.52019501,15.83600044,15.2874155,14.83189774,14.27404022,13.88623428,13.31828117,12.99983501,12.13908577,11.45049191,11.9732132,11.17394638,11.00535202,10.21109772,10.16398335,9.661337852,9.012365341,8.401245117,8.338459015,8.635532379,7.884846687,7.487678528,7.312051773,6.984419346,6.889044285,6.499812126,6.39177227,5.860738277,5.984719753,5.338378906,5.379582882,5.075325966,4.887632847,4.552792072,4.351428032,4.078853607,3.974048853,3.586047649,3.657628298,3.062691212,3.18659234,3.023067713,3.069488287,2.682792187,2.828070402,2.595814705,2.539387465,2.273288488,2.329831123,1.988264084,2.099404335,1.726852536
310,0.074465811,0.112191632,0.104967192,0.073380142,0.133156911,0.114751264,0.118418887,0.113008842,0.137686744,0.323834658,0.232420638,0.352600217,0.509886324,0.771804512,0.854216278,0.98114711,1.427697897,5.123929024,26.8712616,79.25092316,144.2009277,136.1125488,79.64310455,25.37047005,6.210376263,2.059597969,1.902890682,1.676095843,1.875596285,1.904034615,2.105886936,2.168386221,2.761991262,3.020965338,3.808899641,5.35468626,7.973381996,12.35613155,16.39855766,17.19239807,14.78868771,11.6632061,9.337587357,8.930176735,8.974356651,9.793516159,10.41755486,11.91225815,12.88872814,14.40308285,16.08821678,17.3985939,19.52692604,21.23300743,23.99545479,26.31595802,27.9190197,30.03372383,32.76128387,35.38525391,34.17708206,35.64018631,38.76266098,41.39267349,43.36969757,45.01604843,46.99533463,48.40044785,49.22558212,50.50398254,52.58927155,51.72021484,53.07307434,53.0256424,54.22210312,53.74157333,52.8697052,52.26319122,50.52632523,49.77565002,49.37727737,47.80402756,46.57367706,44.60155106,44.05231094,42.77531052,41.69694138,40.12260056,39.06869888,37.32429886,37.33560944,35.79592514,35.40456009,34.17510223,33.34103394,30.40275002,29.97681999,29.07991028,28.12080956,27.53438568,26.69155502,25.28964996,25.33275414,24.47676468,23.1656971,22.58820724,22.23479843,20.59330368,21.01069641,19.46230125,19.3291893,18.47754669,18.05081177,17.75053596,16.72992325,16.40456963,15.24919319,14.85114765,14.28714085,13.65672016,13.21090412,12.46723652,12.2038784,12.09093285,11.12778187,11.07086754,11.03857517,10.52414799,10.02681828,9.519422531,9.070952415,8.898817062,8.552797318,8.164949417,7.794379711,7.52211237,7.146069527,6.965148449,6.49599123,6.246474266,6.135184288,5.686952114,5.489816666,5.158512115,5.252395153,4.931088924,4.729437828,4.643431187,4.298015594,4.223274708,3.555247784,3.74875927,3.606486559,3.299884319,3.009203672,3.095109224,2.884901047,2.742462158,2.478918314,2.686457634,2.345878601,2.408159733,2.123781443,1.892671108,1.808062911,1.815094113
315,0.145989403,0.056207895,0.199598685,0.097923592,0.053841129,0.047438607,0.18823643,0.183243558,0.188531533,0.252942204,0.210339114,0.291457832,0.312565625,0.367743969,0.450315058,0.625588417,0.555868387,0.763696194,1.05896461,3.114213705,21.87803078,72.97364044,136.6454163,149.3056183,103.7427597,32.50989914,7.935482025,2.427924871,1.941467524,1.8801229,1.846519113,1.868037224,2.20638442,2.314201832,2.684146881,3.039312363,3.06111455,4.241839886,5.951732635,9.322415352,13.87205505,17.40906906,17.63849258,15.34214401,12.32362461,9.981603622,9.981610298,10.84298897,11.55025291,12.71575356,14.2978754,15.6342268,17.47024536,19.55340958,21.8237114,22.94848251,25.77381516,28.67486954,30.55743599,33.08195114,31.02473831,33.86758423,36.78692245,38.80170441,40.35423279,43.09298325,44.41679001,45.97645187,47.11389542,48.93683624,49.42998886,50.40548325,50.38408279,51.14919281,52.10177994,51.53599548,50.50931931,50.51449966,49.65048218,48.62343597,48.18413544,46.86776352,45.09017944,42.90843964,42.78124237,42.00145721,40.58240128,39.91477203,38.26104355,37.29943466,36.64805603,35.81395721,34.84154129,33.53477859,32.78565598,30.40717125,29.42842293,28.86744118,28.19579506,27.82502556,26.681036,25.45075226,24.9968853,23.85335159,22.7147789,23.45618057,21.84823036,21.6460495,20.20755005,19.96405983,18.7077446,18.53557396,17.84890175,16.58354378,16.25559235,15.73338318,15.5975647,14.98352051,14.42102051,13.87311554,13.32464123,12.79505825,12.77686024,11.74079895,11.49952126,10.82041359,11.08530045,10.10737419,9.762328148,9.589442253,9.058179855,8.856869698,8.604040146,7.899695396,7.678556919,7.441843033,7.118217945,7.059171677,6.637162685,6.389547348,6.064862728,5.585156441,5.374258518,5.138755798,5.149143219,4.664300442,4.503401279,4.59536314,3.983011484,4.178403854,3.518431425,3.31999445,3.487785101,3.134965181,2.973896742,2.996533871,2.686786652,2.487383127,2.555304766,2.417959452,2.40006423,2.217318296,2.207720995,1.981589794,1.77400136,2.006481886
320,0.063521266,0.022040039,0.141443446,0.068415746,0.074982628,0.03073208,0.129696921,0.220508501,0.28069818,0.187262252,0.273919165,0.291392744,0.452744365,0.386353135,0.336729705,0.480876923,0.505793273,0.638933063,0.548003733,0.884889543,1.152522564,2.152867317,9.948060036,43.72669983,104.2671051,149.4932861,125.0558701,62.73603058,17.22918701,4.571164608,2.244386435,1.960980177,1.834724307,2.074956179,2.146074772,2.269451857,2.163031816,3.171458244,3.191296339,3.687235832,4.801553726,6.68288517,10.1089735,13.98052216,18.39045525,18.55881691,17.60523796,14.24987888,11.9087925,11.57041264,12.11618805,13.97375679,15.37548733,17.5851078,19.43310165,21.52905083,23.44599915,25.3427639,27.68006325,29.06767845,27.92656136,31.345644,33.59393692,36.17975998,36.56692123,39.18463516,40.65084839,42.21889114,44.06072617,46.48023224,47.04090118,47.36380005,48.08436966,47.89810562,48.45537186,48.99290085,48.69768143,47.693573,48.14337921,46.76158142,45.66745758,45.21388626,44.11933899,42.41056824,41.85491562,41.03092957,40.52043533,38.26193237,38.26000595,38.04360962,36.26810074,35.79285049,34.38763428,33.14056015,32.80076981,30.10718346,29.68755531,28.58035278,27.43464279,26.5998764,25.62011147,25.65180588,25.53633308,24.08696747,22.91059685,22.90896797,21.32296371,21.46962166,20.6113987,19.95720482,18.66352081,19.07266045,17.961586,16.90232658,16.3716011,15.68194771,15.23224831,14.74141788,14.44251251,13.83647251,13.47498322,12.72245598,11.84406948,11.88711262,11.19476318,10.79038143,10.52719784,9.843109131,9.738599777,9.181282043,9.030254364,8.022222519,8.162327766,7.96604538,7.107292652,7.490395546,7.219141006,7.204809189,6.275279045,6.354038239,5.676716805,5.482794762,5.597723484,4.984869003,4.915462017,4.532578945,4.549310684,4.452550411,4.109247208,3.984690428,3.460652113,3.113534689,3.40734911,3.395823717,3.094680071,2.794499159,2.639782906,2.643084764,2.472322941,2.490641594,2.305882215,2.393021584,2.193261385,2.021411657,1.82478106,1.831985116
325.0700073,0.044522285,0.091464162,0.062784582,0.114550218,0.054344133,0.112369165,0.074645981,-0.020671159,0.074838787,0.144194975,0.166926816,0.20468466,0.17125912,0.225749895,0.317492247,0.361266255,0.236726984,0.391682386,0.308620155,0.425334811,0.620855451,0.782066941,1.097447395,1.339088798,2.725063086,15.87309551,60.36398697,128.8630066,159.7457733,117.896843,42.7052002,9.950717926,3.195438385,2.287287235,2.038195133,2.165366173,2.260313749,2.363181353,2.506960154,3.085046768,3.489168882,3.629181385,4.614187717,5.411092758,6.848629475,10.1251688,14.34629154,18.86110878,21.47726822,20.67173958,17.64978409,15.42854881,15.43438148,15.91654301,17.78226662,18.77970505,20.76998711,22.90652847,24.53866005,26.3119297,25.98859787,27.78038979,30.62725449,32.5385704,34.49222565,36.43867111,38.57209396,40.40462494,42.7265625,43.39147186,44.13444901,45.58003998,45.8848381,46.63236618,47.57900238,46.76353073,46.84476089,47.41342163,46.08459473,45.96651459,45.29804611,44.39410019,43.21051788,42.17260742,41.79788208,40.58120346,39.18285751,38.61702728,37.3848114,36.09186554,36.54224014,35.97993851,33.94156265,33.18083954,33.97359085,29.67072487,29.17712784,28.8311367,28.06938934,28.158638,27.01986885,26.29825211,25.17014885,23.71347237,23.49294472,22.40349007,22.23221207,21.69869804,19.79407692,19.8583107,19.07557106,18.67112541,17.91802025,17.64389038,16.74050522,16.43420792,15.77972412,15.10249805,13.9944973,14.12611961,13.68214321,13.00131607,12.3275423,11.95362282,11.34819317,11.43591595,10.40566635,10.22347069,9.902112961,9.376004219,9.104980469,8.554474831,8.485712051,8.127698898,7.830857754,7.798501968,7.209971905,6.981654644,6.639033318,6.325247288,5.950863361,5.375894547,5.567093372,5.315320969,4.630810261,4.70113802,4.614153385,4.34551239,4.357974529,4.10952282,3.808721781,3.236696005,3.522714376,3.321430445,2.933403254,2.873370171,2.874376535,2.564394236,2.531505585,2.483012199,2.267929554,2.461465597,1.997360706,1.87501359,1.964014053,1.838389158
