"V1","V2","V3","RamanArea","A254","A280","A350","A440","S275to295","S350to400","SR","BA","FI","HIX","HIX.ohno","PeakA","PeakB","PeakC","PeakD","PeakE","PeakM","PeakN","PeakP","PeakT"
"ELAFISH949.csv","MILLIQBLANKSEPT202022.csv","ELAFISH949","135.766091749205","10.0090133210613","6.75459376982491","1.78243484078721","0.36628772100196","0.0213249233870232","0.0195666438014939","1.08986107190212","0.505022344403267","1.54146583477588","4.78494441826042","0.827137492135022","0.696460831609812","0.190788167189843","0.468901279320055","0.138365242579356","0.0320531785038712","0.488543521903097","0.219669314815659",NA,"0.182932634091433"
"ELAFISH1015.csv","MILLIQBLANKSEPT222022.csv","ELAFISH1015","136.470354859336","10.0481330290102","6.84412387033225","1.8376213825371","0.380764390655397","0.0208205585623074","0.0192073627719047","1.08398840640228","0.595824794533212","1.21532458294301","3.50152833966623","0.777853225717081","0.629927507023317","0.269473752140236","0.356739962895059","0.139762913976421","0.0360612848907721","0.382796985017427","0.250112683118451",NA,"0.225785867024855"
"ELAFISH932.csv","MILLIQBLANKSEPT232022.csv","ELAFISH932","139.630873748375","10.1879794636442","7.25919254702665","1.82461910992779","0.383654508411108","0.0176808659058957","0.0178367564923619","0.991260149426102","0.533825093904812","1.25472305098935","3.94905443851825","0.797941200198355","0.639209448689097","0.192220234309942","0.383994736129806","0.124522104541346","0.0291088250097541","0.464841992355272","0.256384584337493",NA,"0.216311907314997"
"ELAFISH922.csv","MILLIQBLANKSEPT202022.csv","ELAFISH922","135.766091749205","11.4897442439733","8.15574520214446","2.31161260159332","0.666862857601142","0.0210433570526003","0.0160741516608935","1.3091426220518","0.596798203004771","1.48815386833321","3.2869050207633","0.766731477567948","0.726292830408194","0.493124476072715","0.544122838665239","0.175410849917526","0.0413420453274072","0.545766816761734","0.300063189890664",NA,"0.319750620297999"
"ELAFISH1011.csv","MILLIQBLANKSEPT82022.csv","ELAFISH1011","136.123631531856","11.7661036352561","8.26151306051324","2.30562879610953","0.640160269275982","0.0202215418361497","0.0172302504332311","1.17360696029986","0.64236832216453","1.41418224707678","2.85451226184137","0.740563803649108","0.714512340674634","0.475661887573743","0.446428484685022","0.163037977574215","0.0431322491456693","0.582989173756561","0.353726051494801",NA,"0.368592463055909"
"ELAFISH947.csv","MILLIQBLANKSEPT192022.csv","ELAFISH947","135.385100955658","10.7811045660842","7.55780516930265","2.0627189771143","0.493479044094343","0.0204363809659796","0.0180166327248093","1.13430635336415","0.501390421237921","1.47076751241299","4.0106932298981","0.800426816386774","0.716772755452638","0.280413370980349","0.494466012930309","0.152204749235002","0.0327523789005018","0.521612462346083","0.271167211290319",NA,"0.26096160511081"
"ELAFISH931.csv","MILLIQBLANKSEPT202022.csv","ELAFISH931","135.766091749205","10.9885424010358","7.84564840098604","2.18601954480411","0.581716656549928","0.0185660531513286","0.0161778013600281","1.14762523894015","0.563350504479109","1.38873923641887","2.78164788316509","0.735565015333199","0.716806362338892","0.440235580109622","0.472347002265391","0.149008778270947","0.0395832630126338","0.496840998035273","0.329246149151684",NA,"0.406931769050227"
"ELAFISH1009.csv","MILLIQBLANKSEPT222022.csv","ELAFISH1009","136.470354859336","10.3326721576695","7.05702893536268","1.8412360165265","0.365340189498297","0.0213386994979208","0.0185937201724926","1.14762937701348","0.517865413982639","1.33712713119688","3.60505794035721","0.782847466209637","0.644808164841171","0.259792383917587","0.380964977033083","0.13460622536673","0.0282695093842808","0.534478027864568","0.23874810061613",NA,"0.208952559505195"
"ELAFISH902.csv","MILLIQBLANKSEPT222022.csv","ELAFISH902","136.470354859336","10.6109380263607","7.29055568436775","1.91866750576995","0.421878903357564","0.0208753031053115","0.0181174866444566","1.15221849006847","0.532505245155805","1.27530852758737","3.39856682492159","0.772653220968667","0.68354778693954","0.450605144983173","0.463792491714816","0.127137011718575","0.0321096301714566","0.534489404820518","0.237537942147252",NA,"0.245160691750913"
"ELAFISH1006.csv","MILLIQBLANKSEPT232022.csv","ELAFISH1006","139.630873748375","11.2805326154424","7.78634044116268","2.01860947043418","0.464684036808095","0.0186959369485771","0.0176414769422474","1.05977163985655","0.545199631032861","1.26434599034785","2.48527377546073","0.713078494137005","0.713878705206316","0.549180439515695","0.449875819959342","0.144616201560594","0.0382935103610769","0.50081459495641","0.363583799756247",NA,"0.471454938246012"
"ELAFISH116.csv","MILLIQBLANKSEPT202022.csv","ELAFISH116","135.766091749205","11.7142127881705","8.21445479023988","2.32479778785181","0.578708109465948","0.0195235243097876","0.0176672109256459","1.10507110556127","0.513552982956607","1.31129396339303","3.325042092488","0.768788377404034","0.735573024185239","0.385068471595744","0.442490180358789","0.165277444337661","0.0464507661509959","0.460120743474683","0.405691468007102",NA,"0.464150503277924"
"ELAFISH933.csv","MILLIQBLANKSEPT202022.csv","ELAFISH933","135.766091749205","11.5350777059812","8.29085622949238","2.26204004867188","0.578389757843071","0.0181918399369155","0.0166927543349251","1.08980456861178","0.54887599200233","1.33954441645078","2.57788110831025","0.720504966563219","0.748232705594985","0.537717919605752","0.480468926701809","0.169751449587961","0.0366582770662986","0.521695490797485","0.338118289400529",NA,"0.420688072302933"
"ELACTL1L222224.csv","MILLIQBLANKSEPT132022.csv","ELACTL1L222224","137.29245991497","10.0883448852426","6.83017481499994","1.7881707531235","0.357758710998762","0.0215261606104492","0.018798516850908","1.14509888100079","0.559308166188299","1.30553320697949","4.24881634999483","0.809480855621671","0.590575980831434","0.181589195561025","0.324844542444875","0.119036348193777","0.0256604255440037","0.361543424719966","0.188535609752463",NA,"0.152855550766667"
"ELAFISH941.csv","MILLIQBLANKSEPT152022.csv","ELAFISH941","139.735547117237","10.9350787315588","7.83779530839893","2.14039829084102","0.46454372448633","0.0173657311308521","0.0188867095456066","0.919468321833309","0.391571481061363","1.85919640142828","4.75753142072954","0.826314451988993","0.815894990333133","0.221745567383904","1.19822061698184","0.149887380487352","0.0299332398959461","1.0305733357707","0.261035123193303",NA,"0.224299417422377"
