Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L239_1m_june 8_22_EM_270.00,L239_1m_june 8_22_EM_272.00,L239_1m_june 8_22_EM_274.00,L239_1m_june 8_22_EM_276.00,L239_1m_june 8_22_EM_278.00,L239_1m_june 8_22_EM_280.00,L239_1m_june 8_22_EM_282.00,L239_1m_june 8_22_EM_284.00,L239_1m_june 8_22_EM_286.00,L239_1m_june 8_22_EM_288.00,L239_1m_june 8_22_EM_290.00,L239_1m_june 8_22_EM_292.00,L239_1m_june 8_22_EM_294.00,L239_1m_june 8_22_EM_296.00,L239_1m_june 8_22_EM_298.00,L239_1m_june 8_22_EM_300.00,L239_1m_june 8_22_EM_302.00,L239_1m_june 8_22_EM_304.00,L239_1m_june 8_22_EM_306.00,L239_1m_june 8_22_EM_308.00,L239_1m_june 8_22_EM_310.00,L239_1m_june 8_22_EM_312.00,L239_1m_june 8_22_EM_314.00,L239_1m_june 8_22_EM_316.00,L239_1m_june 8_22_EM_318.00,L239_1m_june 8_22_EM_320.00,L239_1m_june 8_22_EM_322.00,L239_1m_june 8_22_EM_324.00,L239_1m_june 8_22_EM_326.00,L239_1m_june 8_22_EM_328.00,L239_1m_june 8_22_EM_330.00,L239_1m_june 8_22_EM_332.00,L239_1m_june 8_22_EM_334.00,L239_1m_june 8_22_EM_336.00,L239_1m_june 8_22_EM_338.00,L239_1m_june 8_22_EM_340.00,L239_1m_june 8_22_EM_342.00,L239_1m_june 8_22_EM_344.00,L239_1m_june 8_22_EM_346.00,L239_1m_june 8_22_EM_348.00,L239_1m_june 8_22_EM_350.00,L239_1m_june 8_22_EM_352.00,L239_1m_june 8_22_EM_354.00,L239_1m_june 8_22_EM_356.00,L239_1m_june 8_22_EM_358.00,L239_1m_june 8_22_EM_360.00,L239_1m_june 8_22_EM_362.00,L239_1m_june 8_22_EM_364.00,L239_1m_june 8_22_EM_366.00,L239_1m_june 8_22_EM_368.00,L239_1m_june 8_22_EM_370.00,L239_1m_june 8_22_EM_372.00,L239_1m_june 8_22_EM_374.00,L239_1m_june 8_22_EM_376.00,L239_1m_june 8_22_EM_378.00,L239_1m_june 8_22_EM_380.00,L239_1m_june 8_22_EM_382.00,L239_1m_june 8_22_EM_384.00,L239_1m_june 8_22_EM_386.00,L239_1m_june 8_22_EM_388.00,L239_1m_june 8_22_EM_390.00,L239_1m_june 8_22_EM_392.00,L239_1m_june 8_22_EM_394.00,L239_1m_june 8_22_EM_396.00,L239_1m_june 8_22_EM_398.00,L239_1m_june 8_22_EM_400.00,L239_1m_june 8_22_EM_402.00,L239_1m_june 8_22_EM_404.00,L239_1m_june 8_22_EM_406.00,L239_1m_june 8_22_EM_408.00,L239_1m_june 8_22_EM_410.00,L239_1m_june 8_22_EM_412.00,L239_1m_june 8_22_EM_414.00,L239_1m_june 8_22_EM_416.00,L239_1m_june 8_22_EM_418.00,L239_1m_june 8_22_EM_420.00,L239_1m_june 8_22_EM_422.00,L239_1m_june 8_22_EM_424.00,L239_1m_june 8_22_EM_426.00,L239_1m_june 8_22_EM_428.00,L239_1m_june 8_22_EM_430.00,L239_1m_june 8_22_EM_432.00,L239_1m_june 8_22_EM_434.00,L239_1m_june 8_22_EM_436.00,L239_1m_june 8_22_EM_438.00,L239_1m_june 8_22_EM_440.00,L239_1m_june 8_22_EM_442.00,L239_1m_june 8_22_EM_444.00,L239_1m_june 8_22_EM_446.00,L239_1m_june 8_22_EM_448.00,L239_1m_june 8_22_EM_450.00,L239_1m_june 8_22_EM_452.00,L239_1m_june 8_22_EM_454.00,L239_1m_june 8_22_EM_456.00,L239_1m_june 8_22_EM_458.00,L239_1m_june 8_22_EM_460.00,L239_1m_june 8_22_EM_462.00,L239_1m_june 8_22_EM_464.00,L239_1m_june 8_22_EM_466.00,L239_1m_june 8_22_EM_468.00,L239_1m_june 8_22_EM_470.00,L239_1m_june 8_22_EM_472.00,L239_1m_june 8_22_EM_474.00,L239_1m_june 8_22_EM_476.00,L239_1m_june 8_22_EM_478.00,L239_1m_june 8_22_EM_480.00,L239_1m_june 8_22_EM_482.00,L239_1m_june 8_22_EM_484.00,L239_1m_june 8_22_EM_486.00,L239_1m_june 8_22_EM_488.00,L239_1m_june 8_22_EM_490.00,L239_1m_june 8_22_EM_492.00,L239_1m_june 8_22_EM_494.00,L239_1m_june 8_22_EM_496.00,L239_1m_june 8_22_EM_498.00,L239_1m_june 8_22_EM_500.00,L239_1m_june 8_22_EM_502.00,L239_1m_june 8_22_EM_504.00,L239_1m_june 8_22_EM_506.00,L239_1m_june 8_22_EM_508.00,L239_1m_june 8_22_EM_510.00,L239_1m_june 8_22_EM_512.00,L239_1m_june 8_22_EM_514.00,L239_1m_june 8_22_EM_516.00,L239_1m_june 8_22_EM_518.00,L239_1m_june 8_22_EM_520.00,L239_1m_june 8_22_EM_522.00,L239_1m_june 8_22_EM_524.00,L239_1m_june 8_22_EM_526.00,L239_1m_june 8_22_EM_528.00,L239_1m_june 8_22_EM_530.00,L239_1m_june 8_22_EM_532.00,L239_1m_june 8_22_EM_534.00,L239_1m_june 8_22_EM_536.00,L239_1m_june 8_22_EM_538.00,L239_1m_june 8_22_EM_540.00,L239_1m_june 8_22_EM_542.00,L239_1m_june 8_22_EM_544.00,L239_1m_june 8_22_EM_546.00,L239_1m_june 8_22_EM_548.00,L239_1m_june 8_22_EM_550.00,L239_1m_june 8_22_EM_552.00,L239_1m_june 8_22_EM_554.00,L239_1m_june 8_22_EM_556.00,L239_1m_june 8_22_EM_558.00,L239_1m_june 8_22_EM_560.00,L239_1m_june 8_22_EM_562.00,L239_1m_june 8_22_EM_564.00,L239_1m_june 8_22_EM_566.00,L239_1m_june 8_22_EM_568.00,L239_1m_june 8_22_EM_570.00,L239_1m_june 8_22_EM_572.00,L239_1m_june 8_22_EM_574.00,L239_1m_june 8_22_EM_576.00,L239_1m_june 8_22_EM_578.00,L239_1m_june 8_22_EM_580.00,L239_1m_june 8_22_EM_582.00,L239_1m_june 8_22_EM_584.00,L239_1m_june 8_22_EM_586.00,L239_1m_june 8_22_EM_588.00,L239_1m_june 8_22_EM_590.00,L239_1m_june 8_22_EM_592.00,L239_1m_june 8_22_EM_594.00,L239_1m_june 8_22_EM_596.00,L239_1m_june 8_22_EM_598.00,L239_1m_june 8_22_EM_600.00
275.0700073,18.1856041,70.29200745,127.0544739,145.6227417,117.118187,36.14466858,11.14950657,3.347889185,2.634751558,2.716008186,3.118919611,3.378431559,3.722622395,4.455638885,6.609080791,10.85781002,14.15666389,16.55227089,14.73731804,11.97831154,9.075442314,8.325204849,8.122628212,8.562879562,9.573787689,11.9149828,16.89005852,21.66250038,26.26814651,27.33175278,28.37309074,30.61395836,32.49032593,36.16991043,39.40595627,42.1724205,41.94580841,41.60478592,42.29584885,41.02712631,40.24783325,41.29860687,42.16792297,41.40192795,40.38864136,40.40420151,39.51306152,39.12451935,38.31650925,37.74491119,37.46455002,37.41234207,37.54353333,38.04198456,37.3908577,37.95521545,37.93257141,38.25189972,38.83911514,40.04022217,35.33889008,37.60617447,38.73126984,40.124897,41.05475616,43.2198143,43.56382751,44.66016388,46.08826828,48.05259705,48.84036255,49.85932541,51.20222473,52.35156631,53.97492981,54.21088409,55.08602905,55.44881058,55.85759354,56.66595078,57.55390549,57.19760132,56.64637375,57.68468857,57.04080963,57.45646667,57.29174423,56.85523224,57.66223526,57.30930328,58.00291824,58.55400848,58.16437912,57.81670761,58.63948441,53.70521927,54.6003952,54.70988846,54.41905975,54.97132492,53.92665482,53.82832718,52.88164902,52.7322197,52.8650856,51.50999832,51.55819702,50.08737946,49.02145767,48.66286087,47.18110275,47.21881104,45.99418259,44.92086029,43.29586411,42.96377182,41.68461609,41.27253342,40.06355667,39.10440063,38.61050034,37.42568588,36.10848618,34.89825439,33.73069382,32.47919846,32.30758286,31.08204842,29.373209,29.17205811,28.43416786,27.11241913,25.97262955,25.4519558,24.72829819,23.46292686,22.43463135,22.21292114,21.19677162,20.01204491,19.38084412,19.04011917,17.9788723,17.40851593,16.68854523,16.50728035,15.41731358,14.60933876,13.88695049,13.64902782,13.02486992,11.56540108,11.22827625,11.22071648,10.41676044,9.89379406,9.665559769,9.370426178,9.069325447,8.457896233,8.179944992,8.088644981,7.733606339,7.043391705,6.831515312,6.712168217
280,1.181638479,1.849421024,6.056161404,28.19862366,99.53939056,142.0809479,147.0147705,80.15914917,25.34202766,7.37398386,3.630075693,3.219105721,3.931989431,4.091959476,4.688268661,4.998282909,6.084062099,7.692220211,11.04573059,15.1037035,18.08998108,17.11707687,14.11432934,12.27588081,11.04570961,13.42646122,17.26611328,22.44164848,26.4155674,27.36372566,28.74085617,30.90736008,32.79653931,37.02766037,39.79957962,43.68533707,43.68438721,42.25853348,42.96656799,43.18135071,42.77615738,42.73529434,43.25896072,43.58216476,43.05187607,42.63899612,41.28587341,40.9189949,39.68047714,39.28052139,39.43886185,39.51353073,38.81711578,38.62402725,38.93817139,38.6190033,39.28231049,40.00530243,40.16401291,40.41133499,35.94890594,38.4690361,39.07986832,40.71052551,41.56076431,42.28229523,43.8167305,44.73313522,45.88522339,47.4586525,47.68563843,49.29352951,50.22830963,51.43044281,51.15566254,52.57588959,52.27758789,53.56067276,54.3892746,54.10792542,54.78286362,54.09200668,54.76572037,53.9401207,54.03601837,53.14997864,53.532444,53.05962372,53.69181442,53.09326935,53.50540924,55.10544586,55.0953064,54.72467041,54.59141922,50.45145416,50.62837219,51.1391716,51.3271904,51.03751373,50.67457962,50.21259689,49.25671005,49.43523026,49.01158142,47.54093933,46.88860321,46.71984482,45.82978821,45.18879318,44.67458344,43.62285995,42.63700104,42.54439926,40.6079483,39.94878387,38.86044693,38.15977478,37.91973495,36.62916946,35.88982391,34.35581207,33.71681976,32.07865906,31.58975029,30.65693474,29.39678001,28.58516693,27.78599548,27.29127502,26.86933899,24.8595314,24.34837532,23.61537552,23.31497383,22.44545937,21.63049889,20.58780289,19.97451019,19.50569916,18.88090897,17.76768494,17.54106903,16.30002594,15.85002613,14.76636887,14.53117943,13.92126656,13.20220947,12.96809864,11.56112385,11.48871613,10.80822086,10.43963623,10.39274597,10.03572559,9.074606895,8.798829079,8.336194038,8.188268661,7.587195873,6.956131935,7.251089573,6.694444656,6.789158344,6.094516277
285,0.593007863,0.880202055,0.986869156,1.196495771,2.859369516,14.76319122,64.42285919,127.3866196,151.7161865,125.8066101,51.84879303,14.1296196,4.966052055,4.437125206,4.214696884,4.308631897,4.644032955,5.274738312,5.874598026,6.478488445,8.570224762,11.88824749,16.34669685,19.05313683,19.68556786,17.58408928,19.05501366,21.7857151,24.77308083,26.52443695,28.82024765,30.22815514,32.7964859,36.61327362,40.01390457,42.67697144,43.82771683,43.82167816,43.45807648,43.54711151,44.87810135,44.87474823,45.12930298,45.49466324,45.36878967,44.09285736,42.53495789,42.65475464,43.0210762,41.56878281,41.82286835,41.4822731,40.26337051,40.45058823,40.31269073,40.88614655,41.44771576,41.36372375,42.39403152,43.85218811,38.03532791,39.5402298,40.23102951,41.82969666,43.09070969,43.88339233,45.53260803,46.08584976,47.6728096,48.45656204,49.49168396,51.0847435,50.60173798,51.68006516,53.56684494,53.0133667,53.6442337,53.32437515,54.61734009,54.47202301,53.82292938,54.13034439,53.87534714,53.55898666,54.77861404,52.14108658,52.3325882,52.82291412,52.80064392,53.11068726,52.6565094,52.97452545,52.26363754,52.4859581,51.3731842,48.81877136,48.33114243,48.21384811,48.82844162,49.03899384,48.03238297,47.22113037,48.20914078,47.03454208,46.68938828,45.37747192,44.53318024,43.84828568,44.06719971,43.30626297,41.57814407,41.53478622,40.40509796,39.70273972,38.69731522,37.89046478,36.41854095,35.72134018,35.27157593,34.37512589,33.51682663,33.16590118,32.07565308,30.2781105,29.79303551,28.74359512,28.4825573,27.97664452,26.53997993,25.97214127,24.44765854,23.74183846,23.33162308,22.52292633,22.02266312,21.31785011,21.04183197,19.80212784,19.2023735,17.83420372,17.29996109,17.4066124,16.31368256,15.62878895,14.79870892,14.67070007,14.43014717,13.29103565,12.66593552,11.8203373,10.87679291,10.54597473,10.20858288,9.800935745,9.50376606,9.154969215,8.643215179,8.573072433,8.41209507,7.650422096,7.588292122,7.18171072,6.997299194,6.364179611,6.669001579,5.888632298
290,0.448596299,0.595764935,0.62402463,0.800080478,1.033573389,1.237045407,2.310453176,9.082894325,42.9133606,111.4095154,178.2543335,153.5754852,94.23877716,34.26010895,7.647116184,4.240222454,4.011415482,4.227228642,4.585582733,4.413042545,5.209168911,5.784056664,6.965341568,8.811928749,13.03248978,18.83697701,23.41937065,26.03014755,25.86783218,25.69197083,25.86319923,27.50199509,30.14680862,33.98617554,36.3684082,39.40740585,40.85534286,41.94997025,41.99191666,42.10463333,42.71222305,43.68858719,43.58469391,44.16960144,44.85490799,43.26213074,42.79508972,42.85995865,41.72161484,42.39223099,41.71079254,41.77207565,40.82659912,41.92873001,41.51657104,42.99399567,42.69286728,43.2816925,43.86588669,44.23382187,40.53817749,40.7461586,42.68471146,43.62610626,45.2194519,46.11126328,47.63267899,48.78177643,49.9367218,50.46678162,51.03977585,52.05868912,52.60202789,52.940979,54.76164246,55.12138367,55.54799271,55.61406708,55.48809814,55.95023346,55.2528038,54.89865494,54.03365707,53.79234695,53.93892288,54.23617935,52.96811676,53.4202919,53.2759285,52.64305878,52.06726074,52.39345169,51.52827072,50.96884918,51.02117538,47.80312729,47.11390305,46.91268158,48.35152817,47.13028336,47.03665924,45.8228569,45.30794525,45.30990982,44.26627731,43.43340302,43.22011566,42.16566467,41.61086273,41.26379395,40.47771072,39.78197861,37.9274025,37.88380814,37.39056015,36.37097931,35.46971512,35.15919113,33.96142197,32.51351929,31.37985611,30.95161629,30.09547806,29.31584167,28.84011459,27.448349,27.06052208,26.4850769,25.76320076,24.14946556,24.21192741,23.07341385,22.45776939,21.24806976,20.87932777,19.96977806,19.44746399,18.20864677,18.09584618,17.27944183,16.49798775,15.81705761,15.51026726,14.91747093,14.26302242,13.98730373,13.18377304,12.64539623,12.21711349,11.53565979,10.50257397,10.03791332,9.75910759,9.287611008,9.080936432,8.679930687,8.535492897,8.165868759,7.70253849,7.566540718,7.079608917,6.19310236,6.53747654,6.287117004,5.900642395,5.636360645
295,0.291324109,0.487745821,0.432548642,0.518873036,0.583507299,0.634729087,0.899588168,1.170364738,1.446283698,3.843072414,24.66718292,79.61690521,186.5340881,242.1222992,144.5791168,54.94103622,15.58953762,4.606849194,3.628353596,3.544926167,3.426958323,3.767453909,4.173564911,4.466219902,5.374485016,7.427182198,11.10238647,17.20855331,23.10802841,26.61479378,28.73066139,28.02761269,28.52973747,29.13926125,32.17842484,34.12462616,35.36434937,36.26880646,37.0548439,38.22750092,39.28854752,40.79333115,41.62998199,41.98026657,42.63336563,42.16827774,41.84443665,41.6613121,42.2637558,41.45927811,41.4535408,42.02754974,41.825737,42.4390831,43.26758194,43.34519958,43.72669601,44.68146515,44.95866776,46.50764465,41.60063171,42.96932983,44.39457703,46.2397995,47.88703156,47.82954407,50.20149612,51.6847229,52.92112732,54.02637482,55.0905304,55.6846199,57.28799057,56.57817078,57.90549088,58.03424835,58.34077072,58.86261749,58.53017044,58.16941452,58.13627625,57.32670212,56.5175209,56.58935165,55.73511887,55.42249298,55.2483139,54.95598602,54.54498672,53.38113022,54.04827881,52.77221298,52.78502655,52.37729645,52.77553558,48.40579224,48.29789734,48.07871628,47.8367424,47.51774597,46.73036957,45.45241165,45.49307251,44.60731506,43.60562515,43.22258759,42.93671799,42.08636093,40.99370193,40.64765549,40.03359222,39.13448715,37.23803329,36.96936798,36.14658356,35.42367172,34.03589249,33.60882568,32.39997864,32.32100296,31.11015892,30.51979065,29.76754951,27.77678299,27.46098328,27.23891449,25.60621071,25.07976341,25.23480034,23.51236153,22.57059479,22.01856995,21.39855385,20.36508369,20.35712051,19.52209854,18.57747841,17.90694427,17.30232048,16.81997108,16.6621685,15.17014885,14.83603096,14.37047291,13.87022305,13.06683826,12.71331787,11.91624832,11.71249199,11.11993217,10.11420345,9.830161095,9.593995094,8.934619904,8.695122719,8.459843636,7.877472401,7.923001766,7.55453968,7.19424963,7.049107075,6.287722111,6.304991722,5.793054104,5.928706169,5.538127422
300,0.266481996,0.396325827,0.314559072,0.33894828,0.423166692,0.41702646,0.589422643,0.657201767,0.709045947,1.019259334,1.323756218,2.498573065,12.05500221,76.45328522,143.868454,227.4772949,167.6913147,90.81626892,28.27182961,6.552026749,3.142622709,3.041825533,3.171831131,3.043594837,3.559512615,4.676937103,5.89372015,8.039224625,10.58692837,14.42477322,19.5993576,25.37093544,29.4683876,31.49819756,30.76216888,30.2207756,29.69231033,30.79023743,31.55044174,33.06139374,34.15425491,34.93521881,36.5705452,37.44710159,38.25252151,39.67839432,38.6325264,38.82891464,39.2482872,39.64363861,39.91882324,40.35942841,41.10435486,41.97114944,42.78652573,43.33815384,43.78664017,44.89398193,46.022995,47.42005157,42.48315048,44.12829208,46.79055786,47.72370529,49.62111282,50.70929337,52.22716141,54.12448502,54.9711647,56.29414368,57.96536255,57.86626053,58.96889496,59.79190826,61.10058594,60.62771606,61.56167221,61.8952446,62.41483307,60.92264557,61.15169907,61.32907104,59.49549866,58.26472092,59.3864975,58.02692032,57.04642487,57.44913101,56.09254074,55.57042313,55.36555862,55.1230011,54.0245018,54.07381439,53.26953888,49.1980629,49.66752243,48.4996109,49.43193436,47.47543716,47.52871704,47.07784653,45.84793091,44.77502441,44.63704681,43.39032364,42.6339798,42.00069046,41.03305435,39.93735886,39.89014816,38.98702621,37.57239914,36.74573517,35.68878555,33.75134277,33.99728012,32.87876129,31.77357483,31.82105064,30.35821533,30.01108551,28.68505287,27.39127731,26.68864632,25.82417679,25.48056412,24.78939247,23.63715553,22.81177139,22.20602036,21.29445076,20.74743271,20.27303886,19.46811676,18.78431702,18.03078079,17.12207794,16.29361153,16.20642853,15.39208317,14.92677879,14.58283138,13.99472141,13.24482059,12.529562,12.23927116,12.05145931,11.38305569,10.86761665,9.624236107,8.797849655,9.201408386,8.776376724,8.551868439,7.956228733,7.917198658,7.445413113,7.138526917,6.884981155,6.254248142,6.2712183,6.051633835,5.786291122,5.440904617,5.264640808
305.0700073,0.294747829,0.255221158,0.351029843,0.450365067,0.344868898,0.330896944,0.501385987,0.478751957,0.619156718,0.69127357,0.864922583,1.027321815,1.581956625,2.656683683,4.489741802,27.20944214,88.51283264,196.6789551,274.7048035,174.0575867,58.82955933,14.32009602,4.118233204,3.069978714,2.981236696,3.522732735,4.609662056,5.869499683,6.863605499,8.444226265,10.10768414,12.26686192,16.12940407,21.19589424,27.15951729,31.45438385,32.26674652,30.49482727,28.65793419,28.1377449,29.14899254,29.94848442,30.94199181,32.71934509,32.403759,33.01973724,33.79840088,34.29638672,34.99179459,34.72083282,36.19726181,36.97574615,38.31723404,38.65645981,39.6688118,41.01045609,41.72415924,43.48555374,44.59712219,47.19314194,42.14273834,43.41506577,45.97127533,47.43590927,49.75962448,50.52985382,52.95584106,54.38447189,55.59233475,59.00788498,58.22155762,59.38735199,61.51052094,61.11861038,62.12728882,63.32237244,63.79254913,63.15873718,62.89462662,63.19898224,61.98262787,62.07728577,62.31523895,61.07546234,60.61311722,60.49305344,58.99726105,58.24565887,58.5750351,58.02634048,56.73853302,55.73249817,56.01626587,54.94884491,54.18862152,50.32345963,49.96754837,49.80789185,48.79365158,49.28699875,48.00457001,46.59183121,46.45067215,45.68990326,44.53809357,43.47540665,42.68695068,42.26954269,41.58102036,40.12946701,38.92458725,37.69266129,37.59591293,36.2178688,35.02868652,34.52085114,33.3150444,32.09143448,31.73872185,30.89505768,29.4396801,28.84171295,27.98850441,27.21767807,26.15882683,25.42287254,25.14931297,23.67164612,23.88822365,21.82451057,21.15205765,20.73058891,19.93531227,19.5111084,18.53739738,17.85352707,17.21013451,16.52849197,15.95645142,15.47190857,15.33651447,14.02714157,13.67644978,13.10365009,12.8907795,12.49481678,11.47327423,11.0360775,10.84523869,10.07558918,9.625174522,9.065156937,8.533718109,8.523426056,7.983333111,7.931977749,7.52862978,6.962305546,6.693400383,6.674277306,5.744443417,5.879622936,5.656788349,5.449738026,5.354543686,4.535695553
310,0.206957936,0.295185715,0.182917088,0.358309537,0.360899448,0.265851974,0.409854591,0.42443639,0.346270531,0.535532534,0.56117177,0.703787565,0.866357923,1.498258829,1.299376607,1.651605368,2.282191277,8.280456543,53.78865814,149.6316528,233.7142639,236.0618591,125.3684998,41.021595,9.727888107,3.868685246,3.871434927,4.675432205,5.987567425,6.798980713,8.311301231,9.134304047,11.98762226,13.25676823,15.76987267,18.59844017,22.14903069,25.78167534,30.49668121,32.83893204,31.06176567,29.16165924,26.93989372,27.62106323,27.86433601,28.60477638,29.1460762,29.19975853,30.47854424,32.13683319,32.21673584,33.10021591,34.00512314,35.77739334,36.67172623,37.62879562,39.17313004,41.95575333,42.55872345,44.22595596,40.28527832,42.47676468,44.96873856,46.55289459,48.50354004,50.72902298,51.80482101,53.83916473,55.1606636,57.80547333,59.99186325,61.01922989,61.91023254,62.82132721,64.55247498,65.6558609,65.37866211,64.91278076,64.50786591,64.69939423,64.58873749,65.32169342,62.99027252,63.59599686,63.56422043,61.79074478,62.5061264,61.73821259,60.7857399,59.85551453,59.41719055,58.61629105,58.22494125,58.07686615,57.26806259,52.79786301,52.10699844,51.38469696,51.36292267,50.53461838,49.87272644,48.55841827,48.50010681,47.45643234,45.84545898,45.75636292,43.63562012,42.55987549,41.63671875,41.46636963,39.9777298,39.80096054,38.11809158,37.13956451,36.02080536,35.15511322,33.52418137,33.32872009,32.56010056,31.15818977,29.7916851,29.25437737,27.93068314,27.46931267,26.93021774,26.35675049,24.74289322,24.21092415,23.32570839,22.48504448,21.4688549,20.3143692,19.64943314,19.28181267,18.88025856,17.7246666,17.59631157,16.53043175,15.6957655,15.27376461,14.58178806,14.39728451,14.31212044,13.37331772,12.38814354,12.44386101,11.3933773,11.2074604,10.57027245,10.18169594,9.002872467,8.813950539,8.56921196,8.354846954,7.98779726,7.416051865,7.358903408,6.650757313,6.716861248,6.468365192,6.223501205,6.087967396,5.595369816,5.252672672,5.225145817,5.025305271
315,0.215463817,0.212481678,0.256353825,0.206890792,0.22860232,0.249508262,0.267252326,0.257804066,0.406723261,0.369370133,0.415534735,0.648881614,0.577943265,0.935865343,0.941747606,1.167650819,1.364315033,1.486816406,2.507226229,6.71591711,35.37360764,131.9602661,228.6728058,250.8135986,167.8479156,54.57264709,14.73110771,6.145094395,5.627303123,6.218146324,6.525365829,8.25506115,9.474207878,11.51638508,12.90750504,14.29942799,14.90471935,16.35654449,19.29883766,22.4055481,27.8772831,30.62493324,31.6967411,30.00282669,27.72197914,25.46055031,25.51101112,26.01104355,26.567873,27.60571289,29.23346901,29.44395828,30.55495644,31.66633415,33.03728104,34.73624802,36.69318771,38.41218567,39.08915329,41.06760788,38.09026337,38.96010971,42.16144943,43.55812836,45.51633453,48.64065933,50.35035706,53.10458755,54.56793594,56.2999115,56.78116989,59.56523132,60.14532089,60.99940872,62.59643173,63.46874619,64.33274078,65.67394257,65.37211609,65.28794861,64.20124817,63.96666718,63.64265823,64.20456696,63.14657593,62.75350571,62.72534943,61.88993454,62.13625336,60.13190079,62.0413208,59.92170715,59.65764999,58.30699921,57.70516205,53.80416107,52.70621109,52.40387344,52.23677063,51.38760376,50.54051208,50.39283752,48.71425629,47.11406708,46.17786789,45.74983597,44.36844254,43.30270386,42.28374863,41.00680161,40.29497528,38.91544724,37.92052078,37.04588699,35.64925766,34.65947723,33.81778336,32.34078979,32.3298912,30.69033241,30.2210083,29.42808151,27.78929138,26.6936512,26.32154655,25.49206924,24.53050804,23.87387085,22.13683128,22.22059822,21.4348259,20.56755829,19.64465904,19.26094437,18.36251259,17.58491898,16.83049965,16.4232769,15.65874004,15.63453674,14.26346207,13.58808994,13.6597023,12.68099022,12.12701321,12.30862522,11.68846226,11.13287544,10.56506062,9.747831345,8.956281662,8.892451286,8.24100399,7.803404331,7.657692432,7.306246758,7.089404583,6.930426121,6.554058075,6.315403938,6.081161022,5.772726536,5.373277664,5.154058933,5.299106121,4.724741936
320,0.285497397,0.093868203,0.243019283,0.258582652,0.322049946,0.253377855,0.312045634,0.254235625,0.415950239,0.367628783,0.353813052,0.484105229,0.635411263,1.017639041,0.720553935,0.916482866,0.895363152,1.044099927,1.531353831,1.710926294,2.083818197,4.180470943,18.58632088,77.08991241,175.4321747,266.5295715,225.9827881,114.9075165,31.98706818,10.05108833,6.758313179,7.312460423,8.340778351,9.485398293,10.67365456,11.85274982,12.08542156,12.9151926,14.19367981,14.77260876,15.91450119,18.29795265,21.6736927,25.50190353,29.73721886,30.96577263,29.32309723,26.37788391,24.77825737,24.46770477,25.12921524,26.51637268,27.38989639,28.95563889,29.44851112,30.34912682,32.483181,33.6901741,34.97821045,36.7678299,33.96429825,36.26795578,38.46812057,40.89110947,42.9515152,44.55122757,46.57175827,48.54862976,50.82696152,52.26874161,54.19849014,56.63164902,56.30438614,59.02916718,61.19303131,61.64557266,62.40218353,62.90210724,63.4730072,63.48057938,63.84663391,62.68856812,63.00830078,63.46742249,63.47948456,62.55334473,62.08658218,61.57332611,62.34794617,61.28706741,60.13981247,59.91192627,60.8662796,59.3544426,58.9353981,54.34634399,53.97528458,52.33893967,51.81508636,52.86051178,51.37925339,50.53955078,48.71060181,48.25152969,47.31425476,46.70921326,45.32538986,43.79521942,42.42350769,41.59230423,41.27791977,39.26673508,38.17957306,36.8738327,36.16226578,35.45277786,34.59602737,33.49040222,31.90569687,30.43031502,30.61753845,28.86338043,27.9876442,27.79270744,26.00015259,25.13925362,24.52939987,24.61607933,23.99967766,21.9982338,21.01582909,20.59758377,19.32807732,18.43404579,17.97653389,17.74530411,17.1643486,16.08202362,15.34116268,14.9907093,14.16324711,13.48579979,12.69180202,12.75139141,12.09944248,12.17525387,11.60864449,11.18448257,10.23533249,9.888486862,8.42445755,8.741093636,8.272146225,7.604891777,7.935720921,7.300744534,6.78327322,6.776090145,6.63972044,6.150767803,5.956424713,5.840970993,5.192762375,5.049259663,4.820410252,4.870687962
