Baseline 100%T,,BLANK,,L239_JUNE_3_2022,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
735.9700928,0.01137174573,735.9700928,3.380839189E-5,735.9700928,0.0003013395471,
734.9752808,0.01063903701,734.9752808,-7.081823424E-5,734.9752808,0.0002277785825,
733.9801636,0.009830079041,733.9801636,-6.336422666E-5,733.9801636,0.0003315445792,
732.9846802,0.008824871853,732.9846802,-2.847447149E-6,732.9846802,0.0002745038946,
731.9888306,0.008034022525,731.9888306,-0.0001076722765,731.9888306,0.0002376464254,
730.9926758,0.006935339887,730.9926758,0.000120567689,730.9926758,0.0002207339712,
729.9961548,0.005972913932,729.9961548,0.0002700228069,729.9961548,0.0005930640036,
728.9992676,0.005110119469,728.9992676,0.0001175123107,728.9992676,0.000414295384,
728.0020752,0.003949726,728.0020752,0.0001617138623,728.0020752,0.000331285526,
727.0045166,0.003251407295,727.0045166,9.11281677E-5,727.0045166,0.0003101469483,
726.0065918,0.002318077255,726.0065918,0.000339756778,726.0065918,0.0005500885309,
725.0083618,0.001470895484,725.0083618,0.0001185480287,725.0083618,0.0003967023804,
724.0097656,0.0007825384964,724.0097656,9.914439033E-6,724.0097656,0.0004922416992,
723.0108643,-7.972805179E-6,723.0108643,-2.609227158E-5,723.0108643,0.0004592527403,
722.0115967,-0.0007820354076,722.0115967,9.990543913E-5,722.0115967,0.0006246373523,
721.0119629,-0.001386360032,721.0119629,6.710161688E-5,721.0119629,0.0005121969152,
720.0120239,-0.001954335487,720.0120239,-7.485577225E-5,720.0120239,0.0004331069358,
719.0117188,-0.002721956,719.0117188,4.271394937E-5,719.0117188,0.0007527688285,
718.0111084,-0.003031256841,718.0111084,-9.178194159E-5,718.0111084,0.0005511771305,
717.0101318,-0.003740931163,717.0101318,0.0002354967146,717.0101318,0.0006587795797,
716.0087891,-0.003873490961,716.0087891,-1.599723328E-5,716.0087891,0.0005469264579,
715.0071411,-0.004090230912,715.0071411,0.0001168390882,715.0071411,0.0005610782537,
714.005188,-0.004303121008,714.005188,4.900490239E-5,714.005188,0.0007364326739,
713.0028687,-0.004364066757,713.0028687,9.827425674E-5,713.0028687,0.0007961533265,
712.0001831,-0.004044173285,712.0001831,-7.418284804E-5,712.0001831,0.0005891239853,
710.9971924,-0.003962046932,710.9971924,-6.32089359E-5,710.9971924,0.0004939520732,
709.9938965,-0.003550000722,709.9938965,1.58166149E-5,709.9938965,0.0005678432644,
708.9902344,-0.003035009839,708.9902344,2.614490768E-6,708.9902344,0.0005856505595,
707.9862061,-0.00258585345,707.9862061,-0.0001139868473,707.9862061,0.0006965543143,
706.9818726,-0.001816497068,706.9818726,-5.865364437E-5,706.9818726,0.0006536982255,
705.9772339,-0.001159488223,705.9772339,4.853890277E-5,705.9772339,0.000603665947,
704.972229,-0.0002783402742,704.972229,3.388605546E-5,704.972229,0.0005071950727,
703.9668579,0.0005583826569,703.9668579,-1.765387242E-5,703.9668579,0.0005290689296,
702.9611816,0.00154116028,702.9611816,7.300456491E-5,702.9611816,0.000514037034,
701.9552002,0.002503098687,701.9552002,-8.624348266E-5,701.9552002,0.0004437827156,
700.9488525,0.003235733137,700.9488525,0.0001358449226,700.9488525,0.0006040807348,
699.9421997,0.004036487546,699.9421997,0.0001287500054,699.9421997,0.0005469005555,
698.9352417,0.004769987892,698.9352417,0.0003055878042,698.9352417,0.0006030697259,
698.0718384,0.005571376067,698.0718384,0.0002231166873,698.0718384,0.000799913716,
697.064209,0.006553934421,697.064209,0.000237076616,697.064209,0.0007497608312,
696.0562744,0.007523497101,696.0562744,0.0002996298717,696.0562744,0.0007946491824,
695.0480347,0.00858535897,695.0480347,0.0002651532413,695.0480347,0.0004392999108,
694.0394287,0.009285940789,694.0394287,0.0001406094525,694.0394287,0.0007467788528,
693.0305176,0.01000270061,693.0305176,0.0003560261976,693.0305176,0.000759692397,
692.0212402,0.01091432478,692.0212402,0.0003977906017,692.0212402,0.0003861314035,
691.0117188,0.01149958,691.0117188,1.967337994E-6,691.0117188,0.0005122487783,
690.00177,0.01205176953,690.00177,0.0003207679256,690.00177,0.0008230990497,
688.9915771,0.01269935351,688.9915771,0.0003582801146,688.9915771,0.0008954120567,
687.9810181,0.01330533065,687.9810181,0.0003434613755,687.9810181,0.0007726582699,
686.9701538,0.01391060371,686.9701538,0.0004246856843,686.9701538,0.0007351880195,
685.9589233,0.01457614545,685.9589233,-0.0001300316362,685.9589233,0.0004441973288,
684.9474487,0.01494028326,684.9474487,2.614561527E-5,684.9474487,0.0007909148117,
683.9355469,0.01547932439,683.9355469,2.992520967E-5,683.9355469,0.0006033289828,
683.0679932,0.01573743299,683.0679932,6.518576265E-5,683.0679932,0.000605454552,
682.055542,0.01607885212,682.055542,0.0001782096806,682.055542,0.0008642599569,
681.0427856,0.01645842195,681.0427856,0.0001178489183,681.0427856,0.0008180935984,
680.0297241,0.01692592166,680.0297241,-0.0002024846035,680.0297241,0.0008243179764,
679.0162964,0.01738923788,679.0162964,-0.0001278578566,679.0162964,0.0006357067032,
678.0025635,0.01761987992,678.0025635,-0.0001848382526,678.0025635,0.0008551559877,
676.9885254,0.01802904904,676.9885254,-0.0001689507335,676.9885254,0.0007299761637,
675.9741211,0.01826168038,675.9741211,5.136079926E-5,675.9741211,0.0007268646732,
674.9594727,0.01849240996,674.9594727,-1.915557505E-6,674.9594727,0.0006523760967,
673.944458,0.01888669282,673.944458,-0.0004214261135,673.944458,0.0005808811402,
672.9290771,0.01902668364,672.9290771,-5.10958962E-5,672.9290771,0.0009176167659,
672.0585938,0.01931475848,672.0585938,-2.78524094E-5,672.0585938,0.0008306202944,
671.0426636,0.01961090229,671.0426636,0.0002064119908,671.0426636,0.0009101977921,
670.0264282,0.01968454383,670.0264282,0.0001298375428,670.0264282,0.001169704017,
669.0098877,0.01989194006,669.0098877,2.492890235E-5,669.0098877,0.001263881801,
667.992981,0.02026913315,667.992981,-8.821042138E-5,667.992981,0.001147590228,
666.9758301,0.02000387385,666.9758301,-0.0001111401289,666.9758301,0.0007923411322,
665.958313,0.01954404451,665.958313,2.699990364E-5,665.958313,0.0009308726876,
664.9404907,0.01939216629,664.9404907,0.0001241668506,664.9404907,0.0009494471597,
664.0678101,0.01921831444,664.0678101,0.0001597199007,664.0678101,0.001173026394,
663.0494385,0.0193262063,663.0494385,-7.972805179E-6,663.0494385,0.001098097884,
662.0307007,0.01950708404,662.0307007,-0.0002678371675,662.0307007,0.0007976056077,
