Baseline 100%T,,BLANK,,L470_JUNE_20_22,,L377_JUNE_24_2022,,L375_EPI_JUNE_17_2022,,L222_JUNE_28_2022,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
769.0216675,0.01901570335,769.0216675,6.425372703E-5,769.0216675,0.0006761757541,769.0216675,0.0006612943253,769.0216675,-0.0001014093868,769.0216675,0.0004311894591,
768.0387573,0.01907379925,768.0387573,-0.000309123745,768.0387573,0.0004997571814,768.0387573,0.0005766560789,768.0387573,-5.911952758E-5,768.0387573,0.0004744900507,
767.055481,0.01920857467,767.055481,-0.000119887256,767.055481,0.0005554537638,767.055481,0.0003721148532,767.055481,-0.0001729356009,767.055481,0.0005882685655,
765.9312744,0.01856469922,765.9312744,0.0003099656315,765.9312744,0.0009194585728,765.9312744,0.001122441143,765.9312744,0.0005856505595,765.9312744,0.001217672951,
764.9472046,0.0189931225,764.9472046,-5.016410796E-5,764.9472046,0.0004137253563,764.9472046,0.0005889943568,764.9472046,-0.0001313255489,764.9472046,0.0005213455879,
763.9627686,0.01871510036,763.9627686,0.00015596507,763.9627686,0.001028034487,763.9627686,0.0007836017176,763.9627686,0.0003446530609,763.9627686,0.0007588107837,
762.9780273,0.01917010173,762.9780273,0.0002297469618,762.9780273,0.0005818920326,762.9780273,0.0007817086298,762.9780273,-0.0002069348993,762.9780273,0.0007590441382,
761.9928589,0.01889307424,761.9928589,0.0001898115006,761.9928589,0.0006257779896,761.9928589,0.0009779590182,761.9928589,5.912757479E-5,761.9928589,0.001148861949,
761.0073853,0.01851220988,761.0073853,0.0001760602609,761.0073853,0.0007477901527,761.0073853,0.000893414719,761.0073853,0.0002454683417,761.0073853,0.001424846356,
760.0214844,0.01882659644,760.0214844,0.0002464784484,760.0214844,0.0008640005835,760.0214844,0.0008624183829,760.0214844,0.0002355485194,760.0214844,0.001369947102,
759.0352783,0.01869723573,759.0352783,3.971089245E-5,759.0352783,0.0008442107355,759.0352783,0.0002385529369,759.0352783,-0.0001793009724,759.0352783,0.001315703848,
758.0487061,0.01882837899,758.0487061,-2.635111559E-5,758.0487061,0.0002847872383,758.0487061,0.0002757731127,758.0487061,-0.0004178573145,758.0487061,0.0009899195284,
757.0617676,0.01826402918,757.0617676,-0.0002910678159,757.0617676,0.0002525910677,757.0617676,0.0003219854552,757.0617676,-0.0004813157429,757.0617676,0.0007204342401,
755.9334106,0.01765363291,755.9334106,0.0004091651062,755.9334106,0.0007232345524,755.9334106,0.0007831868134,755.9334106,0.000212653511,755.9334106,0.001233248389,
