ID,Site name,Species code,Sampling method,Incub. Container,Vol. pre-filtered water (L),Incub. Start time (24h),Incub. End time (24h),Time elapsed (min),Wet mass (g),Dry mass (g),Comments,SRP (ug/L),P excretion (ug),P excretion rate (ug/h/ind),NH4 (ug/L),N excretion (ug),N excretion rate (ug/h/ind),Ambient historical DOC (mg C/L),Ambient DOC (mg C/L),DOC (mg C/L),C excretion (mg),C excretion (mg/h/ind),RamanArea,A254,SUVA,SUVA.excretion,A280,A350,A440,S275to295,S350to400,SR,SR.excretion,BA,BA.excretion,FI,FI.excretion,HIX,HIX.ohno,HIX.ohno.excretion,PeakA,PeakB,PeakC,PeakD,PeakE,PeakM,PeakN,PeakP,PeakT,Ambient.RamanArea,Ambient.A254,Ambient.SUVA,Ambient.A280,Ambient.A350,Ambient.A440,Ambient.S275to295,Ambient.S350to400,Ambient.SR,Ambient.BA,Ambient.FI,Ambient.HIX,Ambient.HIX.ohno,Ambient.PeakA,Ambient.PeakB,Ambient.PeakC,Ambient.PeakD,Ambient.PeakE,Ambient.PeakM,Ambient.PeakN,Ambient.PeakP,Ambient.PeakT
111,L239,YP,SN,1L WP,0.5,10.47,11.17,30,5.65,1.4125,,19.78313595,8.754895988,17.50979198,273.97752,134.2554942,268.5109884,7.55,7.156,4.895,-0.0835,-0.167,134.4427804,10.85659901,2.21789561,0.161907583,7.503561524,2.037688682,0.406667636,0.019992237,0.019117376,1.045762625,-0.056390017,0.512170011,-0.010861781,1.332021088,1.332021088,4.946989086,0.831847682,-0.00369624,0.642751471,0.177399534,0.371512595,0.150240597,0.032599181,0.365015383,0.216865573,NA,0.200235335,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
112,L239,YP,SN,1L WP,0.6,10.49,11.19,30,8.63,2.1575,,13.02497062,6.450975991,12.90195198,250.0867938,146.7721573,293.5443146,7.55,7.156,4.986,-0.0456,-0.0912,133.3858622,11.05969257,2.218149333,0.162161306,7.655371099,2.165099356,0.521071835,0.020349509,0.016998054,1.197166977,0.095014334,0.516440932,-0.00659086,1.31695903,1.31695903,4.754274097,0.826216134,-0.009327789,0.675616637,0.195797014,0.381488793,0.155262051,0.036214862,0.38042078,0.2344749,NA,0.215968961,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
113,L239,YP,SN,1L WP,0.6,10.51,"11,21",30,9.66,2.415,,9.185103964,4.147055994,8.294111988,494.1876923,293.2326965,586.4653929,7.55,7.156,5.235,0.1038,0.2076,134.811508,10.69257662,2.042517024,-0.013471003,7.329875077,1.925391368,0.371818075,0.019168494,0.02007982,0.954614832,-0.147537811,0.545448262,0.02241647,1.335237904,1.335237904,4.363792683,0.813564756,-0.021979167,0.66345937,0.245831807,0.385455023,0.161900481,0.041790777,0.393975354,0.225625129,NA,0.214167225,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
114,L239,YP,SN,1L WP,0.6,10.53,11.24,31,8.65,2.1625,,31.4563306,17.50979198,33.88991995,279.1711562,164.2227747,317.8505318,7.55,7.156,5.244,0.1092,0.211354839,133.6377391,11.82383668,2.254736208,0.198748181,8.174254476,2.422820899,0.626618164,0.019986517,0.016824418,1.187946988,0.085794345,0.499139528,-0.023892265,1.250836689,1.250836689,4.045261507,0.801794218,-0.033749704,0.698198914,0.406787638,0.417250098,0.159429202,0.039103168,0.48687276,0.240025067,NA,0.240363366,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
115,L239,YP,SN,1L WP,0.6,10.56,11.26,30,6.3,1.575,,13.94653862,7.00391679,14.00783358,163.8724338,95.04354136,190.0870827,7.55,7.156,6.796,1.0404,2.0808,133.9077071,11.46576505,1.687134351,-0.368853676,8.069676635,2.158771811,0.426538604,0.021991052,0.019327778,1.13779513,0.035642487,0.511381521,-0.011650271,1.276178614,1.276178614,2.308265344,0.697726786,-0.137817137,0.717610192,0.891301213,0.531020269,0.163594416,0.034435244,0.920375638,0.356819661,NA,0.464795875,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
116,L239,YP,SN,1L WP,0.6,10.58,11.28,30,6.04,1.51,,25.77332794,14.09999038,28.19998076,93.03123689,52.53882319,105.0776464,7.55,7.156,5.249,0.1122,0.2244,132.9480939,11.71421279,2.231703713,0.175715686,8.21445479,2.324797788,0.578708109,0.019523524,0.017667211,1.105071106,0.002918463,0.513552983,-0.00947881,1.311293963,1.311293963,3.323233829,0.768691669,-0.066852253,0.71613359,0.37279512,0.430299016,0.172603408,0.046261786,0.45837167,0.394897226,NA,0.44935604,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
117,L239,YP,SN,1L WP,0.3,11,11.3,30,2.97,0.7425,dead after experiment,26.54130127,7.28038719,14.56077438,199.1891596,58.11678841,116.2335768,7.55,7.156,4.982,-0.024,-0.048,133.3858622,10.7273334,2.153218265,0.097230238,7.417320645,2.063294562,0.39327472,0.020208116,0.019881974,1.016403908,-0.085748735,0.54334439,0.020312597,1.292432682,1.292432682,4.761786253,0.826442711,-0.009101211,0.653682706,0.178935143,0.379425408,0.155389361,0.035663937,0.396208492,0.215516091,NA,0.209722221,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
118,L239,YP,SN,1L WP,0.3,11.02,11.35,33,0.96,0.24,,19.32235195,5.114702393,9.299458896,66.23207441,18.22966285,33.14484155,7.55,7.156,4.892,-0.051,-0.092727273,133.3858622,10.63679308,2.174324015,0.118335988,7.276816442,1.970524307,0.376025266,0.020998167,0.019955374,1.052256273,-0.04989637,0.568859206,0.045827414,1.299127539,1.299127539,4.491630673,0.817904725,-0.017639198,0.659553192,0.204097718,0.387159057,0.152425193,0.041640822,0.39660537,0.235331665,NA,0.215499566,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
119,L239,YP,SN,1L WP,0.3,11.03,11.35,32,2.26,0.565,,25.46613861,6.95783839,13.04594698,175.2984334,50.94957053,95.53044475,7.55,7.156,5.148,0.0258,0.048375,133.6377391,11.90276539,2.31211449,0.256126463,8.530061571,2.730551655,0.682201754,0.018065489,0.016866421,1.071092022,-0.031060621,0.531026663,0.007994871,1.223749994,1.223749994,4.770912754,0.826717186,-0.008826736,0.691556523,0.242177846,0.428696585,0.166360578,0.044515107,0.49001582,0.234770779,NA,0.221470777,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
120,L239,YP,SN,1L WP,0.3,11.04,11.39,35,3.42,0.855,,48.04455458,13.73136318,23.53947974,285.4035195,83.98109638,143.9675938,7.55,7.156,4.869,-0.0579,-0.099257143,136.8351582,11.11413612,2.282632186,0.226644159,7.686522824,2.146651178,0.456622543,0.020364379,0.019174035,1.062081041,-0.040071602,0.522856226,-0.000175566,1.326710709,1.326710709,5.120780075,0.836622132,0.001078209,0.635476316,0.166402404,0.368703609,0.149099536,0.034942869,0.365686053,0.203680362,NA,0.186640589,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
