Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L224_1m_june29_22_EM_270.00,L224_1m_june29_22_EM_272.00,L224_1m_june29_22_EM_274.00,L224_1m_june29_22_EM_276.00,L224_1m_june29_22_EM_278.00,L224_1m_june29_22_EM_280.00,L224_1m_june29_22_EM_282.00,L224_1m_june29_22_EM_284.00,L224_1m_june29_22_EM_286.00,L224_1m_june29_22_EM_288.00,L224_1m_june29_22_EM_290.00,L224_1m_june29_22_EM_292.00,L224_1m_june29_22_EM_294.00,L224_1m_june29_22_EM_296.00,L224_1m_june29_22_EM_298.00,L224_1m_june29_22_EM_300.00,L224_1m_june29_22_EM_302.00,L224_1m_june29_22_EM_304.00,L224_1m_june29_22_EM_306.00,L224_1m_june29_22_EM_308.00,L224_1m_june29_22_EM_310.00,L224_1m_june29_22_EM_312.00,L224_1m_june29_22_EM_314.00,L224_1m_june29_22_EM_316.00,L224_1m_june29_22_EM_318.00,L224_1m_june29_22_EM_320.00,L224_1m_june29_22_EM_322.00,L224_1m_june29_22_EM_324.00,L224_1m_june29_22_EM_326.00,L224_1m_june29_22_EM_328.00,L224_1m_june29_22_EM_330.00,L224_1m_june29_22_EM_332.00,L224_1m_june29_22_EM_334.00,L224_1m_june29_22_EM_336.00,L224_1m_june29_22_EM_338.00,L224_1m_june29_22_EM_340.00,L224_1m_june29_22_EM_342.00,L224_1m_june29_22_EM_344.00,L224_1m_june29_22_EM_346.00,L224_1m_june29_22_EM_348.00,L224_1m_june29_22_EM_350.00,L224_1m_june29_22_EM_352.00,L224_1m_june29_22_EM_354.00,L224_1m_june29_22_EM_356.00,L224_1m_june29_22_EM_358.00,L224_1m_june29_22_EM_360.00,L224_1m_june29_22_EM_362.00,L224_1m_june29_22_EM_364.00,L224_1m_june29_22_EM_366.00,L224_1m_june29_22_EM_368.00,L224_1m_june29_22_EM_370.00,L224_1m_june29_22_EM_372.00,L224_1m_june29_22_EM_374.00,L224_1m_june29_22_EM_376.00,L224_1m_june29_22_EM_378.00,L224_1m_june29_22_EM_380.00,L224_1m_june29_22_EM_382.00,L224_1m_june29_22_EM_384.00,L224_1m_june29_22_EM_386.00,L224_1m_june29_22_EM_388.00,L224_1m_june29_22_EM_390.00,L224_1m_june29_22_EM_392.00,L224_1m_june29_22_EM_394.00,L224_1m_june29_22_EM_396.00,L224_1m_june29_22_EM_398.00,L224_1m_june29_22_EM_400.00,L224_1m_june29_22_EM_402.00,L224_1m_june29_22_EM_404.00,L224_1m_june29_22_EM_406.00,L224_1m_june29_22_EM_408.00,L224_1m_june29_22_EM_410.00,L224_1m_june29_22_EM_412.00,L224_1m_june29_22_EM_414.00,L224_1m_june29_22_EM_416.00,L224_1m_june29_22_EM_418.00,L224_1m_june29_22_EM_420.00,L224_1m_june29_22_EM_422.00,L224_1m_june29_22_EM_424.00,L224_1m_june29_22_EM_426.00,L224_1m_june29_22_EM_428.00,L224_1m_june29_22_EM_430.00,L224_1m_june29_22_EM_432.00,L224_1m_june29_22_EM_434.00,L224_1m_june29_22_EM_436.00,L224_1m_june29_22_EM_438.00,L224_1m_june29_22_EM_440.00,L224_1m_june29_22_EM_442.00,L224_1m_june29_22_EM_444.00,L224_1m_june29_22_EM_446.00,L224_1m_june29_22_EM_448.00,L224_1m_june29_22_EM_450.00,L224_1m_june29_22_EM_452.00,L224_1m_june29_22_EM_454.00,L224_1m_june29_22_EM_456.00,L224_1m_june29_22_EM_458.00,L224_1m_june29_22_EM_460.00,L224_1m_june29_22_EM_462.00,L224_1m_june29_22_EM_464.00,L224_1m_june29_22_EM_466.00,L224_1m_june29_22_EM_468.00,L224_1m_june29_22_EM_470.00,L224_1m_june29_22_EM_472.00,L224_1m_june29_22_EM_474.00,L224_1m_june29_22_EM_476.00,L224_1m_june29_22_EM_478.00,L224_1m_june29_22_EM_480.00,L224_1m_june29_22_EM_482.00,L224_1m_june29_22_EM_484.00,L224_1m_june29_22_EM_486.00,L224_1m_june29_22_EM_488.00,L224_1m_june29_22_EM_490.00,L224_1m_june29_22_EM_492.00,L224_1m_june29_22_EM_494.00,L224_1m_june29_22_EM_496.00,L224_1m_june29_22_EM_498.00,L224_1m_june29_22_EM_500.00,L224_1m_june29_22_EM_502.00,L224_1m_june29_22_EM_504.00,L224_1m_june29_22_EM_506.00,L224_1m_june29_22_EM_508.00,L224_1m_june29_22_EM_510.00,L224_1m_june29_22_EM_512.00,L224_1m_june29_22_EM_514.00,L224_1m_june29_22_EM_516.00,L224_1m_june29_22_EM_518.00,L224_1m_june29_22_EM_520.00,L224_1m_june29_22_EM_522.00,L224_1m_june29_22_EM_524.00,L224_1m_june29_22_EM_526.00,L224_1m_june29_22_EM_528.00,L224_1m_june29_22_EM_530.00,L224_1m_june29_22_EM_532.00,L224_1m_june29_22_EM_534.00,L224_1m_june29_22_EM_536.00,L224_1m_june29_22_EM_538.00,L224_1m_june29_22_EM_540.00,L224_1m_june29_22_EM_542.00,L224_1m_june29_22_EM_544.00,L224_1m_june29_22_EM_546.00,L224_1m_june29_22_EM_548.00,L224_1m_june29_22_EM_550.00,L224_1m_june29_22_EM_552.00,L224_1m_june29_22_EM_554.00,L224_1m_june29_22_EM_556.00,L224_1m_june29_22_EM_558.00,L224_1m_june29_22_EM_560.00,L224_1m_june29_22_EM_562.00,L224_1m_june29_22_EM_564.00,L224_1m_june29_22_EM_566.00,L224_1m_june29_22_EM_568.00,L224_1m_june29_22_EM_570.00,L224_1m_june29_22_EM_572.00,L224_1m_june29_22_EM_574.00,L224_1m_june29_22_EM_576.00,L224_1m_june29_22_EM_578.00,L224_1m_june29_22_EM_580.00,L224_1m_june29_22_EM_582.00,L224_1m_june29_22_EM_584.00,L224_1m_june29_22_EM_586.00,L224_1m_june29_22_EM_588.00,L224_1m_june29_22_EM_590.00,L224_1m_june29_22_EM_592.00,L224_1m_june29_22_EM_594.00,L224_1m_june29_22_EM_596.00,L224_1m_june29_22_EM_598.00,L224_1m_june29_22_EM_600.00
275.0700073,11.4240284,40.35804367,83.00486755,96.73967743,71.56895447,22.71005821,6.634191513,2.259980917,1.837113619,1.884768367,2.14608717,2.73101902,2.995294094,4.137886047,6.115240574,11.43256855,16.70782661,18.96993256,16.4384613,12.1515522,7.79873085,6.086430073,5.916903496,5.984037399,6.163977146,5.705996513,6.758656979,7.451598167,7.46952486,7.970621586,7.798931599,7.729435444,8.00368309,8.365777969,8.551529884,8.636206627,8.604469299,9.126517296,8.355462074,8.802583694,8.563181877,8.624044418,8.908818245,8.976166725,8.411622047,8.917282104,9.512226105,8.907013893,8.812010765,9.032633781,9.116786003,9.248088837,9.368670464,9.455904961,10.02459145,9.87121582,9.90409565,10.47421932,10.07553005,10.79619503,9.527667046,9.741888046,10.23370266,10.72887135,11.04497337,11.50901985,11.83151531,12.3233633,12.17446518,12.66324711,13.19448185,13.0056591,13.92654133,13.59616089,14.1962347,14.46641254,15.30315399,14.47593975,14.95719337,14.85551739,14.92069817,15.30797768,14.87554646,14.57787895,14.9821701,15.09089565,14.56083012,14.8856535,14.55475903,15.03959846,15.233284,14.90787125,14.43854713,14.92861557,15.15263844,13.72093201,13.76445103,13.85455513,13.96394634,13.72541904,13.34179401,13.19415188,13.65730762,13.17437077,12.89147758,12.43953514,12.43419266,12.61297226,12.04175377,11.65924454,11.63095951,11.65819073,11.39547062,10.86514568,10.93692589,10.1288681,10.28439713,10.1183567,9.620934486,9.443013191,9.498505592,8.840120316,8.584164619,8.185640335,8.186296463,7.66784668,7.760836124,7.198613167,7.045537949,6.920279026,6.93215704,6.464119911,6.480424881,5.923972607,5.872839928,5.375091553,5.610078335,5.451158524,4.861452579,4.742675781,4.538258553,4.653116703,4.22283411,4.050395966,3.960538864,3.835564375,3.666052103,3.290421009,3.252523899,3.15814662,2.817114115,2.759407997,2.789587259,2.554897785,2.341087818,2.41110754,2.167250633,1.960110545,2.006345272,2.064975739,1.988048196,1.852757215,1.86013031,1.557101846,1.659018159,1.472261071
280,0.765110135,1.054089785,3.598717213,18.32025909,53.3878212,73.60814667,71.63380432,43.42556763,15.43311501,4.896204472,2.68755722,2.794853449,3.221136332,3.520054102,3.662417173,3.874106169,4.505955696,6.559598446,11.11503792,15.82860279,19.20048714,17.74666214,13.31151962,9.856987953,7.509079933,6.156141281,6.913160324,7.652589798,7.855265617,7.478528976,8.146466255,7.946286678,7.79803133,8.533381462,8.571546555,8.707896233,9.250611305,9.383545876,8.781356812,8.825186729,8.831059456,9.037593842,9.123971939,9.430056572,9.003043175,9.042333603,8.970330238,9.157997131,9.181703568,9.308597565,9.510590553,9.436056137,9.518856049,9.485095978,9.682815552,10.06956768,10.27358246,10.41408825,10.4481945,10.69544506,9.370201111,10.12085438,10.15215206,10.3705349,10.94440174,11.2620573,11.91399479,11.77640343,11.99724579,12.14150906,12.14678478,12.88894844,12.88308525,13.09915638,13.27135658,13.50442505,13.81666756,13.52786064,13.6353159,13.64516926,13.69781113,14.0623827,13.50819778,13.78796959,13.98460102,13.40800667,13.5734663,13.29855537,13.13263798,13.23898792,13.54836082,13.2963295,13.62660789,13.7214756,13.7519331,12.23718834,12.5223465,12.34985352,12.23279858,12.75787926,12.54935646,11.98206329,11.84359932,11.94037247,11.55486202,11.45664692,11.28410912,11.13539886,10.80368328,10.4762888,10.92216969,10.6027956,10.53417301,10.07896805,10.02202702,9.651963234,9.13869381,8.906003952,9.008201599,8.102687836,8.52436924,8.21616745,7.910233974,7.645548344,7.717382431,7.411067486,7.132333755,6.803617954,6.627720833,6.351571083,6.354500771,5.827803612,5.745065212,5.288147926,5.450143337,4.880944729,4.952954769,4.948022842,5.112073421,4.274159431,4.416249275,4.416194916,3.96773386,3.877155304,3.45232296,3.390048981,3.407434702,2.967578173,2.968293667,2.69800663,2.547065258,2.418075562,2.425678968,2.378454208,2.270496607,2.224796534,2.114088535,1.949306369,1.871430278,1.71619606,1.847992539,1.710686684,1.440051198,1.523135543,1.363216639,1.399700284
285,0.385633588,0.452672184,0.708241761,0.801096976,1.526625514,7.737232685,29.16876793,67.9850769,84.14691162,66.36714935,27.5059433,9.203440666,3.812257051,3.119466782,3.191653728,3.430366755,3.3833251,3.839776278,4.282347679,5.010341167,7.31231308,11.53185749,16.22619057,19.74240494,18.92227745,12.84318447,9.987905502,8.344386101,7.992191792,7.830008984,7.799978733,8.079464912,8.116755486,8.37225914,8.523978233,8.667109489,8.59126091,9.032344818,8.916457176,8.701468468,8.788358688,9.016167641,9.191543579,9.359632492,8.998368263,9.323841095,9.739488602,9.504790306,8.95175457,9.515559196,9.621657372,9.40213871,9.657812119,9.767895699,10.14513683,10.22603989,9.993378639,10.17536163,10.79978752,10.78491306,9.498936653,10.05263042,10.5512743,10.56534958,11.02886963,11.55093288,11.42560291,11.61373711,12.23739243,12.26558399,12.35678959,13.14022827,12.88303185,13.00795555,13.3691721,13.42465973,13.47796917,13.28009987,13.31792068,13.76235962,13.56274319,13.23690414,13.41702366,13.4285202,13.26793957,13.06199741,13.35250282,13.11488342,13.11908913,12.84785366,12.32697582,12.72738171,12.41878796,12.71228218,12.41566467,11.74442577,12.14557362,11.96768284,11.83463764,11.41437244,11.48031902,11.37468243,11.21500206,10.67762756,10.95508957,10.7136879,10.27053833,10.43378448,10.17408085,10.5546093,9.865429878,9.816912651,9.652684212,9.461301804,8.973945618,8.570112228,8.59344101,8.260761261,7.802716732,7.878473282,7.348409653,7.522617817,7.217647552,7.078784466,6.656991959,6.830342293,5.986934185,6.372230053,6.400771141,5.896040916,6.037392139,5.559407711,5.581056595,5.055290699,5.070590973,5.103487968,4.755940914,4.415018082,4.293944359,4.284092426,3.875204563,3.837710857,3.701925755,3.337687969,3.540154934,3.206647635,3.098805666,2.853455305,2.862164021,2.633100986,2.496160507,2.484670401,2.431390047,2.055853367,2.163096666,2.07685113,2.083653927,1.939361215,1.778576374,1.742354274,1.619274616,1.518446684,1.521580458,1.44128716,1.408896446,1.436479092
290,0.295076549,0.310406744,0.348332286,0.330076098,0.509738266,0.595755875,0.943634748,4.602269173,22.47401047,56.1801796,96.53795624,93.66169739,51.07126236,16.34818268,5.288582325,3.017583847,2.725935936,2.865519524,3.164943933,3.366486073,3.667561293,3.877018929,4.895396709,6.946022511,10.84567928,15.39351273,18.63658142,17.21953011,13.17410755,9.681341171,7.828731537,7.084148407,7.231333733,7.193926811,7.503946781,7.72158289,8.071043015,7.951013088,8.259883881,8.270922661,8.260079384,8.787855148,8.613792419,8.974986076,8.55748558,8.886636734,8.808438301,9.148751259,8.810353279,8.975786209,9.435166359,9.447960854,9.559537888,9.365449905,9.985578537,9.862328529,10.18020248,10.42103577,10.90555,11.07799149,9.724995613,10.1321497,10.65537167,10.48685551,11.19118214,11.61627769,11.52557278,11.79146385,12.35494423,12.64906216,12.60269451,12.7312603,13.19626904,12.93313408,13.43152046,13.67980766,13.6421833,13.16005707,13.89333916,13.57503033,13.8948946,12.9257431,13.40988636,13.15857697,12.79715443,12.38160706,12.72050285,12.17080116,12.98786259,12.68160152,12.18774605,12.53737164,12.17450905,12.13943958,12.09930611,11.39240551,10.95725536,11.13062286,10.96571636,11.33457565,11.04985428,10.58347034,10.40376949,10.4609251,10.26521206,10.11553764,10.02699661,9.701086044,9.540756226,9.524744987,9.07351017,9.328146935,8.727231026,8.443505287,8.389902115,7.961781979,8.216428757,8.011979103,7.50146246,7.349360466,7.171519279,6.98009491,6.383489609,6.722018719,6.07067585,6.541311264,6.085474968,5.84884882,5.610694408,5.446970463,5.421758652,5.098119259,5.07519722,4.72738409,4.521615505,4.357934952,4.483479977,4.067271233,4.119743347,4.015253067,3.33066082,3.547842026,3.457039595,3.180143118,3.049500465,2.977141619,2.94375515,2.823432922,2.648000002,2.473300219,2.304814816,2.255767822,2.12998724,2.008802652,2.175415754,1.788702607,1.783930659,1.664903879,1.754455686,1.560248733,1.545264482,1.553795338,1.480617642,1.28946507,1.373830914,1.173181176
295,0.211079314,0.209987596,0.244850442,0.214603052,0.36417526,0.29581672,0.250996828,0.592322528,0.703888237,2.016881227,12.75688362,48.94404984,99.84899902,118.4244995,86.1859436,34.31642914,8.882506371,2.92269969,2.332168102,2.282192945,2.301836252,2.328226089,2.811658144,2.992336035,3.184680223,3.696937561,5.76846981,10.11793804,14.53486729,16.8449192,16.52541733,12.91193867,9.278861046,7.232259274,6.416966915,6.45468235,6.430278301,6.66521883,6.673341274,7.049424171,7.205391884,7.214729309,7.53180027,7.752298832,7.849452496,8.077422142,8.215626717,8.400333405,8.665009499,8.439163208,8.831511497,9.046853065,9.575605392,9.440178871,9.922054291,10.00275612,10.56282902,10.5359993,10.52726078,10.54824734,9.913011551,10.4122715,10.8978653,11.42849541,11.47995663,12.24804115,12.09398556,12.67838001,12.60997963,12.54811096,13.26378536,13.19180584,13.69346714,13.58478451,13.70727062,14.00782013,13.95975208,13.9077673,14.08898735,13.91871262,13.6501236,13.48771763,13.63574409,13.39463234,12.96819305,13.0090847,12.58772182,12.47616768,12.36000633,12.19106483,12.40191078,12.01754093,11.89176464,11.92040539,12.1206522,10.95397949,11.09676361,11.18613434,10.64366817,10.64034367,10.3184433,10.58406639,10.52515125,9.951178551,10.09121132,9.953123093,10.0890007,9.602073669,9.261749268,9.204276085,8.630661011,8.526737213,8.457751274,8.56027317,7.89601469,7.875472546,7.779638767,7.184914112,7.117816448,6.721131802,6.722504139,6.64832449,6.408511639,6.500570774,5.937671185,5.86989069,5.770030975,5.437683105,5.429951191,5.106760502,4.748998165,5.011849403,4.719484806,4.317521095,4.42133522,4.250414371,4.089662552,4.146386623,3.976240158,3.507090569,3.424367428,3.305391312,3.267629385,3.211312771,2.885354996,2.754130363,2.732786894,2.436042547,2.510385275,2.347156525,2.140855074,2.207727432,1.821451902,1.921815515,1.95158112,1.816712856,1.583184719,1.666263819,1.605494499,1.46801579,1.395446181,1.461183071,1.251515746,1.293846607,1.210431099,1.185945272
300,0.190599397,0.186678752,0.153623208,0.146536365,0.177400813,0.140925795,0.187823698,0.227703229,0.368100405,0.505409062,0.728773594,1.400056362,5.806052685,33.80231857,79.43360901,118.5890198,86.46826935,43.80624771,12.31864452,4.017194271,1.724424005,1.764289856,1.921288133,1.87645936,1.997500777,1.957967639,2.247430801,2.680003405,3.568012238,5.533712864,9.661568642,14.13242912,16.7661171,14.54277229,10.94996548,7.569203377,5.796077251,5.59179163,5.767435551,5.741250515,5.837038994,6.228224277,6.388058662,6.7960639,6.948157787,7.006708145,7.09819603,7.890626907,7.968800068,8.372400284,8.4490242,8.740056038,8.955944061,9.450045586,9.48875618,10.13589382,10.07542038,10.34451294,10.8886385,11.10234451,9.698243141,10.48244476,10.90971661,11.21537781,11.96138573,12.29453278,12.37965393,12.67018604,13.10367298,13.32839203,13.52096653,13.61514282,14.29199219,14.02386665,14.15730953,14.34416008,14.26146317,14.50377655,14.45995426,13.7218256,14.0765028,13.65343666,13.91112423,13.83909798,13.60402012,13.37811089,13.07888603,13.04945564,12.95430279,12.47759533,12.4881134,12.36869812,12.12787247,12.3435154,12.14859962,11.12335682,11.34404659,10.51498795,11.1402483,10.87783051,10.57721806,10.33166885,10.6358099,10.16343594,9.832801819,9.565722466,9.48765564,9.3676548,8.929203033,9.033090591,8.355683327,8.570324898,8.282291412,7.717768192,7.837691784,7.405982018,7.322472095,7.261563301,6.804127216,7.013112545,6.384110451,6.315585613,6.058250904,5.747260094,5.755996704,5.878460884,5.372112751,5.428928852,5.20023632,5.015641689,4.918380737,4.66215992,4.425539494,4.336726189,4.035553932,3.876221657,3.863277197,3.833184719,3.40714407,3.515511036,3.506884336,3.144345522,2.970678568,3.020740509,2.815399647,2.691563129,2.539648533,2.622042418,2.129401684,2.267315149,1.965094924,1.878658652,1.819805026,1.91541326,1.904980063,1.795033216,1.562079549,1.557599425,1.513176203,1.384695172,1.326185703,1.269956708,1.205858231,1.238277912,1.174893141,1.092215061
305.0700073,0.168564156,0.203413084,0.152094945,0.130239651,0.099222869,0.200289324,0.211019292,0.188718602,0.260688722,0.316960394,0.390289783,0.600657821,0.705912471,1.071619868,2.281159878,14.10599232,41.75592804,85.85015106,104.5261612,78.54947662,25.2223835,7.04246664,2.277950048,1.534156442,1.422108173,1.557832718,1.504332185,1.81043303,1.970498204,1.88761127,2.365219116,2.881026268,4.602765083,8.246113777,12.70009327,15.512537,15.15593147,11.50387478,8.378953934,5.98166132,5.430221558,5.128512383,5.491143703,5.712360382,5.752537727,6.023226261,6.117770195,6.908660889,6.831544876,7.381629467,7.657930374,7.806066513,8.183776855,8.894266129,9.013420105,9.196098328,9.899988174,10.39227772,10.35473728,10.8764019,9.706221581,10.38404655,10.66086769,11.11499786,11.73618698,12.28903198,12.36282253,12.83133221,12.72411346,13.53742218,13.75672245,13.79104519,13.95355797,14.14690113,14.55210876,14.65901852,14.94992352,14.88403606,14.54900265,14.22409058,14.35649776,14.68237495,13.92147541,14.3283453,14.08018875,13.46801376,13.24610233,12.98533535,12.9564352,12.7996006,12.90527153,12.45340347,12.2607975,12.32141781,12.4675045,11.1184721,11.10276222,11.71076679,10.98482609,10.84404278,10.48929501,10.60652637,10.06936646,10.23460197,10.19214821,9.791195869,9.798784256,9.328669548,8.680143356,8.967334747,8.450237274,8.437322617,8.17143631,7.842679977,7.6291399,7.482103348,7.510192871,7.315991402,6.964528084,6.773703098,6.233077526,6.236453056,6.0077281,5.865727901,5.786931992,5.560024261,5.209396362,5.252755165,5.079285145,4.625960827,4.62255621,4.66870594,4.387965679,4.23487711,4.043776989,3.650963545,3.429035664,3.726236343,3.317434311,3.543879032,3.109191179,2.916371822,2.963911533,2.696997643,2.620215178,2.672843933,2.39978838,2.391957521,2.293778181,1.97073853,1.833810091,1.613486767,1.9435817,1.859182358,1.699278951,1.63629663,1.437019467,1.406672955,1.496622682,1.149537802,1.207381606,1.186287642,1.132081985,1.012026429,1.1123631,1.032040238
310,0.070735753,0.150396809,0.11175628,0.09685716,0.109993398,-0.019791402,0.056366444,0.093086451,0.147276044,0.241261587,0.202048436,0.28774941,0.472837329,0.47400403,0.636962891,0.853094816,1.057221055,3.822127104,19.79406166,59.71093369,102.4510574,98.86769104,56.51141739,18.85597992,4.529723167,1.690571189,1.477448225,1.37896955,1.444258451,1.421275616,1.69157362,1.851663113,2.036283493,2.262090921,2.739425421,4.225274563,7.526985168,11.49056721,14.88097572,16.14827919,13.50639725,9.362553596,6.50636673,5.340604782,5.430037975,5.354813576,5.786166191,6.038907051,6.371481419,6.930968761,7.112678528,7.707030296,7.869156361,8.266307831,8.516419411,8.81621933,9.21599865,9.864591599,9.921933174,10.47303009,9.126646996,9.752723694,10.50475311,10.99627972,11.23016644,11.95370579,12.52389526,13.07524872,12.89102554,13.65245724,13.79932117,14.24091816,14.3443203,14.12238121,14.48798656,14.80305958,14.95790386,15.01121426,15.16808796,14.26013851,14.58835793,14.38328838,14.86079502,14.22638988,13.98422909,14.1221981,13.99980831,13.43643665,13.73880196,13.23293209,13.49314499,12.93076801,12.85664558,13.05097485,13.17868042,11.46605206,11.29393196,11.32612419,11.04542923,11.29221058,11.28277683,10.95272541,10.39677906,10.29739666,10.0554266,9.801188469,9.754874229,9.197767258,9.147618294,8.972637177,8.956441879,8.344320297,7.931949139,8.145118713,7.98700285,7.469820976,7.433801174,6.992743492,7.090904713,6.768407345,6.619734764,6.207106113,6.390725613,6.207988739,5.663038731,5.487330914,5.426416397,5.218677998,5.094549179,4.41727066,4.751293182,4.492746353,4.233666897,4.129264832,3.869573832,3.997887135,3.724014521,3.403450251,3.448765993,2.960978031,3.261288166,2.912827492,3.017926693,2.656574249,2.761850595,2.55918169,2.526661873,2.249108076,2.175904989,2.147096634,1.972560048,1.795990825,1.650273919,1.910380006,1.686164379,1.450042844,1.379646659,1.604882121,1.381036401,1.335775137,1.221014261,1.069362521,1.059042811,1.214251995,1.065503001,1.014512658
315,0.061697692,0.075003177,0.152840838,0.087271944,0.121702895,0.123255521,0.030762866,0.165360972,0.128556728,0.194759652,0.203481093,0.321861446,0.257883549,0.387682796,0.513793051,0.448856413,0.455466032,0.505838633,0.834941566,2.272526264,15.72996044,52.18364334,99.73361969,114.5042114,72.19006348,23.95096397,6.33181572,2.203274965,1.43540287,1.41309762,1.632089972,1.711583018,1.69896102,2.001293659,1.897083759,1.973632216,2.324831724,3.048065424,5.042311668,8.449666023,13.07618237,15.85641003,15.64950752,12.64180374,9.057457924,6.745641708,5.55414772,5.699715137,5.895502567,5.920479774,6.839817047,6.890050411,7.085319996,7.624966145,7.669764519,8.355758667,8.401916504,9.317692757,9.447079659,10.06508255,8.869294167,9.474390984,9.909943581,10.62705421,10.99606514,11.5080862,11.6651392,11.89650345,12.60553741,12.76259232,13.27461433,13.51691818,13.98083496,13.88364029,14.30159092,14.68955421,14.27846432,14.73329258,14.45593071,14.92689419,14.21055126,14.42701817,14.56342602,14.26924706,14.09625244,13.48203564,13.67053223,14.16079712,13.95565414,13.2657299,12.99272633,13.06668186,13.04482746,13.01921463,12.02482128,11.53764248,11.44423008,11.08854198,11.47149563,11.0510788,11.16709328,10.82351971,10.71919632,10.48967552,9.987724304,9.700530052,9.489713669,9.487466812,9.062890053,8.622301102,8.539352417,8.121391296,8.262467384,7.881942272,7.833983898,7.145969391,7.582135677,6.927640438,6.664357662,6.683028221,6.205520153,5.955971718,6.136176586,5.955541134,5.64302063,5.472409725,5.370288849,4.658622265,4.733820438,4.922356606,4.32968235,4.301704884,4.064147949,4.193360329,3.723987579,3.544383287,3.716395855,3.228946209,3.380868435,3.311214209,3.035573721,2.928318977,3.031992674,2.697903872,2.63766098,2.545958996,2.234805107,2.371474504,2.151406288,2.203897476,1.823392749,1.885932326,1.581303716,1.62157023,1.578686714,1.455483556,1.452556849,1.426644802,1.379143357,1.334266305,1.27028656,1.202139735,1.049303174,1.161156654,0.957440495,0.943243146
320,0.154439971,0.147750586,0.086955801,0.140177101,0.003211498,0.064653471,0.110575661,0.138600171,0.132927611,0.200308189,0.225626513,0.159485832,0.348409295,0.338088632,0.254111767,0.50056392,0.228997752,0.634774208,0.517165005,0.569499731,0.824135959,1.74540019,7.426763535,33.2412796,73.51623535,109.1764297,92.88948822,47.93935776,12.25461864,3.558453321,2.025894403,1.543419361,1.577395439,1.63307035,1.873372674,1.979384065,2.003533363,2.196772099,2.435846329,2.342558146,3.355306625,5.171533108,8.378635406,12.83192253,15.51245403,15.66471767,13.31036472,9.5126791,7.145690441,6.263140202,5.980606556,5.821367741,6.103807449,6.435994148,7.037691116,7.509977818,7.912517071,7.904708385,8.699048042,9.294772148,8.510861397,8.897141457,9.273523331,10.02931976,9.966526985,10.00192261,10.7210741,11.63591385,11.58150482,12.25061607,12.47304535,12.47848129,13.32675838,13.39918518,13.61941624,13.44859982,13.76095104,14.81275845,14.54632664,14.18664551,14.13099003,14.05465508,13.63804722,14.40944862,14.38946438,13.61184692,13.2248888,13.71638584,13.26065922,13.50110626,13.41983891,13.25511169,13.23854733,12.51385593,12.94476414,11.52023411,11.49822235,11.65354919,11.13613129,11.55183411,11.4788866,10.81878471,10.60923481,10.49192715,10.09187126,9.867111206,9.668399811,9.69102478,8.773181915,8.67330265,8.752636909,8.129038811,8.280901909,8.178276062,8.005587578,7.45226717,6.899045467,6.870704174,7.185378075,6.097398281,6.17805481,6.175251007,6.019858837,5.881293297,5.58780241,5.315970898,5.140471935,4.730028629,5.049082756,4.906195164,4.686102867,4.623207569,4.03753233,4.131672382,3.626586437,3.47770381,3.764771223,3.427611828,3.226197243,2.848436356,2.945232391,2.942328215,2.417691708,2.349630356,2.4583776,2.525869846,2.328681469,2.171960115,2.209878922,1.98914969,2.036705494,1.609284878,1.377808452,1.304085016,1.687118053,1.45971477,1.335674644,1.433259249,1.4383775,1.282233477,1.267459273,0.972699761,0.923523664,1.146042466,1.04394567,1.05512166
