Baseline 100%T,,BLANK,,ELA_109,,ELA_930,,ELA_903,,ELA_1010,,ELA_105,,ELA_913,,ELA_909,,ELA_CTL2_L222_224,,ELA_948,,ELA_944,,ELA_CTL1_L239,,ELA_CTL2_L239,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
788.001709,0.02563919313,788.001709,-0.004075306468,788.001709,-0.003728355747,788.001709,-0.00358558516,788.001709,-0.002273865975,788.001709,-0.002961279592,788.001709,-0.002404557308,788.001709,-0.002559296787,788.001709,-0.003516518977,788.001709,-0.003255046206,788.001709,-0.00211443915,788.001709,-0.003344909986,788.001709,-0.003577677766,788.001709,-0.00241943635,
787.0241089,0.02570351027,787.0241089,-0.004327930976,787.0241089,-0.003623631084,787.0241089,-0.003861996811,787.0241089,-0.002482191194,787.0241089,-0.003410510486,787.0241089,-0.002450428903,787.0241089,-0.002760386094,787.0241089,-0.003278888529,787.0241089,-0.003755200189,787.0241089,-0.002221537055,787.0241089,-0.00342360884,787.0241089,-0.003682413604,787.0241089,-0.002669835463,
786.0460815,0.02617876418,786.0460815,-0.004670817871,786.0460815,-0.004122950602,786.0460815,-0.004098385572,786.0460815,-0.002817742294,786.0460815,-0.003754430218,786.0460815,-0.002825715113,786.0460815,-0.002883988433,786.0460815,-0.004275797866,786.0460815,-0.003698224435,786.0460815,-0.003021128476,786.0460815,-0.004117514472,786.0460815,-0.003989646211,786.0460815,-0.003085595788,
785.067688,0.02567324601,785.067688,-0.003826383734,785.067688,-0.004084538203,785.067688,-0.003674918553,785.067688,-0.002456555143,785.067688,-0.002904250985,785.067688,-0.002119745826,785.067688,-0.002476889174,785.067688,-0.003654229688,785.067688,-0.003272619797,785.067688,-0.002560738008,785.067688,-0.003426947631,785.067688,-0.00349392253,785.067688,-0.002547304612,
783.9490356,0.02623161115,783.9490356,-0.004549721256,783.9490356,-0.004095667507,783.9490356,-0.00361438957,783.9490356,-0.002674157731,783.9490356,-0.003713623853,783.9490356,-0.002674672054,783.9490356,-0.002807454905,783.9490356,-0.0035549819,783.9490356,-0.003942500334,783.9490356,-0.002998403506,783.9490356,-0.003682156792,783.9490356,-0.004271799233,783.9490356,-0.00326532335,
782.9698486,0.02609073743,782.9698486,-0.003953941166,782.9698486,-0.00417141011,782.9698486,-0.003891449887,782.9698486,-0.002484404715,782.9698486,-0.003495001001,782.9698486,-0.002401931444,782.9698486,-0.0027016846,782.9698486,-0.003652381478,782.9698486,-0.003845165716,782.9698486,-0.003049250692,782.9698486,-0.003986260388,782.9698486,-0.003785532899,782.9698486,-0.003000511555,
781.9903564,0.02630099468,781.9903564,-0.004578000866,781.9903564,-0.004256214015,781.9903564,-0.003812373849,781.9903564,-0.002537885681,781.9903564,-0.004035658669,781.9903564,-0.002790274099,781.9903564,-0.002471535467,781.9903564,-0.003722401569,781.9903564,-0.004219761584,781.9903564,-0.00297398027,781.9903564,-0.004276413005,781.9903564,-0.00381186069,781.9903564,-0.003438761458,
781.010376,0.02601883188,781.010376,-0.004273747094,781.010376,-0.003901557764,781.010376,-0.003641189774,781.010376,-0.002692886628,781.010376,-0.003482469823,781.010376,-0.002525686985,781.010376,-0.002532223938,781.010376,-0.00363030564,781.010376,-0.003681078786,781.010376,-0.003407890908,781.010376,-0.003716241801,781.010376,-0.003729536198,781.010376,-0.002819696907,
780.0300903,0.02586228214,780.0300903,-0.004032478668,780.0300903,-0.003754430218,780.0300903,-0.003681335365,780.0300903,-0.002268046141,780.0300903,-0.0026455482,780.0300903,-0.002032668563,780.0300903,-0.002689130604,780.0300903,-0.003680514172,780.0300903,-0.003570437897,780.0300903,-0.002620950807,780.0300903,-0.003670503618,780.0300903,-0.003278066404,780.0300903,-0.002450531814,
779.0494385,0.02601435222,779.0494385,-0.004215557594,779.0494385,-0.003740469227,779.0494385,-0.003988466691,779.0494385,-0.002563517075,779.0494385,-0.003104152624,779.0494385,-0.001866400358,779.0494385,-0.002439103089,779.0494385,-0.00366814225,779.0494385,-0.003875953844,779.0494385,-0.002465718426,779.0494385,-0.003503320739,779.0494385,-0.003330678912,779.0494385,-0.001909442362,
778.0684204,0.02639566734,778.0684204,-0.004248011392,778.0684204,-0.0043789302,778.0684204,-0.003814169904,778.0684204,-0.002479463117,778.0684204,-0.003848911729,778.0684204,-0.002745364327,778.0684204,-0.003034392837,778.0684204,-0.003857070813,778.0684204,-0.003896119073,778.0684204,-0.003248623107,778.0684204,-0.004424440209,778.0684204,-0.004216531757,778.0684204,-0.002538091503,
776.9468384,0.02581667714,776.9468384,-0.003687803634,776.9468384,-0.003407787997,776.9468384,-0.003630664898,776.9468384,-0.002331698313,776.9468384,-0.002764193108,776.9468384,-0.002062503481,776.9468384,-0.002070799237,776.9468384,-0.003257769626,776.9468384,-0.003528227564,776.9468384,-0.002081979997,776.9468384,-0.003144450951,776.9468384,-0.003353797831,776.9468384,-0.001916503883,
775.9649658,0.02608163841,775.9649658,-0.004166744184,775.9649658,-0.004088436253,775.9649658,-0.00377932284,775.9649658,-0.00262856693,775.9649658,-0.003280943725,775.9649658,-0.002334633376,775.9649658,-0.002566399286,775.9649658,-0.004015294835,775.9649658,-0.003385802265,775.9649658,-0.00234498363,775.9649658,-0.003956967965,775.9649658,-0.003696992295,775.9649658,-0.002292818157,
774.9827881,0.02628311887,774.9827881,-0.004262160975,774.9827881,-0.004041865002,774.9827881,-0.004025810398,774.9827881,-0.002669115085,774.9827881,-0.003714907216,774.9827881,-0.002524451818,774.9827881,-0.002907079412,774.9827881,-0.003953530453,774.9827881,-0.003559397766,774.9827881,-0.002961588092,774.9827881,-0.004162590485,774.9827881,-0.003729433753,774.9827881,-0.002644055989,
774.0002441,0.02599319071,774.0002441,-0.004244781565,774.0002441,-0.003903661622,774.0002441,-0.00370017509,774.0002441,-0.002470711712,774.0002441,-0.003470503027,774.0002441,-0.002263823058,774.0002441,-0.002548128134,774.0002441,-0.003699918278,774.0002441,-0.003418883309,774.0002441,-0.002304920228,774.0002441,-0.003953325562,774.0002441,-0.00342910504,774.0002441,-0.002841505688,
