BLANK,,ELA_905,,ELA_923,,ELA_110,,ELA_104,,ELA_937,,ELA_121,,ELA_PRE-FILTER_1,,ELA_915,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
780.0609741,0.000642680272,780.0609741,0.0005792999873,780.0609741,0.0006602832582,780.0609741,0.0003173484583,780.0609741,0.0009034274262,780.0609741,0.001128929434,780.0609741,0.0008160707075,780.0609741,-0.0001646553137,780.0609741,0.0003798096441,
778.9402466,0.0003681509115,778.9402466,0.0006743609556,778.9402466,0.000264428003,778.9402466,2.329737754E-7,778.9402466,0.0001447784598,778.9402466,0.0006030179211,778.9402466,0.0004392221745,778.9402466,-0.0001868047402,778.9402466,0.0002861859975,
777.9591675,0.0004558580986,777.9591675,0.0006939097075,777.9591675,-0.0002096774842,777.9591675,-0.0003988231474,777.9591675,0.0004592009063,777.9591675,0.0004609370953,777.9591675,5.630563101E-5,777.9591675,-0.0001215434968,777.9591675,7.691402425E-5,
776.9777222,0.0007738770801,776.9777222,0.0008732344722,776.9777222,0.0006774202338,776.9777222,0.0001467205584,776.9777222,0.0009444662137,776.9777222,0.0008781886427,776.9777222,0.0005419760128,776.9777222,0.0004621550324,776.9777222,0.0008659199812,
775.9958496,5.125451935E-6,775.9958496,0.000799758127,775.9958496,0.0003739284293,775.9958496,0.0001846579835,775.9958496,0.0006756313378,775.9958496,0.0003521660401,775.9958496,0.000125021339,775.9958496,5.990426143E-5,775.9958496,-1.604900353E-5,
775.0136719,0.0005872317124,775.0136719,0.0006837203982,775.0136719,4.820234972E-5,775.0136719,0.0003404562303,775.0136719,0.0003207420232,775.0136719,0.0004068072594,775.0136719,7.40142932E-5,775.0136719,0.0001928932907,775.0136719,0.0001932299638,
774.0311279,-2.697234049E-5,774.0311279,0.0006892428501,774.0311279,0.0005493627978,774.0311279,-4.467688268E-5,774.0311279,0.000762467098,774.0311279,0.00069507648,774.0311279,0.0005644736812,774.0311279,0.0001527022832,774.0311279,5.67975294E-5,
773.0482178,6.21566578E-5,773.0482178,0.000659116602,773.0482178,4.763279503E-5,773.0482178,-0.0002064691653,773.0482178,0.0002937497338,773.0482178,0.0006502243341,773.0482178,6.971650873E-5,773.0482178,0.0001761638559,773.0482178,0.000185124125,
772.0649414,-0.0002409832668,772.0649414,0.0001190141047,772.0649414,0.0001964671537,772.0649414,-0.0003648388665,772.0649414,-8.417301433E-5,772.0649414,0.0003631507279,772.0649414,-6.212187873E-5,772.0649414,-0.0004890728742,772.0649414,-0.0003579589247,
770.9407959,0.0003118307504,770.9407959,5.366492769E-5,770.9407959,-3.841307989E-5,770.9407959,-0.00043663205,770.9407959,0.0002225987118,770.9407959,0.0002632106189,770.9407959,0.000347217836,770.9407959,-0.0003089685342,770.9407959,-7.345816266E-5,
