BLANK,,ELA_946,,ELA_1004,,ELA_949,,ELA_1015,,ELA_932,,ELA_922,,ELA_1011,,ELA_947,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
780.0609741,-1.37193465E-5,780.0609741,0.004676878452,780.0609741,0.0003384355514,780.0609741,0.0002994744573,780.0609741,-0.0006135298172,780.0609741,-0.0003426467883,780.0609741,0.002356256824,780.0609741,0.002078379504,780.0609741,0.0005075319787,
778.9402466,-0.000303329376,778.9402466,0.005077668466,778.9402466,-0.0001186450681,778.9402466,0.0003205347748,778.9402466,-0.0005333375302,778.9402466,-0.0007612599875,778.9402466,0.001953496831,778.9402466,0.001895878697,778.9402466,0.0002121096477,
777.9591675,0.0002490685438,777.9591675,0.005083640106,777.9591675,0.000208198966,777.9591675,0.0003162604698,777.9591675,-0.0005602767342,777.9591675,-0.0002313589212,777.9591675,0.002161906101,777.9591675,0.002236471977,777.9591675,0.0005684912903,
776.9777222,0.0001582956611,776.9777222,0.005046921782,776.9777222,9.43387131E-5,776.9777222,0.000373669347,776.9777222,-0.0005840087542,776.9777222,-9.493935067E-5,776.9777222,0.002383533632,776.9777222,0.002626394853,776.9777222,0.0005647069775,
775.9958496,0.0002542487346,775.9958496,0.005313812755,775.9958496,0.0001744546898,775.9958496,0.0005732087302,775.9958496,-0.0002408797736,775.9958496,0.000347166002,775.9958496,0.002474981127,775.9958496,0.002374814358,775.9958496,8.662309119E-5,
775.0136719,-0.000391995447,775.0136719,0.00490953261,775.0136719,-0.0002927233872,775.0136719,6.678631053E-6,775.0136719,-0.0009929370135,775.0136719,-0.0003986162483,775.0136719,0.001441935659,775.0136719,0.002115445677,775.0136719,-4.752403765E-5,
774.0311279,-0.0003515444405,774.0311279,0.004980434198,774.0311279,-4.120850645E-5,774.0311279,0.0005812958698,774.0311279,-0.0008811956504,774.0311279,-0.000183337499,774.0311279,0.001919200644,774.0311279,0.001621725503,774.0311279,0.0004103569663,
773.0482178,-0.0008284921059,773.0482178,0.005360564683,773.0482178,6.48491914E-5,773.0482178,0.0004873177968,773.0482178,-0.0009507338982,773.0482178,-0.0002132997615,773.0482178,0.001795845223,773.0482178,0.002197053982,773.0482178,0.0003401453723,
772.0649414,0.0003100951435,772.0649414,0.00532623427,772.0649414,0.0006671535084,772.0649414,0.0008745054365,772.0649414,-0.000201346149,772.0649414,0.0003125042713,772.0649414,0.002512419596,772.0649414,0.002719404176,772.0649414,0.0007865062216,
770.9407959,-0.0004130471207,770.9407959,0.004859504756,770.9407959,-0.0002442948171,770.9407959,0.0003907432256,770.9407959,-0.0009474277031,770.9407959,-0.0007130387239,770.9407959,0.001304201782,770.9407959,0.002270012628,770.9407959,0.0001769925439,
