,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,1.214886069,1.430476427,1.306871653,1.360593081,1.437523365,1.821079373,2.332864046,2.81145072,3.581122398,4.314277649,4.920357704,6.449083328,7.163847446,7.870521069,9.131147385,10.73769569,11.49987507,11.17051601,11.92190075,12.59804726,13.20971489,13.70497894,14.77327347,13.54904747,14.70011711,13.78664684,15.51880169,16.39072609,16.33623695,16.95960808,18.28596115,17.31108093,19.49394798,18.91780853,19.70795822,20.72321892,20.54536057,21.37998009,21.56084251,21.68494034,21.81809235,22.0060482,23.26816368,23.67959213,24.42999077,25.0796814,26.55749702,26.45196724,27.05244637,28.38617325,28.63460922,30.39347458,31.16481781,33.67295837,34.66366959,36.64765549,36.87786484,38.42971802,42.36164093,43.46601105,38.62852859,40.67940521,44.71108246,45.89963531,49.17641068,50.67369461,52.72936249,53.49532318,56.09431839,56.932724,59.1832428,59.55570221,61.1867218,62.00081635,63.92226791,64.28536987,65.86425781,66.12365723,66.03879547,65.0087204,65.3088913,64.37697601,64.75514984,63.70859909,62.05279541,61.42858505,61.88232422,61.45878601,61.12251282,59.92892075,59.05926132,58.78451157,59.04916382,57.92067337,57.62168884,53.312603,52.82896423,51.18867493,50.19682312,49.98575974,49.05387115,48.24441147,47.00869751,46.53997803,44.94713974,43.9392395,42.46578598,42.86248398,41.79355621,40.09410858,39.00698471,37.21710968,37.59390259,36.25149536,35.49577332,32.61045837,32.84218979,31.53354645,30.35255623,27.46138191,27.55896187,26.59835434,27.01928711,26.05331802,24.5454483,23.85233116,22.92357826,21.89533043,21.4657383,21.4949131,20.56395149,19.34254074,18.74440002,17.93492508,17.10802841,16.95328903,16.62052536,15.9806242,15.33066082,14.60875797,12.64931488,12.69349957,12.52460289,12.04989815,11.40449715,10.21196461,9.950323105,10.44412708,10.1201582,8.786278725,7.972740173,7.766965389,7.831998825,7.225950241,7.102493286,6.129229546,6.279512405,5.845599174,5.545155525,5.376251221,4.964758873,5.397256374,4.785843372,4.918910503,4.774842262,4.068166733
235,1.042131424,1.061352611,1.088293552,1.280615449,1.059203029,1.162826061,1.711549163,1.974023581,2.110976458,2.992289782,3.224666595,4.280275345,4.536418915,4.841133118,6.595436573,6.908683777,6.974534035,7.629011631,8.784129143,8.59627533,9.269839287,8.923342705,9.585644722,9.80043602,9.4952631,9.652736664,10.18550205,10.34675026,11.16276836,11.52577591,11.22953892,12.23295021,12.98131752,12.9289608,13.36039734,13.30831242,14.4297781,15.11684799,14.80169487,16.06954002,16.26564407,16.89499474,17.35850143,18.07294273,20.0247612,20.23997688,21.45607758,21.73784828,22.3281517,24.67495728,24.80138206,26.24893761,26.77997017,29.18960571,30.23026466,32.38196564,33.6024971,33.5102005,37.6933403,38.57041931,36.40040207,37.1076622,39.57226563,42.67647171,41.47799683,46.24699402,44.84576416,48.3458519,48.87171173,52.34135818,52.00431824,52.77771378,55.51263046,54.73781204,57.59008408,60.39261627,58.07086563,59.65322113,58.84408569,59.19907379,57.77300262,58.86197662,57.35918045,58.20983887,56.49886322,57.00195694,56.77872849,56.13579941,54.54708862,55.23957062,55.03658295,53.87650681,53.11853027,51.89991379,51.21866226,47.52319336,47.1803093,47.59173203,45.46852493,46.61154938,46.31148529,42.83091354,42.21380997,42.40609741,41.04496384,39.10346985,40.74630356,39.39853668,39.07420731,37.21150208,37.47769928,35.16742325,35.07965469,34.2904892,32.89435196,32.20823288,29.23180389,29.74137497,27.35290527,27.50464058,27.45257187,25.84470558,24.74651718,24.2881794,23.38907242,23.05700111,21.611866,21.38694191,20.71986008,20.03697777,20.39439011,19.62897682,19.31405449,16.96636963,16.18913651,15.76548481,15.94753838,14.83104134,14.26576424,14.2087698,12.72994232,12.69917202,12.06277752,12.12488174,10.94134045,10.85085678,10.34990501,9.489507675,9.303850174,9.309309959,8.395578384,7.938714981,7.788492203,7.277274609,6.208512783,6.386497974,5.71809721,5.678842068,5.299267769,5.413538456,4.927152157,4.828827858,4.773277283,4.475552559,4.712305069,3.638251066
240,2.161482573,1.668644905,1.166222811,1.277331471,1.015374303,0.76558131,1.009378672,1.383733392,1.304194808,1.373658895,1.908856988,2.248900414,2.784169674,3.408612728,3.942216873,4.372163296,4.694925308,5.046032906,5.433857918,5.70075798,6.317259312,6.674404621,6.438729763,6.725293159,7.136693001,6.645356655,6.451220989,7.306046963,7.941622734,8.484423637,8.550757408,8.200510979,9.004221916,9.132933617,9.687280655,9.589061737,9.78935051,10.62235451,11.73492146,11.95709229,11.7789011,12.89025497,13.45896816,15.55790329,16.11189461,15.97768879,16.89751625,18.0403614,19.83715248,20.5597496,21.304039,21.54119301,23.0424881,25.18351746,26.86056328,27.57944107,28.70353127,30.82999039,32.31310272,33.3597908,30.88173866,32.97613525,35.11446381,37.12990952,39.76113892,42.251194,41.86526489,43.30373383,45.45099258,45.53232574,47.41756821,48.76033783,49.2712326,50.06860733,52.05376434,53.93245697,54.97889328,55.96253204,55.69474411,53.28654099,54.26873779,54.23572922,51.78839874,52.72373581,52.44760895,52.19243622,51.54343414,51.53443527,50.96386337,50.54063797,49.02565384,49.63440704,49.19386673,50.44195938,48.81718063,46.13108826,44.53633499,44.46763611,43.52523422,43.1741333,42.86383057,42.13363266,41.98693085,40.01350403,39.76675797,38.08598709,38.03924561,37.8779335,36.59450912,35.11329269,35.39089966,37.73511124,38.75133514,40.36353302,39.84989548,35.3404274,30.57768059,29.24772453,27.47431183,26.02229118,25.97446823,25.20308495,24.06222916,23.58943176,21.72418022,21.83630943,21.04360199,20.41407013,19.66827965,20.0150528,18.66208839,18.25993729,17.45084,16.98167229,15.90879345,15.09625149,15.54822063,15.11547661,13.65653133,12.76407623,12.01707268,11.55403042,12.03344917,9.840371132,9.774502754,9.98000145,9.707386971,9.461994171,9.1251297,8.556733131,7.989873409,7.936349392,7.049218655,6.932307243,6.269808769,6.400179863,5.786687374,5.937996387,5.840845585,5.323076725,5.004114628,4.595695972,4.879615784,4.290191174,4.473794937,4.653765678
245,14.23322868,10.25497818,5.117120266,2.184659481,1.218018651,0.730121255,0.74593699,0.902956247,1.0993644,1.232375741,1.531058908,1.804960966,2.25219059,2.795203686,3.033328772,3.447609186,3.988284826,3.869623899,4.34968996,5.118697643,5.546926022,5.619668484,5.513262749,6.201649666,6.335678577,6.209504604,6.059668064,6.618024826,7.121068954,6.821539402,7.038357258,7.279819965,7.463806152,8.11701107,8.077021599,8.139982224,9.003212929,9.241458893,9.564476013,10.30951214,10.69503498,10.91687107,11.8817606,12.143713,13.40381241,14.57525444,14.92153931,16.53207016,17.10756111,18.09313011,19.21201324,20.32929802,21.69819069,22.41683197,23.85719872,25.09874153,26.46623421,27.81234932,28.83836174,30.25329208,28.33596802,29.76894569,32.84543228,34.55432129,35.38045883,36.94766998,37.9986763,39.04693222,41.18211746,41.64470291,44.73760223,44.89418793,46.0409584,46.7065506,48.39371872,49.45888138,50.36516571,51.00262451,49.81721115,50.46950531,49.99420929,49.57670593,49.12057114,49.04220581,49.94399643,49.27869797,47.92336273,48.20891571,47.70694351,46.79225922,47.90026855,47.00608063,46.88874435,46.13396454,46.94999313,42.65044403,43.11610031,42.04560089,41.39362717,41.03584671,39.58074188,38.81788254,38.97021484,39.10025024,37.46646118,37.26681519,36.39778519,35.87166977,34.72042465,34.18121719,33.80831146,34.35516357,36.55102158,40.50871658,42.69436264,40.45151901,35.70066452,30.79537392,27.05856514,25.60330009,25.07714272,23.22306442,22.90476227,22.13731575,21.36211014,20.31600952,19.96822929,19.77404976,18.95252991,18.57845497,17.892519,17.47894287,16.05802727,15.89365768,15.21688366,15.23915672,14.88675022,14.11556625,13.23879433,12.60466957,11.76900959,11.66280174,10.87665844,10.41871834,10.20493126,9.917515755,8.966221809,8.939715385,8.093528748,8.16251564,7.317970753,7.260531902,6.668067455,6.784805775,6.427849293,6.079456329,5.858194828,5.471067429,5.385155201,5.291412354,5.060035706,4.734318733,4.291780472,4.34414196,4.011008739,3.874534369
250,11.30708027,16.99722481,16.90760803,13.45127201,7.95391798,3.00675416,1.77499795,1.321570516,1.190099239,1.357890964,1.506395221,1.818882823,2.450325489,2.982893467,3.242525101,3.510802269,4.128900051,4.321094513,4.90328455,5.162243366,5.33072567,5.682314396,5.705059052,5.854759693,6.022006512,5.89629364,6.175222397,6.203063488,6.4921422,6.461501598,6.669775486,6.956986427,7.360600948,7.58431673,7.575703621,7.989983559,8.397024155,8.307272911,9.256509781,9.564231873,9.670325279,10.1618185,11.16515255,11.46892929,12.08381081,13.22735691,13.22081184,14.71362305,15.61986637,16.04166222,16.77047729,17.7702179,18.89678955,21.27264595,21.83647537,23.37704849,24.36090469,25.9406929,26.9373455,28.37040901,26.06009865,27.87747765,29.63149643,31.20575905,32.24531937,33.62151337,34.63766098,35.92396927,37.53731155,38.37337875,39.80095291,41.26398468,42.08621597,42.72948074,44.68870163,46.81108093,47.74387741,47.58280182,47.88871002,46.73900604,46.24165344,46.64052582,45.36327744,46.46905899,46.47982407,45.8347168,44.52029419,45.01677704,44.5288353,44.09197617,44.00592422,43.13131714,44.56952286,42.57250214,44.30803299,39.89235306,39.89744568,39.6065979,39.14502716,38.27569199,38.54878998,37.64589691,37.82875061,36.46875381,35.74954224,34.51487732,33.90785599,34.19407272,34.19742584,31.82335472,31.74282265,30.94592285,30.02051926,29.20170212,29.55861282,30.47669792,30.20275688,29.1463089,27.56777191,25.52927208,23.66529655,22.9921875,21.6915741,21.60745239,20.53508949,20.16507912,19.91101074,18.25555611,18.27763557,18.03502274,17.44050598,17.06414032,15.56828117,15.12187576,14.81958199,14.37531948,13.3003521,12.95707226,13.0443716,11.73417091,11.37872505,11.01732349,10.76392651,9.953744888,9.527665138,9.49818325,9.256706238,8.360218048,8.21274662,7.739965916,6.903290749,6.702732086,7.078979969,6.762349606,5.930281639,5.990652561,5.557318211,5.487318993,5.112348557,4.803515434,4.791505337,4.337567329,4.406809807,4.265674114,3.916964293,3.622148037
255,2.040419817,2.377948284,4.568267345,9.09209156,14.16270638,14.26782608,11.89486122,7.997300625,4.416853428,2.992678642,2.486253738,2.730388165,2.811940432,3.73793292,4.085651875,4.372066975,4.308747292,4.878935337,4.980092525,5.649824142,6.041296005,6.197424412,6.691309929,6.097590923,6.438790798,6.311429024,6.72061348,7.074620247,7.10131979,6.971628666,7.062824249,6.723424911,7.289963245,7.749193192,7.565214634,8.481320381,8.926362991,8.689450264,9.734374046,8.975845337,9.570404053,10.48449135,11.4402132,10.74709415,11.269907,12.25123405,13.40977287,14.01071835,14.76523781,14.72839928,16.15978622,16.51890564,18.03058624,18.68720436,19.69973564,21.22542191,21.56736565,23.03409767,24.07468796,25.85854149,23.59844589,24.86967468,26.65174294,27.53814507,29.47176743,31.729702,32.81867981,33.33566666,34.27005386,35.94470596,37.03106689,36.85092545,38.64618301,39.3945694,40.96302414,42.84465027,43.60947037,44.80031967,44.28652573,43.46886444,42.54647827,42.64928818,42.12464142,43.2249794,42.48276138,42.66212463,42.65434647,42.23006439,43.01751328,42.53476334,41.97661591,42.66703796,42.50903702,41.05496979,40.50367355,38.4943428,38.00269699,37.56138229,37.7036438,37.13145828,36.93965912,36.53009796,35.82090759,34.42702484,34.16982269,33.17924118,33.06346512,32.79935074,31.8383007,30.32655716,30.75277519,29.79006767,28.9844532,28.58550262,26.99055481,26.91964912,25.7057724,25.7147541,24.24083328,24.39729309,23.36358643,22.7817173,22.03617668,21.71546745,19.56450653,19.47944069,19.18335342,18.78540611,18.02730942,17.31126595,17.10002327,16.79469299,15.76487446,15.12490654,14.93894672,14.0182972,13.92534828,13.36088753,12.87378597,11.3849678,11.62902164,10.75167465,10.67323112,10.43407345,9.222567558,9.247414589,8.875653267,8.541543961,7.698536873,7.63943243,6.886805058,6.531498432,7.170863628,6.681454182,6.147692204,5.229873657,5.232546329,5.167984962,5.20907259,5.058508396,4.497853756,4.416128159,4.403226376,4.230371952,3.99703455,3.412335634
260,2.39706254,2.105367661,2.149855375,2.006087542,2.158434868,3.132061005,6.372619629,12.80120659,17.50544548,15.84706402,10.18644047,5.782708645,4.025602818,4.208125591,4.392728329,4.599630833,4.794741154,5.477708817,5.446346283,5.475011826,6.282847404,5.992827415,6.338144302,6.822489262,6.786959648,6.674222946,6.867620945,6.95418787,6.698172092,7.215373516,7.703056335,7.625751972,8.154432297,7.660587311,7.723952293,8.235342026,8.371009827,8.281373024,8.597410202,9.398726463,10.07505131,9.883131027,10.56593037,11.01199532,11.76967812,12.0155344,12.55529881,13.20549011,13.8218441,14.27342129,14.8093462,16.35868263,16.94631195,16.87495995,18.24324989,19.90977478,21.16519356,21.26229286,22.21054268,23.44532204,21.71062851,23.3856163,24.96207619,26.25031853,27.32752228,28.41208649,29.99206352,30.65069199,30.70552635,32.80184937,33.20314789,34.41716766,35.48791122,36.07121658,37.29471588,39.43317032,39.1518364,40.53371048,39.15602493,40.6300354,39.93743134,39.37763977,40.37781525,39.77306747,40.23085785,40.41154861,40.33906937,40.33356857,40.47939301,39.27413559,40.1138382,39.45567703,39.72957611,40.3384552,38.92049026,36.55768204,36.59395599,35.81038666,36.10941315,36.05618668,35.56529999,34.58357239,34.1616478,33.50564575,33.4948616,32.67050171,32.69063568,32.25027847,30.98892212,30.71627235,29.52158165,28.81584549,28.04402351,27.6072998,26.96395302,26.29579544,25.62421417,24.28574753,23.98754883,24.25857544,22.65180588,22.2371769,21.49635887,20.52652168,19.85317421,19.91169167,18.87203789,18.1627636,17.78488541,17.39751816,16.97551537,16.2835598,15.23702145,14.68434906,14.28399181,13.51218033,13.40520287,12.69482708,12.31630135,12.03204918,10.90974045,10.57192898,10.6477232,9.978676796,9.333945274,9.217319489,8.798628807,8.540390015,8.128207207,7.903864384,7.265415668,6.668216705,6.801810741,6.539509773,6.076153278,5.939546108,5.58716917,5.217600346,4.909640789,5.045296192,4.773519993,4.434455872,4.211053371,4.163124561,3.847632408,3.731286764
265,30.44015312,8.589424133,3.433028221,2.768412828,2.393217325,1.947246432,2.192971706,3.009621143,5.798507214,10.34658527,13.93669796,15.76847076,13.81117344,9.758488655,7.454927921,5.847734928,5.377501488,5.647053719,5.602148533,5.69416666,6.306694984,6.304870605,6.653650761,6.220943451,6.63353014,6.600074291,6.730075836,6.513173103,6.975981712,7.228143215,6.848736286,7.466967106,7.494284153,7.574028492,7.452139378,7.733179569,8.180358887,8.126691818,8.366959572,8.65418911,8.993042946,8.96708107,9.471489906,9.52515316,10.32653236,11.60436821,11.70361614,12.47457027,12.77481365,13.06154728,13.75474739,13.92750168,14.72079468,16.25886154,16.9254055,17.2553196,17.53191185,18.59872055,19.16072655,20.68165398,19.1676178,19.94155884,21.29934883,22.87038612,22.78923798,24.49374771,25.36712456,26.30561829,26.86019325,27.99557114,29.42064285,29.87791443,30.21125031,31.3401165,33.04905701,33.01255798,34.76613617,35.13286209,34.97676849,34.84760284,34.6084404,35.57680511,34.55369949,34.66835022,34.59984207,35.58041,34.9262886,34.89779663,34.7426796,34.77532959,34.5230751,34.96272278,34.96040344,34.48348618,34.50753784,32.24617004,32.21988297,31.74648857,32.17258072,31.71684265,31.52647972,30.55056763,30.50124741,29.61520767,29.70519829,29.05324745,28.79554558,27.69242096,27.82377434,27.40061188,26.96413994,27.18877029,25.17296219,25.09923363,24.35863876,23.81487656,22.95646858,21.82955742,21.65999031,20.36871719,20.27933502,19.75588799,19.14017868,19.02048492,17.90852928,17.06348801,16.87660408,17.03347397,16.62332153,15.93976021,16.07303429,14.95141029,14.17304802,13.81001759,12.91823101,12.42177582,12.38590336,11.76124573,11.05320644,10.98350048,10.31476688,9.7995224,9.146122932,8.821919441,9.110517502,8.654956818,7.968990326,7.883887768,7.538918018,7.180078506,6.643727779,6.329590797,5.976643085,5.90991497,5.418398857,5.247528553,5.102618217,5.164533138,4.722507954,4.286979198,4.230748177,4.485807419,3.708533525,3.797077179,3.787345409,3.234819651
