Wavelength (nm),Intensity (a.u.),Z Axis,
,907_2_EM_270.00,907_2_EM_272.00,907_2_EM_274.00,907_2_EM_276.00,907_2_EM_278.00,907_2_EM_280.00,907_2_EM_282.00,907_2_EM_284.00,907_2_EM_286.00,907_2_EM_288.00,907_2_EM_290.00,907_2_EM_292.00,907_2_EM_294.00,907_2_EM_296.00,907_2_EM_298.00,907_2_EM_300.00,907_2_EM_302.00,907_2_EM_304.00,907_2_EM_306.00,907_2_EM_308.00,907_2_EM_310.00,907_2_EM_312.00,907_2_EM_314.00,907_2_EM_316.00,907_2_EM_318.00,907_2_EM_320.00,907_2_EM_322.00,907_2_EM_324.00,907_2_EM_326.00,907_2_EM_328.00,907_2_EM_330.00,907_2_EM_332.00,907_2_EM_334.00,907_2_EM_336.00,907_2_EM_338.00,907_2_EM_340.00,907_2_EM_342.00,907_2_EM_344.00,907_2_EM_346.00,907_2_EM_348.00,907_2_EM_350.00,907_2_EM_352.00,907_2_EM_354.00,907_2_EM_356.00,907_2_EM_358.00,907_2_EM_360.00,907_2_EM_362.00,907_2_EM_364.00,907_2_EM_366.00,907_2_EM_368.00,907_2_EM_370.00,907_2_EM_372.00,907_2_EM_374.00,907_2_EM_376.00,907_2_EM_378.00,907_2_EM_380.00,907_2_EM_382.00,907_2_EM_384.00,907_2_EM_386.00,907_2_EM_388.00,907_2_EM_390.00,907_2_EM_392.00,907_2_EM_394.00,907_2_EM_396.00,907_2_EM_398.00,907_2_EM_400.00,907_2_EM_402.00,907_2_EM_404.00,907_2_EM_406.00,907_2_EM_408.00,907_2_EM_410.00,907_2_EM_412.00,907_2_EM_414.00,907_2_EM_416.00,907_2_EM_418.00,907_2_EM_420.00,907_2_EM_422.00,907_2_EM_424.00,907_2_EM_426.00,907_2_EM_428.00,907_2_EM_430.00,907_2_EM_432.00,907_2_EM_434.00,907_2_EM_436.00,907_2_EM_438.00,907_2_EM_440.00,907_2_EM_442.00,907_2_EM_444.00,907_2_EM_446.00,907_2_EM_448.00,907_2_EM_450.00,907_2_EM_452.00,907_2_EM_454.00,907_2_EM_456.00,907_2_EM_458.00,907_2_EM_460.00,907_2_EM_462.00,907_2_EM_464.00,907_2_EM_466.00,907_2_EM_468.00,907_2_EM_470.00,907_2_EM_472.00,907_2_EM_474.00,907_2_EM_476.00,907_2_EM_478.00,907_2_EM_480.00,907_2_EM_482.00,907_2_EM_484.00,907_2_EM_486.00,907_2_EM_488.00,907_2_EM_490.00,907_2_EM_492.00,907_2_EM_494.00,907_2_EM_496.00,907_2_EM_498.00,907_2_EM_500.00,907_2_EM_502.00,907_2_EM_504.00,907_2_EM_506.00,907_2_EM_508.00,907_2_EM_510.00,907_2_EM_512.00,907_2_EM_514.00,907_2_EM_516.00,907_2_EM_518.00,907_2_EM_520.00,907_2_EM_522.00,907_2_EM_524.00,907_2_EM_526.00,907_2_EM_528.00,907_2_EM_530.00,907_2_EM_532.00,907_2_EM_534.00,907_2_EM_536.00,907_2_EM_538.00,907_2_EM_540.00,907_2_EM_542.00,907_2_EM_544.00,907_2_EM_546.00,907_2_EM_548.00,907_2_EM_550.00,907_2_EM_552.00,907_2_EM_554.00,907_2_EM_556.00,907_2_EM_558.00,907_2_EM_560.00,907_2_EM_562.00,907_2_EM_564.00,907_2_EM_566.00,907_2_EM_568.00,907_2_EM_570.00,907_2_EM_572.00,907_2_EM_574.00,907_2_EM_576.00,907_2_EM_578.00,907_2_EM_580.00,907_2_EM_582.00,907_2_EM_584.00,907_2_EM_586.00,907_2_EM_588.00,907_2_EM_590.00,907_2_EM_592.00,907_2_EM_594.00,907_2_EM_596.00,907_2_EM_598.00,907_2_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,1.2696692943573,1.37840056419373,2.26243352890015,2.68035078048706,3.35965204238892,3.31746053695679,4.48565912246704,5.62733840942383,6.42923021316528,8.1574239730835,9.04912853240967,10.5160856246948,12.0749740600586,13.1030111312866,14.3369922637939,16.0000095367432,16.4497089385986,18.3765316009521,18.1935997009277,20.2730808258057,20.9548263549805,21.6045112609863,22.7038307189941,23.4563407897949,25.3279705047607,26.6961288452148,28.5273094177246,31.6265773773193,36.4822998046875,36.9499549865723,38.6994171142578,39.7307739257812,42.0485458374023,44.0522422790527,45.4663429260254,48.4259071350098,48.4356117248535,46.5996475219727,46.4636116027832,46.1520919799805,45.7265434265137,46.3962478637695,48.7997970581055,49.6287155151367,48.9644393920898,50.4885025024414,50.7342567443848,52.5000076293945,54.6718673706055,55.8838081359863,59.7098731994629,60.9850883483887,65.2783355712891,69.1181488037109,72.9236450195313,80.3272171020508,86.1264877319336,93.4559173583984,103.500938415527,110.274864196777,105.147033691406,113.797271728516,122.120933532715,130.052154541016,137.916625976562,147.236953735352,148.710632324219,155.274566650391,163.958023071289,166.781799316406,168.381210327148,170.153503417969,174.97575378418,171.274169921875,172.507293701172,171.92626953125,174.001861572266,167.040771484375,165.144622802734,160.042541503906,156.072418212891,152.309143066406,143.916809082031,139.481994628906,134.088806152344,131.68635559082,124.593338012695,120.03816986084,117.382080078125,111.676254272461,109.759178161621,103.622009277344,101.796478271484,97.5607757568359,95.93603515625,85.3230895996094,82.8199691772461,80.4190673828125,78.0990676879883,75.6200866699219,71.3204803466797,70.3002319335938,65.942985534668,62.3980865478516,60.3822288513184,57.0963096618652,55.9966468811035,54.4029541015625,52.4139747619629,49.422061920166,47.4985466003418,45.2040481567383,43.9455184936523,43.4743728637695,40.6262817382812,38.3341369628906,38.1427726745605,35.3588180541992,34.8311805725098,33.315731048584,32.3129577636719,30.0088176727295,30.2408275604248,26.9541645050049,26.3301696777344,24.8308029174805,24.7698841094971,23.2952136993408,22.5983047485352,21.6807842254639,21.5633583068848,20.0035209655762,18.176929473877,18.2880344390869,16.3682403564453,17.0890197753906,16.4428367614746,15.2927751541138,14.95676612854,13.305417060852,13.5265693664551,12.1067914962769,12.6891946792603,11.7237377166748,10.9990034103394,10.3375186920166,10.2086381912231,9.52925491333008,9.27344512939453,8.88113403320312,8.19935417175293,8.15484428405762,7.43256092071533,7.55480670928955,6.06702995300293,6.36221075057983,6.28865098953247,5.57417774200439,5.7555890083313,5.1622142791748,5.11545848846436,5.22955560684204,4.94466209411621,4.60249519348145,3.96890544891357,3.58568048477173
235,1.25280714035034,1.20131552219391,1.39826536178589,1.45347464084625,1.86892735958099,2.01062154769897,2.18303442001343,2.9482798576355,2.98219442367554,3.64848709106445,3.92962217330933,5.13319826126099,6.77356481552124,7.77589988708496,7.89014101028442,9.07171440124512,10.2393741607666,10.1667337417603,12.0514039993286,12.5232591629028,12.9132213592529,14.3850126266479,14.4421243667603,15.1673593521118,15.513035774231,15.0832214355469,17.1884098052979,18.3444805145264,20.30100440979,21.9698162078857,22.2368049621582,23.0689163208008,24.7585315704346,26.0659027099609,26.7103824615479,28.0160255432129,28.7832622528076,29.8093872070313,30.884298324585,30.6430721282959,30.3624401092529,31.2733898162842,32.2125816345215,33.5200462341309,34.1360969543457,37.0566749572754,38.221019744873,39.3764991760254,40.1207962036133,42.010856628418,45.3622741699219,47.6030921936035,50.3957633972168,54.9286689758301,59.2244873046875,63.675479888916,68.4277038574219,77.4749374389648,81.7492752075195,89.4500885009766,84.2526702880859,92.3024749755859,98.0419311523437,108.789611816406,113.886840820312,118.093765258789,123.435173034668,127.175804138184,132.43864440918,138.860137939453,137.030685424805,139.781707763672,142.787155151367,144.446548461914,144.409606933594,144.976608276367,141.373550415039,140.606704711914,136.5068359375,135.099273681641,131.208618164062,127.21656036377,123.394050598145,117.263946533203,113.537452697754,110.646926879883,107.822654724121,100.911003112793,102.789154052734,95.7998580932617,92.9985504150391,90.7859954833984,86.4863433837891,85.2519912719727,83.916618347168,73.0935440063477,72.5021514892578,71.092414855957,66.7311248779297,65.7239456176758,62.9629096984863,60.9626808166504,59.0602378845215,56.6270751953125,55.4629554748535,53.005744934082,51.4780120849609,49.0283203125,47.2636680603027,44.3780403137207,43.4956932067871,42.3932647705078,40.3438720703125,40.6444282531738,36.5596885681152,36.0112190246582,34.482536315918,33.1295356750488,31.134105682373,30.5420875549316,28.2600231170654,27.8391017913818,27.8427925109863,25.5048599243164,24.8768749237061,23.9952144622803,23.1672420501709,21.0246162414551,20.2068004608154,20.5913639068604,19.6029014587402,19.1143074035645,17.2073802947998,16.9441261291504,15.452844619751,15.1687498092651,15.4726734161377,14.1090288162231,13.9021234512329,13.9022569656372,11.9745206832886,12.4581251144409,11.3309936523438,10.8514499664307,10.6813879013062,9.62038326263428,9.40167331695557,8.766037940979,8.94259357452393,8.0769853591919,8.03586292266846,7.33420896530151,6.76362943649292,6.33729219436646,6.70091390609741,6.67669296264648,5.50902080535889,5.68959617614746,5.41587924957275,5.50870943069458,4.75152635574341,4.79201316833496,4.69749927520752,3.96639776229858,4.31906080245972,4.10004281997681
240,1.95098340511322,1.32544124126434,1.34485197067261,0.846360385417938,1.03893160820007,0.821064829826355,1.00204157829285,0.847981452941895,1.15488040447235,1.64109265804291,2.11167979240417,2.25327777862549,3.02310371398926,3.51427006721497,3.76451277732849,4.97990369796753,4.89694499969482,5.79764795303345,6.23927116394043,6.35377407073975,7.69392824172974,8.07275867462158,7.96916437149048,8.86221599578857,9.05268287658691,8.57767391204834,10.1344795227051,10.1150512695312,10.5421924591064,10.9493112564087,12.3207674026489,12.7289209365845,14.5441017150879,15.1313886642456,16.136890411377,16.8089542388916,16.9523792266846,18.4824256896973,19.2075023651123,19.7044296264648,20.2566184997559,21.3504009246826,22.086009979248,22.7566585540771,23.9500904083252,25.7350006103516,26.244441986084,27.0547275543213,30.6670589447022,31.3548030853271,33.8381614685059,35.3935661315918,37.7050704956055,41.0379676818848,45.7473220825195,49.9353370666504,52.7670593261719,59.4773597717285,64.5191345214844,70.1382904052734,65.0911178588867,71.6017074584961,76.8799133300781,83.0468292236328,86.4893951416016,94.0576858520508,96.076416015625,100.942474365234,105.210945129395,107.430030822754,110.310890197754,111.887580871582,113.484420776367,115.696685791016,115.075668334961,114.886268615723,113.650428771973,113.470687866211,111.563888549805,105.947959899902,105.71875,103.113296508789,100.224601745605,96.8650741577148,95.3838119506836,91.3126525878906,90.4933547973633,87.5580749511719,84.1158218383789,81.8551864624023,79.3107452392578,78.7920532226563,75.0656967163086,72.3525695800781,72.6942291259766,64.8610153198242,62.2692489624023,62.9116706848145,60.0271110534668,57.4591064453125,56.8496704101562,55.3973159790039,54.6644401550293,49.8712997436523,49.7502555847168,47.6467552185059,44.741886138916,45.2832984924316,43.7380638122559,43.5043716430664,41.759708404541,37.0195236206055,36.9668769836426,35.9146842956543,33.9265594482422,32.3740158081055,32.7627716064453,30.9790439605713,28.5206680297852,28.6401786804199,28.3169441223145,27.4466400146484,25.4373550415039,24.5498428344727,23.5762367248535,22.050085067749,21.1145687103271,19.8166675567627,20.6824150085449,19.2655925750732,18.0923385620117,17.9749164581299,16.800651550293,16.5773792266846,16.0415287017822,15.0691585540771,14.4480981826782,13.5755758285522,13.158745765686,12.7772636413574,12.2593679428101,11.7204961776733,10.8957462310791,10.2827863693237,10.2032899856567,9.95233058929443,8.78595542907715,8.85356426239014,7.91093635559082,8.29614734649658,7.16880893707275,6.9372820854187,6.52223587036133,6.47416257858276,6.36519765853882,5.99826669692993,5.94511270523071,5.31038665771484,5.21068000793457,5.13430833816528,4.72633743286133,4.59713220596313,4.68980121612549,3.88198304176331,3.61259269714355,4.02812242507935
245,14.1221046447754,10.1791009902954,4.86185359954834,2.20338082313538,1.41905701160431,0.706832408905029,0.68187540769577,0.683127522468567,0.919429421424866,1.24405515193939,1.39846777915955,1.85310137271881,2.31723737716675,2.93534874916077,3.07987761497498,3.68400812149048,4.25604295730591,4.4066481590271,4.89176225662231,5.73551368713379,5.68876218795776,6.58893966674805,6.54151105880737,7.0535159111023,7.01202201843262,7.56113719940186,7.48264694213867,8.10078430175781,8.47543621063232,9.01408672332764,9.36633777618408,10.2478322982788,11.8837909698486,11.5184564590454,12.3371181488037,12.6838264465332,13.5620536804199,13.6553812026978,14.2859563827515,15.5232353210449,15.7427291870117,16.4062633514404,17.3611621856689,18.4600524902344,19.0976524353027,19.8472652435303,21.7071151733398,22.375,23.4746417999268,26.3971004486084,28.5286846160889,29.7688484191895,31.0985622406006,35.1884269714355,38.9022064208984,41.460132598877,44.6158065795898,48.874683380127,53.521297454834,57.0030860900879,54.2220458984375,59.2504081726074,64.6714935302734,67.2324676513672,72.6115493774414,77.1167984008789,79.7260971069336,84.7909774780273,87.6906127929688,89.3872222900391,92.4542007446289,94.2771835327148,93.9531860351562,96.4456405639648,96.76904296875,97.3002395629883,95.9834213256836,95.4423294067383,93.9978713989258,94.0982055664062,89.1488418579102,90.2083358764648,88.0508346557617,85.1700897216797,82.7816696166992,81.0398712158203,77.1192245483398,75.8498001098633,73.8872909545898,72.504768371582,70.7303314208984,69.2926025390625,67.2495040893555,65.1261749267578,64.6203689575195,58.3136558532715,57.0793037414551,56.2201385498047,53.9767456054687,52.846492767334,51.1862716674805,49.1167526245117,49.0401611328125,46.636173248291,45.6706008911133,43.8785209655762,42.5840225219727,42.0296020507812,40.4444770812988,39.1185913085937,38.0496597290039,36.4196701049805,36.1041831970215,33.4236526489258,32.7840118408203,31.4217872619629,29.7382564544678,29.615894317627,28.0211219787598,27.5348720550537,26.044885635376,25.3277702331543,24.9430484771729,23.7337741851807,23.0734977722168,22.0258769989014,21.2830085754395,19.7889633178711,19.3361930847168,18.4938545227051,18.3003940582275,17.2881259918213,16.2606239318848,15.238865852356,15.1109437942505,14.8644199371338,14.2301292419434,12.9236249923706,12.6811008453369,12.1281385421753,11.6523866653442,11.6531171798706,10.6924238204956,10.5719261169434,9.84601402282715,9.32107257843018,9.13651180267334,8.81338596343994,7.79625272750855,7.98111152648926,7.21548986434937,6.85491323471069,6.78846406936646,6.26089811325073,6.18744039535522,6.10958051681519,5.73611688613892,4.97332239151001,5.16202163696289,4.74065589904785,4.72780609130859,3.92424392700195,4.56643772125244,4.18276882171631,3.85174083709717,3.64215874671936
250,11.2474775314331,16.4286518096924,18.1384410858154,13.282886505127,7.79728221893311,2.76220393180847,1.51019203662872,1.29238569736481,1.32780528068542,1.32541131973267,1.60205042362213,2.11612939834595,2.2815957069397,2.86750960350037,3.3903477191925,3.58357071876526,3.94820833206177,4.76877784729004,5.10479307174683,5.19571828842163,5.71118831634521,6.08559894561768,6.30174160003662,6.59237051010132,7.28304719924927,7.20856142044067,7.6956934928894,7.62413167953491,8.25360012054443,8.29583644866943,8.80298137664795,9.20623016357422,9.85557270050049,10.3770055770874,10.9175262451172,11.0360088348389,11.2837114334106,11.1524410247803,12.1177549362183,12.594539642334,12.9691133499146,13.9881839752197,14.7007493972778,14.8347520828247,16.2520427703857,17.3459529876709,18.4789562225342,19.6076965332031,21.1143455505371,22.6475734710693,23.3176250457764,25.5319290161133,27.5359497070313,30.5965461730957,32.6985549926758,36.207218170166,37.849494934082,41.5130615234375,45.206600189209,48.0231590270996,46.939266204834,50.2246437072754,54.8269119262695,58.7178497314453,62.9998550415039,65.7751388549805,69.2314834594727,72.528938293457,75.7439422607422,77.4631500244141,79.0091781616211,81.1223449707031,83.7451400756836,84.3235397338867,84.1301040649414,84.6281814575195,84.5495834350586,83.6472091674805,82.8586196899414,81.6662063598633,79.5970611572266,79.9600830078125,78.2066268920898,74.8062896728516,73.8715362548828,72.0659942626953,70.2460250854492,68.9926452636719,67.5039291381836,64.3048629760742,64.8199691772461,62.4483833312988,61.0812759399414,60.5960311889648,59.4334678649902,53.2208404541016,52.5136222839355,50.913402557373,50.0695152282715,50.0248374938965,47.1817016601562,46.9847450256348,46.2812004089355,44.618537902832,42.9750099182129,41.4646453857422,39.8851661682129,38.7502136230469,37.0621109008789,36.3622741699219,35.7943992614746,34.0078163146973,32.8159828186035,31.5770835876465,30.4040393829346,29.9027786254883,28.7135810852051,27.3600482940674,26.8785743713379,25.5528125762939,25.1564826965332,24.2071723937988,22.9995975494385,22.7243976593018,21.39524269104,21.1374111175537,20.2966575622559,19.2759876251221,18.5894374847412,18.35813331604,17.4759483337402,16.9279308319092,16.2573680877686,15.4446601867676,14.3441133499146,14.2126474380493,13.2258739471436,12.7061948776245,12.5462064743042,11.7222633361816,11.2555894851685,10.4168891906738,10.1003789901733,10.0110425949097,9.61118030548096,8.98899936676025,8.83620643615723,8.27875995635986,7.91868305206299,7.86500644683838,6.63890552520752,6.57230377197266,6.35380506515503,6.04176425933838,6.14275217056274,5.41346263885498,5.60358142852783,5.27152347564697,5.30390691757202,4.79608345031738,4.45979595184326,4.12297201156616,4.25502300262451,3.49217581748962,3.82902312278748,3.71054244041443
255,1.78530049324036,2.13097834587097,4.20090436935425,9.02449893951416,13.9481935501099,13.9816122055054,11.7698974609375,7.45084619522095,4.30958318710327,3.00902462005615,2.57975506782532,2.77316570281982,3.07731175422668,3.36809992790222,4.33190107345581,4.08902883529663,4.9692759513855,5.11960792541504,5.71102428436279,6.41427230834961,7.15140151977539,6.94914531707764,7.32577419281006,7.27534008026123,7.55491018295288,7.90146398544312,8.13641357421875,8.54145050048828,8.76016616821289,9.04168033599854,9.62695598602295,9.89713096618652,10.6418972015381,10.2558326721191,10.5825328826904,10.9454555511475,10.8405256271362,11.1117086410522,11.670521736145,11.7955121994019,12.6169853210449,13.5395593643188,13.1806879043579,14.5734434127808,15.1869239807129,15.9770240783691,16.5110244750977,17.1745586395264,18.7669162750244,20.3858089447021,21.1836128234863,23.4211540222168,25.0393505096436,27.4001579284668,28.1669273376465,31.328893661499,34.5088920593262,36.5631713867188,39.5982322692871,43.8113403320313,41.0061225891113,44.5802688598633,48.5178871154785,52.3253974914551,55.229793548584,58.1585273742676,60.4597091674805,64.186279296875,66.6415634155273,70.1613235473633,70.3762893676758,72.6443557739258,72.8456802368164,73.0221099853516,75.8943023681641,76.9003982543945,76.7300338745117,74.5185623168945,75.4588241577148,72.4061431884766,72.7965850830078,73.3605117797852,71.2712173461914,68.7341537475586,68.3769378662109,65.2683258056641,64.2880554199219,62.838005065918,61.6714057922363,60.20556640625,59.1665077209473,58.6957588195801,56.2674407958984,55.8224830627441,54.5694274902344,50.5186576843262,48.4458656311035,47.5318374633789,46.71923828125,46.0094451904297,45.2120323181152,44.036548614502,41.8914909362793,40.7942924499512,39.6047630310059,38.2743759155273,37.8493003845215,37.1436386108398,34.2779655456543,35.8348846435547,34.1109199523926,32.6515769958496,31.5095291137695,29.4045276641846,28.8473682403564,28.1825733184814,27.660816192627,27.082836151123,26.8104133605957,24.7079849243164,24.0459899902344,23.3372936248779,22.2382259368896,21.6459579467773,21.0123863220215,20.3981990814209,19.650993347168,19.0951633453369,17.6148948669434,17.6383876800537,16.7036952972412,15.8067722320557,15.2309398651123,14.6257181167603,14.6391286849976,13.8860778808594,12.9776439666748,12.6320505142212,12.2672328948975,11.5576505661011,11.1782150268555,10.9021987915039,10.2598638534546,9.49056243896484,9.76275634765625,8.68398094177246,8.37386798858643,7.99667596817017,7.98410224914551,7.40381336212158,6.76574087142944,6.66634798049927,6.30083179473877,5.8171181678772,5.83247852325439,5.71617841720581,5.32133150100708,5.06192779541016,5.04117679595947,4.52695989608765,4.81516265869141,4.11779403686523,4.65356826782227,4.06267833709717,3.26039958000183,3.65150618553162
260,1.97471415996552,1.98663699626923,1.86776649951935,1.69741010665894,2.36004137992859,3.02979493141174,6.42962169647217,12.1168270111084,17.4240283966064,16.2561645507813,10.5621681213379,6.12257194519043,5.04175806045532,4.64504528045654,5.03360843658447,5.560631275177,5.6814398765564,6.3855562210083,6.537193775177,6.68496036529541,6.96911382675171,7.60731601715088,7.60712909698486,8.5452241897583,8.65851783752441,8.63840866088867,9.14258670806885,9.41860866546631,10.0428256988525,10.2152118682861,10.5135564804077,10.6169471740723,11.4593782424927,11.3433427810669,11.4282064437866,12.2888221740723,12.1619968414307,12.3595113754272,12.4163417816162,12.7209501266479,13.4082460403442,13.5169019699097,14.1403074264526,15.0167255401611,15.1524820327759,16.0557346343994,16.7250213623047,17.4420566558838,18.4036445617676,18.9286117553711,20.8360710144043,22.4919948577881,24.0288963317871,25.2221698760986,27.2980175018311,30.7666034698486,32.5385437011719,35.4621734619141,37.9967651367188,40.9111328125,40.3228988647461,41.4721603393555,45.9938087463379,48.938045501709,52.470458984375,55.5286407470703,58.0554809570312,60.0559387207031,63.4770355224609,65.2406005859375,66.0391082763672,68.6805038452148,70.5856170654297,71.0395812988281,72.2983322143555,73.4386291503906,72.1560668945313,73.311767578125,71.1328659057617,70.1615447998047,70.1069946289063,68.4077377319336,67.9133758544922,65.7600555419922,63.1447677612305,62.4617538452148,61.6808319091797,61.1798667907715,59.095760345459,56.9715003967285,57.4414100646973,55.8613739013672,54.4212036132812,53.8980751037598,53.0509185791016,48.9998970031738,47.298210144043,46.675838470459,46.3105850219727,44.5332374572754,43.9128189086914,41.7322006225586,41.2221374511719,40.1887397766113,40.2365455627441,37.7853927612305,37.5523223876953,36.8171653747559,35.1681365966797,33.6440582275391,33.5449371337891,32.1610946655273,31.3671035766602,30.6559944152832,29.3329105377197,28.5710506439209,27.4998073577881,26.2756061553955,26.2305297851562,24.2020931243896,23.9226303100586,23.150857925415,22.0181903839111,22.3192348480225,20.52317237854,19.9932060241699,19.3428859710693,18.5368423461914,18.1867771148682,18.189432144165,16.43235206604,16.0119113922119,15.7146234512329,14.5777044296265,14.2164354324341,14.0353803634644,13.0983285903931,12.7257928848267,12.2883825302124,11.7428398132324,11.659481048584,11.0585174560547,10.5688161849976,10.0644598007202,9.55949401855469,9.45940494537353,9.00454330444336,8.27770519256592,7.84292840957642,7.86546659469604,6.65229225158691,6.60379266738892,6.71476030349731,6.5504035949707,6.25570249557495,5.89352416992188,5.3397045135498,4.68974542617798,4.91455554962158,4.72920083999634,4.22795343399048,4.59826517105103,4.1773886680603,3.71038341522217,3.83657240867615,3.39819860458374
265,26.9682064056396,8.26887226104736,2.90125226974487,2.2266092300415,2.25660872459412,1.9375638961792,2.09431982040405,3.48224329948425,6.44118499755859,10.5593748092651,14.7161388397217,16.0912818908691,14.5917739868164,11.0627126693726,8.60725784301758,6.89041900634766,6.52568054199219,6.558509349823,6.93691539764404,7.44882583618164,7.62329578399658,7.95157289505005,8.40693092346191,8.67276382446289,9.12906646728516,8.64647102355957,9.14614486694336,10.2092571258545,9.80960655212402,10.5106658935547,10.3841361999512,10.8091068267822,11.7891607284546,11.2433242797852,11.7632389068604,11.9821643829346,12.7166929244995,12.6053819656372,12.1105146408081,12.4355449676514,13.1951341629028,13.311577796936,13.9519290924072,13.7647666931152,14.9307374954224,15.1581583023071,15.9996938705444,16.6132850646973,17.3120403289795,18.6722412109375,18.7296142578125,20.8276100158691,22.0631580352783,23.0877380371094,25.7714519500732,27.6884136199951,30.5132694244385,33.3018684387207,35.4715690612793,38.6231994628906,36.7572479248047,39.8634910583496,43.7555885314941,47.9683609008789,49.9070281982422,53.958553314209,57.6948585510254,58.5586853027344,61.3661422729492,63.7575263977051,65.9168395996094,66.2465591430664,67.5477981567383,68.040641784668,69.2332077026367,69.7307662963867,69.7842102050781,69.5364761352539,68.0076065063477,67.1579132080078,66.4527969360352,64.412712097168,63.3161087036133,62.4907073974609,60.3295249938965,59.29443359375,57.5232353210449,56.2414436340332,55.4806518554687,53.1333999633789,53.7311935424805,51.9864883422852,50.9636421203613,49.3803939819336,47.1466445922852,43.8826866149902,43.3572998046875,42.184196472168,41.4251708984375,39.9284210205078,39.0258560180664,39.4841842651367,37.5618057250977,37.6456260681152,35.6944389343262,34.655330657959,34.5523147583008,32.4710083007812,31.2829151153564,31.1061840057373,29.9355068206787,29.0796566009521,28.5300006866455,27.147066116333,26.6460208892822,25.6218852996826,24.9073390960693,24.022066116333,22.9138298034668,22.6017246246338,21.7540264129639,21.1714000701904,21.0671272277832,20.2199668884277,18.5491275787354,18.1145973205566,18.1677227020264,17.5529003143311,15.6815509796143,15.7666139602661,15.1335563659668,15.088171005249,13.8969106674194,13.6651973724365,12.3725996017456,12.9595470428467,12.5584983825684,12.0253629684448,11.3167753219604,10.4680404663086,10.6237354278564,9.74050521850586,9.6701488494873,8.80556011199951,8.84514236450195,8.41273880004883,8.02758502960205,7.6316614151001,7.57398366928101,7.10542106628418,6.53671789169311,6.20127725601196,5.61221885681152,5.72007656097412,5.20913934707642,5.01602649688721,4.92386388778687,4.61126375198364,4.76718711853027,4.2294921875,4.24626302719116,4.11254978179932,3.99317288398743,3.49012064933777,3.4198317527771,3.23796319961548
270,111.621917724609,103.392547607422,60.521598815918,21.2261199951172,5.88671588897705,2.40607261657715,2.23811554908752,2.91922283172607,3.09510207176209,3.79505705833435,4.92833566665649,7.06483268737793,11.6795663833618,16.8835525512695,19.4194164276123,18.6563396453857,15.2540349960327,10.9007654190063,9.45438575744629,9.00299263000488,8.84533977508545,9.28775310516357,9.51153373718262,10.0897521972656,10.0267362594604,10.0286731719971,10.5218448638916,11.0202808380127,11.9751691818237,11.9268245697021,11.9451923370361,11.9418859481812,12.4324007034302,12.0429592132568,12.7242784500122,13.4451007843018,13.6649894714355,13.4442415237427,13.4734468460083,13.4999713897705,13.5067014694214,14.1824922561646,14.8164501190186,14.8970022201538,15.98108959198,16.0514068603516,16.7796802520752,17.7518043518066,17.7625465393066,18.7525024414062,19.5157699584961,21.1666069030762,22.9280529022217,25.1943759918213,27.6092853546143,30.0712699890137,32.9423904418945,37.8050270080566,40.7858047485352,44.2088966369629,43.3237495422363,46.2601127624512,52.4487838745117,56.1100082397461,59.7317733764648,63.7858848571777,65.9039001464844,70.6941299438477,73.1784591674805,75.1669387817383,77.3458862304687,79.2550735473633,79.6412124633789,79.9666976928711,81.3872985839844,80.9038314819336,78.8336715698242,79.4942398071289,78.3726501464844,76.4335021972656,74.3904495239258,72.1941070556641,71.4640350341797,67.372802734375,66.3344955444336,64.6418304443359,62.3660202026367,61.1862297058105,59.0355567932129,57.2383308410645,54.9342803955078,54.2522583007812,53.5644760131836,51.3498306274414,49.9638557434082,45.7129554748535,44.2682876586914,42.6888885498047,42.3637351989746,41.7372817993164,39.9557571411133,38.7947769165039,37.5858497619629,36.683952331543,35.0893859863281,34.6552619934082,33.3494186401367,31.8621845245361,31.4984359741211,30.4060592651367,29.3237724304199,28.8930473327637,27.6585693359375,27.0618095397949,25.3572540283203,24.9486503601074,24.9984474182129,23.4770126342773,22.7344284057617,21.4021797180176,21.4480838775635,21.0307559967041,19.4710464477539,18.9949951171875,18.4329490661621,17.8434658050537,16.7169609069824,16.6191082000732,15.6757574081421,15.3160781860352,14.3832511901855,14.3214569091797,14.040732383728,12.9635047912598,13.0436868667603,11.933521270752,11.8103361129761,10.7127771377563,10.7333173751831,10.4366121292114,9.93408584594727,9.64930820465088,9.20662498474121,8.68078708648682,8.04463672637939,7.9759373664856,7.72408246994019,7.4934287071228,6.97187662124634,6.84039354324341,6.22370004653931,5.73733901977539,5.56841564178467,5.3525013923645,5.07274770736694,5.0439133644104,4.76385831832886,4.64046287536621,4.19225692749023,4.29629325866699,3.82802152633667,3.75206899642944,3.55270528793335,3.45958542823791,3.63609385490417,3.17449164390564
