retriever_date,dataset_name,monitoring_location_name,monitoring_location,monitoring_sublocation,monitoring_station,site_code,year,activity_start_date,activity_start_time,activity_end_date,activity_end_time,activity_depth_height_measure,activity_depth_height_unit,characteristic_name,characteristic_name_long,method_speciation,result_sample_fraction,result_value,result_unit,layer_collection_end_depth,layer_collection_start_depth,result_detection_quantitation_limit_measure,result_detection_quantitation_limit_unit,result_detection_quantitation_limit_type,result_status_id,result_comment,result_analytical_method_name,result_analytical_method_instrument,result_analytical_reference_method,activity_media_name,analysis_start_date,laboratory_name,laboratory_sample_id,field_comment,precip_rain_gauge_mm,digital_object_identifier,update_date,update_account
2022-06-13,Diversion,626 LA CB,626,LA,CB,,2022,2022-06-13,09:20:39,,,,epi,PARTP,Phosphorus,as P,Non-Filterable (Particle),4.00000,ug/L,2.00,0.00,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-11,jthoroski,2022061304-01,,,,2023-10-20,iyaktubay
2022-07-25,Diversion,626 LA CB,626,LA,CB,,2022,2022-07-25,09:20:05,,,,epi,PARTP,Phosphorus,as P,Non-Filterable (Particle),3.00000,ug/L,3.25,0.00,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-08-03,jthoroski,2022072503-01,,,,2023-10-20,iyaktubay
