dataset_code,dataset_name,study_name,sample_num,key_id,location,sublocation,station,year,date,start_time,air_temperature,wind_speed_lower,wind_speed_upper,wind_direction,cloud_cover,water_colour,epilimnion_depth,secchi_depth,plan_therm_depth,epi_sample_start,epi_sample_end,met_sample_start,met_sample_end,wave_height_upper,wave_height_lower,int_epi_depth_1pct_light,chem_profile_done,method_sample_code,method_sample_desc,gear_type_code,gear_type_desc,collection_authority_userid,collected_by_userid,comments,snow_depth,ice_depth,slush_prst_abst,white_ice_layer,white_ice_layer1,water_bet_layers,white_ice_layer2,black_ice,comments_ice,update_date,account,version
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,,,377,LA,CB,2006,2006-08-24,14:57,,,,,,,5.00,,6.38,,,,,,,,0,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",,,SandilandsK,SandilandsK,sampled for turner,,,,,,,,,,2012-02-14,GUSSD/skylark,2
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,,,377,LA,CB,2007,2007-08-27,11:10,22.0,0.0,0.0,,7,LIGHT YELLOW,5.00,5.75,5.63,,,,,,,,0,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",,,SandilandsK,SandilandsK,"sampled for Turne(epi and hypo), zoos 2hauls 0-17",,,,,,,,,,2012-02-14,GUSSD/skylark,2
