location,sublocation,station,data_set,measure_date,measure_time,atten_coeff_best,r2_best,num_pts_best,atten_coeff_all_pts,r2_all_pts,num_pts_all,account,update_date,version,zzfull_old_measure_date
222,LA,CB,G06,2012-04-24,14:35,1.254,0.987,6,1.254,0.987,6,GUSSD/skylark,2012-12-17,1,2012-04-24
377,LA,CB,G06,2007-08-27,11:10,0.555,0.996,9,0.57,0.994,10,GUSSD/skylark,2008-03-04,1,2007-08-27
