Wavelength (nm),BLANK,ELA_FISH946,ELA_FISH1004,ELA_FISH949,ELA_FISH1015,ELA_FISH932,ELA_FISH922,ELA_FISH1011,ELA_FISH947
751.0495605,-0.000387806,0.005089061,-0.000125995,6.83E-05,-0.000965611,-0.000599726,0.00168149,0.002584884,0.000284347
750.0582275,-0.000314504,0.004833119,-0.000276633,-0.000210971,-0.000788805,-0.000730043,0.001808036,0.002310816,-7.99E-05
749.0665894,-0.000354803,0.004715344,5.05E-05,1.16E-05,-0.001018866,-0.000389564,0.001463623,0.002404383,-0.00010731
747.9328613,-7.73E-05,0.004912177,9.86E-05,0.000187429,-0.000922011,-0.000475886,0.001844351,0.002105691,0.000334342
746.9404907,4.15E-05,0.005162246,-0.000162585,0.000340663,-0.001122465,-0.00074529,0.001944344,0.002563297,1.01E-05
745.9477539,0.000150527,0.004944249,-0.000304468,0.000126161,-0.000754335,-0.000502363,0.001671174,0.002646422,0.000430956
744.9545898,0.000338125,0.005448788,-9.75E-05,0.000243215,-0.000865075,-0.000458768,0.001884751,0.002624572,0.000312556
743.9611816,6.22E-05,0.005366094,0.000108528,0.000280928,-0.000807719,-0.000582613,0.002126501,0.002642698,0.000398231
742.9673462,1.22E-05,0.004576804,-0.000361477,-0.000264319,-0.001033896,-0.000747978,0.001433053,0.002418674,-0.000279892
741.9732056,-0.000262663,0.004838616,-0.000528891,-0.00037384,-0.001240598,-0.000598485,0.001376958,0.002037155,-8.42E-05
740.9786987,0.000119584,0.005282106,5.68E-05,8.76E-05,-0.000972792,-0.000571497,0.001748462,0.002252292,-0.000213248
739.9838257,-3.24E-05,0.00505195,-0.000247451,-0.00014385,-0.001006212,-0.000452199,0.001539316,0.002421224,6.83E-05
738.9886475,0.000316753,0.005167406,0.000132505,-1.57E-05,-0.000863422,-0.000411702,0.001964236,0.00246639,0.000203278
737.993042,0.000115803,0.004747219,-0.000343526,-0.000103842,-0.00097398,-0.000594246,0.001732712,0.001879578,-0.000150992
736.9971924,6.89E-05,0.004995857,3.61E-05,0.000165469,-0.000907183,-0.000358424,0.001688065,0.002226038,2.86E-05
